Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-07-02,35.21,2021-11-19,29.7,Buy,100 Days,-6.68,Rise by -1.45%,-15.65%,-15.65%,
2021-11-01,27.93,2022-04-08,22.77,Buy,114 Days,-3.83,Rise by 7.48%,-18.47%,-34.12%,
2021-12-06,23.68,2022-08-02,20.73,Buy,171 Days,-4.47,Rise by 3.89%,-12.46%,-46.58%,
2022-03-01,22.5,2022-08-02,20.73,Buy,110 Days,-6.28,Rise by -14.18%,-7.87%,-54.45%,
2022-05-12,17.05,2022-08-02,20.73,Buy,58 Days,-3.19,Rise by 20.94%,21.58%,-32.86%,
2023-09-07,21.35,2023-10-20,20.6,Buy,31 Days,-3.19,Rise by 1.45%,-3.51%,-36.38%,
2024-08-01,27.34,2024-12-20,28.19,Buy,101 Days,-13.9,Rise by 8.45%,3.11%,-33.27%,
2024-09-03,27.52,2024-12-20,28.19,Buy,78 Days,-7.58,Rise by 9.85%,2.43%,-30.83%,
2025-03-03,26.24,2025-05-19,26.35,Buy,55 Days,-4.51,Rise by 3.43%,0.42%,-30.41%,
2025-04-01,25.27,2025-09-23,61.62,Buy,125 Days,-16.17,Rise by -16.82%,143.85%,113.43%,
