Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-03-06,14.82,2020-03-12,8.55,Sell,3 days,Fall by 59.850000%,42.3
2020-03-10,10.8,2020-03-13,9.72,Sell,2 days,Fall by 37.940000%,10.02
2020-05-07,10.58,2020-05-08,11.19,Sell,0 days,Fall by -8.010000%,-5.74
2020-06-11,11.88,2020-06-29,11.67,Sell,11 days,Fall by 9.200000%,1.73
2020-07-13,11.29,2020-07-24,11.94,Buy,8 days,Rise by 18.390000%,5.81
2020-09-03,12.61,2020-09-11,11.57,Sell,5 days,Fall by 10.060000%,8.23
2020-09-08,11.57,2020-09-24,10.78,Sell,11 days,Fall by 12.780000%,6.81
2020-10-14,11.58,2020-11-13,12.9,Buy,21 days,Rise by -11.290000%,11.42
2020-11-10,13.3,2020-11-23,14.59,Buy,8 days,Rise by 18.420000%,9.72
2021-04-12,18.82,2021-04-23,18.07,Sell,8 days,Fall by -3.150000%,4.03
2021-04-20,18.17,2021-05-03,18.87,Sell,8 days,Fall by -6.870000%,-3.88
2021-06-02,21.88,2021-06-09,21.95,Buy,4 days,Rise by 2.660000%,0.36
2021-06-22,21.96,2021-09-30,22.68,Buy,71 days,Rise by -12.600000%,3.28
2021-07-12,21.67,2021-09-30,22.68,Buy,57 days,Rise by -4.470000%,4.66
2021-07-14,21.1,2021-07-21,20.12,Sell,4 days,Fall by 9.470000%,4.66
2021-10-15,25.68,2021-11-10,25.96,Buy,17 days,Rise by 3.450000%,1.11
2021-11-29,26.17,2021-12-06,26.31,Sell,4 days,Fall by 6.610000%,-0.56
2022-01-10,29.21,2022-01-17,32.39,Buy,4 days,Rise by 14.500000%,10.88
2022-04-26,38.07,2022-05-03,40.11,Sell,4 days,Fall by 3.430000%,-5.38
2022-05-10,37.26,2022-05-13,38.5,Sell,2 days,Fall by 10.160000%,-3.34
2022-05-27,41.62,2022-10-14,36.78,Buy,99 days,Rise by -15.300000%,-11.62
2022-06-14,38.43,2022-06-21,34.76,Sell,4 days,Fall by 10.610000%,9.57
2022-06-17,33.47,2022-06-27,33.66,Sell,5 days,Fall by 10.620000%,-0.57
2022-09-07,34.44,2022-09-09,35.95,Sell,1 days,Fall by 10.660000%,-4.38
2022-10-07,37.68,2022-10-25,40.4,Buy,11 days,Rise by 9.870000%,7.22
2022-10-20,39.06,2022-10-27,40.7,Buy,4 days,Rise by 5.980000%,4.19
2022-10-21,40.02,2022-11-03,41.22,Buy,8 days,Rise by 3.450000%,3.0
2023-02-21,37.35,2023-02-27,38.76,Sell,3 days,Fall by 8.110000%,-3.75
2023-03-14,36.62,2023-03-20,35.21,Sell,3 days,Fall by -1.300000%,3.84
2023-06-30,37.24,2023-07-14,37.44,Buy,9 days,Rise by 20.010000%,0.52
2023-07-10,37.2,2023-07-14,37.44,Buy,3 days,Rise by 20.150000%,0.65
2023-08-11,41.61,2023-08-31,43.71,Buy,13 days,Rise by 7.400000%,5.05
2023-12-07,41.64,2023-12-14,43.34,Sell,4 days,Fall by -1.020000%,-4.1
2024-01-29,42.83,2024-02-07,40.62,Sell,6 days,Fall by 5.910000%,5.15
2024-02-02,40.81,2024-02-15,42.38,Sell,8 days,Fall by -25.090000%,-3.83
2024-02-20,42.72,2024-02-27,44.74,Buy,4 days,Rise by 31.820000%,4.74
2024-02-28,44.96,2024-03-05,48.48,Buy,3 days,Rise by 25.250000%,7.84
2024-04-03,53.72,2024-04-10,56.3,Buy,4 days,Rise by -1.640000%,4.82
2024-05-08,52.98,2024-10-18,49.06,Buy,116 days,Rise by -0.270000%,-7.4
2024-05-13,52.22,2024-06-07,48.37,Sell,18 days,Fall by 10.250000%,7.38
2024-08-20,48.65,2024-08-26,50.46,Sell,3 days,Fall by 10.790000%,-3.72
2024-09-26,43.97,2024-10-01,46.92,Sell,2 days,Fall by -6.000000%,-6.71
2025-05-27,43.05,2025-06-13,45.9,Buy,12 days,Rise by 7.850000%,6.62
2025-05-29,42.49,2025-06-10,44.03,Sell,7 days,Fall by -0.730000%,-3.62
2025-07-16,42.33,2025-07-28,43.87,Sell,7 days,Fall by 3.950000%,-3.64
2025-07-23,42.68,2025-07-30,44.12,Buy,4 days,Rise by 3.350000%,3.37
2025-09-08,41.86,2025-09-15,44.15,Sell,4 days,Fall by -0.120000%,-5.47
2025-09-10,43.24,2025-09-26,45.57,Buy,11 days,Rise by 6.110000%,5.39
2025-10-07,45.72,2025-10-07,45.72,Buy,0 days,Rise by -1.860000%,0.0
2025-10-14,43.44,2025-10-22,42.45,Sell,5 days,Fall by -3.290000%,2.28
2025-10-17,42.19,2025-10-23,43.68,Sell,3 days,Fall by -6.350000%,-3.53
