Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2011-10-09,26.35,2018-06-24,17.43,1749 days,-33.850000%,-33.850000%,Rise by 12.640000%,-33.850000%
Buy,2018-11-25,15.3,2021-11-28,20.03,784 days,30.920000%,30.920000%,Rise by 5.160000%,-2.940000%
Buy,2023-12-24,22.23,2023-12-24,22.23,0 days,0.00%,0.00%,Rise by 0%,-2.940000%
