Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-02-01,5.5500,2022-02-03,5.9000,2 days,6.31%,6.3063%,Rise by 9.37%,6.3063%
Buy,2022-08-30,5.9300,2022-09-05,6.0850,4 days,2.61%,2.6138%,Rise by 3.88%,8.9201%
Buy,2022-09-30,5.7000,2022-10-10,5.2200,6 days,-8.42%,-8.4211%,Rise by -10.7%,0.4991%
Buy,2022-10-12,5.2600,2022-10-27,5.5300,11 days,5.13%,5.1331%,Rise by 10.65%,5.6322%
Buy,2023-09-04,6.2000,2023-12-15,6.3600,74 days,2.58%,2.5806%,Rise by 1.37%,8.2128%
Buy,2024-04-18,6.4900,2024-06-05,6.7800,34 days,4.47%,4.4684%,Rise by 1.54%,12.6812%
Buy,2024-08-13,6.5300,2024-08-14,6.8000,1 days,4.13%,4.1348%,Rise by 6.28%,16.8160%
Buy,2024-09-03,6.3500,2024-10-07,6.5750,24 days,3.54%,3.5433%,Rise by 9.29%,20.3593%
Buy,2024-12-06,6.3500,2024-12-13,5.7200,5 days,-9.92%,-9.9213%,Rise by -10.87%,10.4380%
Buy,2024-12-17,5.9450,2025-01-29,6.1300,31 days,3.11%,3.1119%,Rise by 11.02%,13.5499%
Buy,2025-03-03,5.9700,2025-03-18,5.5500,11 days,-7.04%,-7.0352%,Rise by -1.17%,6.5147%
Buy,2025-03-20,5.7100,2025-04-04,5.8800,11 days,2.98%,2.9772%,Rise by 3.33%,9.4919%
