Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-12-23 - 2020-01-09,13 days,2020-01-21,338.11,2020-01-23,349.6,2 days,-3.4%,Fall by 11.61%,-3.4%
Sell,2020-02-12 - 2020-02-19,5 days,2020-02-24,368.7,2020-02-26,379.24,2 days,-2.9%,Fall by 14.5%,-6.3%
Buy,2020-03-16 - 2020-03-17,1 days,2020-03-19,332.03,2020-03-23,360.27,2 days,8.5%,Rise by 32.27%,2.2%
Sell,2020-04-15 - 2020-04-16,1 days,2020-04-29,411.89,2020-05-04,428.15,3 days,-3.9%,Fall by -0.38%,-1.7%
Sell,2020-07-10 - 2020-07-13,1 days,2020-07-23,477.58,2020-07-27,495.65,2 days,-3.8%,Fall by 2.23%,-5.5%
Buy,2020-07-24 - 2020-08-11,12 days,2020-08-18,491.87,2020-09-01,556.55,10 days,13.1%,Rise by 12.65%,7.7%
Buy,2020-09-14 - 2020-09-18,4 days,2020-09-25,482.88,2020-10-01,527.51,4 days,9.2%,Rise by 14.75%,16.9%
Sell,2020-10-09 - 2020-10-14,3 days,2020-10-20,525.42,2020-10-27,488.93,5 days,6.9%,Fall by 10.45%,23.9%
Buy,2020-10-23 - 2020-10-30,5 days,2020-11-03,487.22,2020-11-05,513.76,2 days,5.4%,Rise by 10.98%,29.3%
Buy,2020-11-03 - 2020-11-10,5 days,2020-11-12,486.77,2020-12-07,515.78,17 days,6.0%,Rise by 11.09%,35.3%
Sell,2020-12-01 - 2020-12-08,5 days,2020-12-11,503.22,2020-12-14,522.42,1 days,-3.8%,Fall by 1.78%,31.4%
Sell,2020-12-18 - 2020-12-29,7 days,2021-01-05,520.8,2021-01-07,508.89,2 days,2.3%,Fall by 5.27%,33.7%
Buy,2021-02-22 - 2021-02-23,1 days,2021-03-09,506.44,2021-03-23,535.09,10 days,5.7%,Rise by 9.65%,39.4%
Sell,2021-04-12 - 2021-04-13,1 days,2021-04-16,546.54,2021-04-23,505.55,5 days,7.5%,Fall by 10.95%,46.9%
Buy,2021-05-06 - 2021-05-11,3 days,2021-05-18,486.28,2021-06-23,512.74,26 days,5.4%,Rise by 12.68%,52.3%
Sell,2021-05-27 - 2021-05-28,1 days,2021-06-03,489.43,2021-06-11,488.77,6 days,0.1%,Fall by -4.35%,52.5%
