Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-02,42.8300,2021-12-29,34.0600,19 days,-20.48%,-20.4763%,Rise by -12.65%,-20.4763%
Buy,2021-12-30,37.0900,2022-03-03,31.3200,45 days,-15.56%,-15.5568%,Rise by 3.69%,-36.0331%
Buy,2022-03-09,29.5400,2022-03-11,24.0000,2 days,-18.75%,-18.7542%,Rise by 5.96%,-54.7873%
Buy,2022-09-26,25.4000,2022-10-14,21.6500,14 days,-14.76%,-14.7638%,Rise by -11.14%,-69.5511%
Buy,2022-10-17,22.5200,2022-11-15,26.8100,21 days,19.05%,19.0497%,Rise by -14.74%,-50.5013%
Buy,2023-02-27,29.3800,2023-03-02,31.4900,3 days,7.18%,7.1818%,Rise by 8.0%,-43.3196%
Buy,2023-03-14,28.9300,2023-03-23,30.3100,7 days,4.77%,4.7701%,Rise by 9.68%,-38.5494%
Buy,2023-08-21,26.9600,2023-08-28,28.3500,5 days,5.16%,5.1558%,Rise by 6.31%,-33.3937%
Buy,2024-07-01,27.1000,2024-07-03,28.2100,2 days,4.10%,4.0959%,Rise by 0.85%,-29.2977%
Buy,2025-01-14,28.2200,2025-01-17,29.3800,3 days,4.11%,4.1106%,Rise by 29.87%,-25.1872%
Buy,2025-04-09,30.0100,2025-04-23,32.0100,10 days,6.66%,6.6644%,Rise by 17.36%,-18.5227%
