Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2012-12-31,4.25,2017-12-31,7.67,1304 days,2007-12-31/3.74,80.47%,80.47%,Rise by 202.35%,80.47%,
Buy,2019-12-31,8.5,2025-11-03,14.72,1524 days,2017-12-31/7.67,73.18%,73.18%,Rise by 73.18%,153.65%,
