Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2022-07-05,432.4,2022-11-18,593.16,Buy,98 Days,-3.27,Rise by 25.41%,37.18%,37.18%,
2022-09-02,467.19,2022-11-18,593.16,Buy,55 Days,-4.01,Rise by 8.08%,26.96%,64.14%,
2023-10-02,582.18,2023-11-24,691.18,Buy,39 Days,-3.55,Rise by 5.94%,18.72%,82.86%,
2024-05-01,852.84,2024-07-16,1068.1899,Buy,54 Days,-4.62,Rise by 9.08%,25.25%,108.12%,
2024-08-02,809.35,2025-06-16,775.23,Buy,226 Days,-7.07,Rise by 16.59%,-4.22%,103.9%,
2024-10-03,832.41,2024-12-10,705.27,Buy,48 Days,-3.02,Rise by 4.79%,-15.27%,88.63%,
2024-11-01,674.73,2025-06-16,775.23,Buy,161 Days,-6.65,Rise by 2.7%,14.89%,103.52%,
2025-04-01,667.34,2025-06-16,775.23,Buy,54 Days,-4.57,Rise by -10.78%,16.17%,119.69%,
2025-05-01,666.72,2025-06-30,801.39,Buy,42 Days,-4.12,Rise by 15.33%,20.2%,139.89%,
2025-08-01,689.82,2025-09-26,951.52,Buy,40 Days,-4.2,Rise by 9.53%,37.94%,177.82%,
