Date,Function,Bullish Asset vs Total Asset (%),Bullish Signal vs Total Signal (%),Total New Long Signal,Last 6 Month Top 10 Percentile No of Long Signal,Total New Short Signal,Last 6 Month Top 10 Percentile No of Short Signal
2026-02-13,FRACTAL TRACK,0.0%,0.0%,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2026-02-13,DELTADRIFT,0.2%,100.0%,9,10,1,4
2026-02-13,TRENDPULSE,0.8%,100.0%,19,15,1,2
2026-02-13,OSCILLATOR DELTA,0.0%,0%,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2026-02-13,SIGMASHELL,0.0%,0%,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2026-02-13,PULSEGAUGE,0.0%,0%,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2026-02-13,BASELINEDIVERGENCE,0.2%,100.0%,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2026-02-13,All Function Combined,1.2%,85.71%,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2026-02-13,Combined (TrendPulse + DeltaDrift + BandMatrix),2.8%,100.0%,32,23,2,4
