Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"SLV, Long, 2026-03-08 (Price: 75.94)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 11","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 75.94), 0.0% below",0 days,81.17,No Information,No Information,No Information,"50% (Price: 64.4), 17.92% above, Upmove Bounce Back","2023-10-08 (Price: 18.97), 2026-02-01 (Price: 109.83)",No Information,27.39%/2.49%/14.94%,"0%, 72.45%",14.4 years/2.1 months/3.5 years,2046-09-27/2026-06-07/2031-03-07,2.66%,4.57%,-1.91%,1.86,0.24,93.5733/87.2854/130.46/No Horizontal Resistance/95.8563/101.3904/No EMA 200 Target,27.08/18.99/67.0665/59.2029/72.0235/60.345/49.31,95.38%/65/1.4 year (Across ALL Assets),56.43%/140/7.6 months (Across ALL Assets)
FRACTAL TRACK,"^NZ50, Long, 2026-03-08 (Price: 13519.3496)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 8","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 13519.3496), 0.0% below",0 days,13656.6504,No Information,No Information,No Information,"23.66% (Price: 12961.3876), 4.3% above, Upmove Bounce Back","2022-06-19 (Price: 10392.0195), 2026-01-18 (Price: 13757.71)",No Information,16.08%/8.71%/14.43%,"-0.0%, 11.02%",1.7 year/2.8 months/10.4 months,2028-08-10/2026-07-07/2027-06-02,8.33%,5.06%,3.27%,1.43,0.3,13989.823/15470.1917/15538.76/No Horizontal Resistance/14523.0985/16781.6883/No EMA 200 Target,13198.18/10608.2731/12696.4249/9172.411/12961.3876/12472.0162/13165.69,95.38%/65/1.4 year (Across ALL Assets),56.43%/140/7.6 months (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-03-08 (Price: 5.63)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-06 (Price: 5.63), 0.0% below",0 days,5.6,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,24.31%/1.96%/9.79%,"-0.0%, 22.1%",8.9 months/1.2 month/3.1 months,2027-03-29/2026-04-29/2026-07-20,11.4%,7.53%,3.87%,1.15,0.39,6.2071/6.1812/6.39/6.825/7.4565/8.4564/5.72,5.46/4.3875/4.8318/4.5145/No support/No support/No EMA 200 Support,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets)
FRACTAL TRACK,"AMZN, Long, 2026-03-08 (Price: 213.21)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 213.21), 0.0% below",0 days,204.55,No Information,No Information,No Information,"23.66% (Price: 200.6016), 6.29% above, Upmove Bounce Back","2018-12-30 (Price: 65.35), 2025-02-09 (Price: 242.52)",No Information,31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2030-03-05/2026-04-17/2027-01-23,13.55%,17.13%,-3.58%,1.66,0.81,251.2893/249.1572/319.51/241.71/257.1563/274.1043/224.48,198.79/86.995/194.9126/182.8127/No support/190.9211/No EMA 200 Support,95.38%/65/1.4 year (Across ALL Assets),56.43%/140/7.6 months (Across ALL Assets)
FRACTAL TRACK,"TWR.NZ, Long, 2026-03-08 (Price: 1.835)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 1.835), 0.0% below",0 days,1.855,No Information,No Information,No Information,"23.66% (Price: 1.7809), 3.04% above, Upmove Bounce Back","2023-05-14 (Price: 0.6222), 2026-01-18 (Price: 2.14)",No Information,19.96%/16.4%/17.75%,"5.18%, 29.49%",3.7 years/2.6 months/2.3 years,2031-06-19/2026-06-28/2029-06-17,5.69%,-0.45%,6.14%,0.96,-0.01,2.0269/2.1607/2.75/No Horizontal Resistance/6.8847/7.4549/No EMA 200 Target,1.35/0.6472/1.6498/1.4252/1.0203/0.9992/1.78,95.38%/65/1.4 year (Across ALL Assets),56.43%/140/7.6 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2026-03-08 (Price: 9.4)",No Exit Yet,"0.0%, 0 days","87.5%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 9.4), 0.0% below",0 days,9.25,No Information,No Information,No Information,"38.2% (Price: 9.1207), 3.06% above, Upmove Bounce Back","2024-09-29 (Price: 7.86), 2025-11-30 (Price: 9.9)",No Information,21.39%/10.13%/17.13%,"4.94%, 48.33%",11.8 years/4 months/4.2 years,2043-01-10/2026-08-28/2032-03-06,0.12%,1.98%,-1.86%,1.07,0.04,9.5955/11.0102/10.62/9.85/10.2248/12.5777/No EMA 200 Target,9.25/6.86/9.0337/8.3564/9.1713/8.7234/9.24,95.38%/65/1.4 year (Across ALL Assets),56.43%/140/7.6 months (Across ALL Assets)
DELTADRIFT,"INFY, Long, 2026-03-08 (Price: 14.44)",No Exit Yet,"0.0%, 0 days","87.5%, Past 15 years, 8","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 14.44), 0.0% below",0 days,14.09,No Information,No Information,No Information,No Information,No Information,No Information,16.57%/6.3%/10.74%,"21.95%, 25.26%",8.9 months/1.4 month/3.3 months,2027-03-29/2026-05-07/2026-07-29,6.63%,3.65%,2.98%,0.56,0.18,17.0811/15.9909/16.54/23.796/25.6134/28.2828/17.25,No Recent Minima/No Horizontal Support/14.1529/13.3229/11.7334/9.4094/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets)
TRENDPULSE,"USCI, Long, 2026-03-08 (Price: 90.45)",No Exit Yet,"0.0%, 0 days","82.35%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-06 (Price: 90.45), 0.0% below",0 days,87.16,No Information,No Information,No Information,No Information,No Information,8.92% above/3.44% above/0.0% below,7.03%/0.99%/4.69%,"3.24%, 32.4%",10.3 months/1.4 month/4.8 months,2027-05-29/2026-05-07/2026-10-02,4.58%,0.7%,3.88%,0.91,-0.17,93.3354/94.6921/98.83/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,76.07/38.42/No F-Stack Support/No F-Stack Support/74.8572/65.1764/77.55,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets)
TRENDPULSE,"SBUX, Long, 2026-03-08 (Price: 98.99)",No Exit Yet,"0.0%, 0 days","81.25%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-06 (Price: 98.99), 0.0% below",0 days,95.71,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,20.61%/4.98%/14.44%,"16.17%, 42.95%",4.9 months/1.2 month/2.3 months,2026-10-06/2026-04-29/2026-06-15,6.25%,8.41%,-2.16%,0.63,0.44,106.731/113.2842/115.39/117.0525/140.7332/170.0696/No EMA 200 Target,83.97/71.675/94.3166/84.7283/98.7153/92.925/88.94,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2026-03-08 (Price: 2557.6001)",No Exit Yet,"0.0%, 0 days","75.0%, Past 15 years, 4","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 2557.6001), 0.0% below",0 days,2592.0,No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.22%,"14.47%, 16.73%",1.9 month/21 days/1.2 month,2026-05-29/2026-04-07/2026-04-29,4.8%,8.26%,-3.46%,0.2,0.45,2789.3187/2767.8348/2778.58/4543.575/4920.1406/5233.5809/3135.93,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets)
