Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Daily,0.6082,0.5968,1.88,Support
NZDCAD=X,Daily,0.8327,0.8239,1.05,Resistance
NZDCAD=X,Weekly,0.8305,0.8239,0.79,Resistance
EURUSD=X,Daily,1.168,1.1787,0.92,Support
GBPUSD=X,Daily,1.3631,1.3495,1.0,Support
GBPUSD=X,Weekly,1.3445,1.3495,0.37,Resistance
CAD=X,Weekly,1.3785,1.3632,1.11,Support
CAD=X,Daily,1.3856,1.3632,1.62,Support
GBPSGD=X,Weekly,1.7483,1.7121,2.07,Support
GBPSGD=X,Daily,1.7279,1.7121,0.91,Support
GBPSGD=X,Monthly,1.6701,1.7121,2.51,Support
FBU.NZ,Daily,3.49,3.51,0.57,Support
^TNX,Daily,4.1085,4.079,0.72,Support
MEL.NZ,Weekly,5.73,5.64,1.57,Resistance
MEL.NZ,Daily,5.725,5.64,1.48,Support
MCY.NZ,Daily,6.2083,6.19,0.3,Support
C6L.SI,Daily,7.0067,7.0,0.1,Resistance
CEN.NZ,Daily,9.365,9.19,1.87,Support
CNU.NZ,Weekly,9.3875,9.26,1.36,Support
CNU.NZ,Daily,9.1117,9.26,1.63,Support
SUM.NZ,Daily,10.56,10.42,1.33,Support
GLXY,Daily,22.14,21.73,1.85,Resistance
DBC,Daily,24.2867,24.21,0.32,Resistance
PFE,Daily,27.204,27.37,0.61,Resistance
RINF,Daily,32.3213,32.05,0.84,Support
KWEB,Daily,32.2483,32.89,1.99,Support
HDB,Daily,33.7517,33.35,1.19,Support
ASHR,Daily,34.17,34.01,0.47,Resistance
FPH.NZ,Daily,37.54,36.8,1.97,Support
FXI,Daily,37.97,38.72,1.98,Resistance
XLF,Daily,51.78,52.59,1.56,Support
BTI,Daily,59.135,58.87,0.45,Support
IHI,Weekly,58.545,59.45,1.55,Support
BIPC.TO,Weekly,67.1133,66.24,1.3,Resistance
BIPC.TO,Daily,67.0533,66.24,1.21,Support
USO,Daily,78.45,79.4,1.21,Resistance
HYG,Weekly,78.975,80.91,2.45,Resistance
HYG,Daily,79.5127,80.91,1.76,Resistance
JNK,Weekly,96.515,97.53,1.05,Resistance
JNK,Daily,96.8482,97.53,0.7,Resistance
DIS,Daily,106.468,107.1,0.59,Resistance
IEI,Daily,119.2687,119.92,0.55,Resistance
IEI,Weekly,119.345,119.92,0.48,Resistance
JPY=X,Daily,151.585,153.294,1.13,Support
PG,Daily,158.065,156.86,0.76,Support
XLV,Daily,159.7267,157.67,1.29,Resistance
DOL.TO,Daily,197.56,195.75,0.92,Resistance
WIPRO.NS,Daily,208.135,211.95,1.83,Support
BYD.TO,Daily,231.6533,233.28,0.7,Support
BPCL.NS,Daily,378.775,380.9,0.56,Support
MA,Daily,526.015,527.98,0.37,Support
HDFCBANK.NS,Daily,939.55,924.7,1.58,Support
RELIANCE.NS,Daily,1423.075,1441.3,1.28,Support
^NZ50,Weekly,13418.2035,13082.8496,2.5,Support
^NZ50,Daily,13075.415,13082.8496,0.06,Support
^NSEI,Daily,26106.6328,25819.3496,1.1,Resistance
NIFTY_MIDCAP_100.NS,Daily,60128.6094,60183.1992,0.09,Resistance
