Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5753,1.43,Resistance
NZDCAD=X,Daily,0.8068,0.7982,1.07,Resistance
NZDCAD=X,Weekly,0.7951,0.7982,0.39,Support
USDCHF=X,Daily,0.798,0.7986,0.07,Support
EURUSD=X,Daily,1.175,1.1663,0.74,Resistance
EURUSD=X,Weekly,1.1452,1.1663,1.84,Support
GBPUSD=X,Weekly,1.3445,1.3439,0.04,Resistance
GBPUSD=X,Daily,1.3631,1.3439,1.41,Resistance
CAD=X,Daily,1.3888,1.3815,0.53,Resistance
CAD=X,Weekly,1.3845,1.3815,0.22,Resistance
GBPSGD=X,Weekly,1.7483,1.7287,1.12,Resistance
GBPSGD=X,Daily,1.7443,1.7287,0.9,Resistance
^TNX,Daily,4.1085,4.183,1.81,Support
MEL.NZ,Daily,5.725,5.67,0.96,Resistance
MEL.NZ,Weekly,5.73,5.67,1.05,Resistance
C6L.SI,Daily,6.48,6.46,0.31,Resistance
C6L.SI,Monthly,6.5913,6.46,1.99,Resistance
MCY.NZ,Weekly,6.7075,6.55,2.35,Resistance
MCY.NZ,Daily,6.6808,6.55,1.96,Resistance
AIA.NZ,Weekly,8.295,8.5,2.47,Support
AIA.NZ,Daily,8.365,8.5,1.61,Support
CEN.NZ,Daily,9.4367,9.3,1.45,Resistance
CNU.NZ,Weekly,9.3875,9.36,0.29,Resistance
CNU.NZ,Daily,9.22,9.36,1.52,Support
BYDDY,Weekly,12.0509,12.19,1.15,Support
SUM.NZ,Daily,12.65,12.41,1.9,Resistance
INFY,Daily,17.818,18.04,1.25,Support
DBC,Daily,22.9875,22.88,0.47,Resistance
PFE,Daily,25.65,25.29,1.4,Resistance
EBO.NZ,Daily,28.005,27.5,1.8,Resistance
RINF,Daily,32.33,32.215,0.36,Resistance
HDB,Daily,33.7517,33.39,1.07,Resistance
ASHR,Daily,34.08,33.72,1.06,Resistance
EFN.TO,Daily,34.925,35.05,0.36,Support
GLXY.TO,Daily,35.14,35.37,0.65,Support
KWEB,Weekly,36.11,35.92,0.53,Resistance
FPH.NZ,Daily,39.407,38.9,1.29,Resistance
XLU,Daily,41.191,41.99,1.94,Support
CNQ.TO,Daily,43.1116,43.71,1.39,Support
XLE,Daily,46.9357,46.55,0.82,Resistance
XLE,Weekly,47.1,46.55,1.17,Resistance
INDY,Daily,49.0133,48.76,0.52,Resistance
NOVA.F,Daily,49.75,49.1,1.31,Resistance
NVO,Daily,58.0333,57.34,1.19,Resistance
PYPL,Daily,58.475,58.27,0.35,Resistance
MX.TO,Daily,63.13,62.74,0.62,Resistance
IHI,Daily,64.93,64.2,1.12,Resistance
USO,Daily,71.282,70.54,1.04,Resistance
ATD.TO,Daily,74.91,75.49,0.77,Support
HYG,Daily,80.075,80.94,1.08,Support
HYG,Weekly,78.975,80.94,2.49,Support
JNK,Daily,96.8482,97.59,0.77,Support
JNK,Weekly,96.515,97.59,1.11,Support
UPS,Daily,107.93,106.97,0.89,Resistance
UPS,Weekly,106.345,106.97,0.59,Support
DIS,Weekly,114.645,114.17,0.41,Resistance
IEI,Daily,119.6471,119.37,0.23,Resistance
IEI,Weekly,119.345,119.37,0.02,Support
GILD,Daily,120.895,120.67,0.19,Resistance
XLY,Daily,121.1117,122.92,1.49,Support
CNR.TO,Daily,138.38,137.89,0.35,Resistance
PG,Daily,142.22,141.53,0.49,Resistance
JPY=X,Daily,159.6617,156.68,1.87,Resistance
XLV,Daily,159.295,158.12,0.74,Resistance
DOL.TO,Daily,197.56,199.35,0.91,Support
BYD.TO,Daily,214.205,215.55,0.63,Support
HDFCBANK.NS,Daily,939.55,946.7,0.76,Support
^NZ50,Weekly,13418.2035,13668.96,1.87,Support
^NSEI,Daily,25973.3496,25876.8496,0.37,Resistance
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60222.5508,0.07,Support
