Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"BEL.NS, Long, 2026-03-25 (Price: 413.45)",Daily,No Exit Yet,433.5 (Horizontal),No Date Target,5.09%/5.47%,"4.75%, 14 days","2026-04-08 (Price: 433.1), 4.75% above",484.2326 (Historic Rise or Fall to Pivot)/461.1621 (Avg % Gain of Historic Winning trades)/469.25 (Function Specific Target)/456.8119 (F-Stack 1)/613.9011 (F-Stack 2)/470.7128 (Backtested Max)/455.1258 (Backtested Min),2027-05-20 (Max)/2026-04-17 (Min)/2026-09-23 (Avg),405.5/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/410.98,"92.86%, Past 5 years, 14",416.3,No Information,No Information,No Information,"78.6% (Price: 400.352), 8.18% above, Upmove Bounce Back","2025-12-18 (Price: 380.45), 2026-03-06 (Price: 473.45)",No Information,13.85%/10.08%/11.54%,"1.47%, 23.88%",9.7 months/16 days/4.2 months,27.95%,37.48%,-9.53%,0.0,1.95,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets)
DELTADRIFT,"BEL.NS, Long, 2026-03-25 (Price: 413.45)",Daily,2026-04-08 (Price: 433.1),433.5 (Horizontal),2026-04-07 (Avg),1.36%/1.76%,"4.75%, 14 days","2026-04-08 (Price: 433.1), 4.75% above",451.1566 (Historic Rise or Fall to Pivot)/440.72 (Function Specific Target)/456.8119 (F-Stack 1)/613.9011 (F-Stack 2)/439.0012 (Backtested Max),2026-04-21 (Max),405.5/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/410.98,"88.89%, Past 4 years, 9",416.3,No Information,No Information,No Information,No Information,No Information,No Information,6.18%/2.69%/4.07%,"11.23%, 12.53%",19 days/2 days/9 days,12.03%,37.48%,-25.45%,0.74,1.95,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets)
TRENDPULSE,"BEL.NS, Long, 2025-05-31 (Price: 384.6)",Monthly,2026-04-08 (Price: 433.1),No Price Target,No Date Target,5.47%/33.9%,"12.61%, 10.4 months","2026-04-08 (Price: 433.1), 12.61% above",697.6259 (Historic Rise or Fall to Pivot)/579.9383 (Avg % Gain of Historic Winning trades)/456.8119 (F-Stack 2)/653.8585 (Backtested Max),2026-08-21 (Max),246.25/39.05/287.8162/240.2858/No F-Track Level/No F-Track Level/293.59,"100.0%, Past 20 years, 9",310.8,No Information,No Information,No Information,No Information,No Information,37.89% above/37.12% above/12.61% above,70.01%/11.06%/50.79%,"0%, 18.14%",10.3 months/4.1 months/6.8 months,20.79%,17.26%,3.53%,0.0,0.78,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets)
BASELINEDIVERGENCE,"BEL.NS, Long, 2026-04-05 (Price: 421.6)",Weekly,No Exit Yet,433.5 (Horizontal),No Date Target,5.47%/5.47%,"2.73%, 3 days","2026-04-08 (Price: 433.1), 2.73% above",505.9622 (Historic Rise or Fall to Pivot)/498.7528 (Avg % Gain of Historic Winning trades)/456.8119 (Function Specific Target)/456.8119 (F-Stack 1)/613.9011 (F-Stack 2)/683.0342 (Backtested Max),2027-07-05 (Max)/2026-07-05 (Min)/2026-09-25 (Avg),404.75/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/410.98,"81.51%, Past 10 years, 119",400.0,No Information,"^NSEI, Local Extrema Case",No Information,No Information,No Information,No Information,62.01%/0.22%/18.3%,"36.52%, 45.62%",10.5 months/2.1 months/4 months,34.37%,19.02%,15.35%,0.0,0.9,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2026-03-29 (Price: 282.84)",Weekly,No Exit Yet,No Price Target,2026-04-08 (Min),5.49%/9.38%,"5.15%, 10 days","2026-04-08 (Price: 297.4), 5.15% above",313.7261 (Historic Rise or Fall to Pivot)/330.7531 (Avg % Gain of Historic Winning trades)/424.42 (Function Specific Target)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/345.8002 (Backtested Max)/325.2943 (Backtested Min),2029-05-19 (Max)/2027-05-07 (Avg),210.28/125.7575/275.691/208.1524/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.12%, Past 20 years, 17",294.31,No Information,No Information,No Information,"23.66% (Price: 281.4195), 5.68% above, Upmove Bounce Back","2022-10-16 (Price: 101.28), 2026-01-11 (Price: 337.25)",No Information,22.26%/15.01%/16.94%,"6.94%, 37.49%",2.2 years/7 days/9.3 months,13.23%,7.04%,6.19%,0.0,0.36,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-03-31 (Price: 245.3)",Quarterly,2026-04-08 (Price: 297.4),No Price Target,No Date Target,27.11%/30.09%,"21.24%, 1 year","2026-04-07 (Price: 297.4), 21.24% above",386.88 (Function Specific Target)/378.0318 (Backtested Max),2030-05-21 (Max)/2026-09-03 (Min)/2027-10-25 (Avg),104.5/91.08/208.1524/186.1217/No F-Track Level/No F-Track Level/230.23,"100.0%, Past 45 years, 6",240.92,No Information,No Information,No Information,No Information,No Information,24.07% above/19.86% above/21.24% above,54.11%/10.04%/26.54%,"0%, 36.16%",3.6 years/1 year/1.8 year,5.39%,6.11%,-0.72%,0.0,0.31,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2024-06-30 (Price: 202.26)",Quarterly,2026-04-08 (Price: 297.4),311.7029 (Backtested Max),No Date Target,6.93%,"47.04%, 1.8 year","2026-04-07 (Price: 297.4), 47.04% above",318.02 (Function Specific Target),2029-08-20 (Max)/2027-01-24 (Avg),104.5/91.08/186.1217/130.0388/No F-Track Level/No F-Track Level/173.92,"100.0%, Past 45 years, 6",199.99,No Information,No Information,No Information,No Information,No Information,47.04% above/47.04% above/47.04% above,54.11%/10.04%/26.54%,"0%, 36.16%",3.6 years/1 year/1.8 year,5.39%,6.11%,-0.72%,0.0,0.31,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-04-05 (Price: 750.9)",Weekly,2026-04-08 (Price: 816.1),815.177 (Avg % Gain of Historic Winning trades),No Date Target,2.79%/16.98%,"8.68%, 3 days","2026-04-08 (Price: 816.1), 8.68% above",1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1180.6259 (F-Stack 2)/954.66 (EMA 200)/838.8304 (Backtested Max),2026-07-13 (Max)/2026-05-15 (Min)/2026-06-17 (Avg),718.95/640.9/697.8792/606.5732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"83.33%, Past 15 years, 6",745.2,No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.56%,"12.08%, 16.27%",2.3 months/28 days/1.7 month,6.79%,9.15%,-2.36%,1.13,0.54,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets)
OSCILLATOR DELTA,"HDFCBANK.NS, Long, 2026-04-06 (Price: 771.0)",Daily,No Exit Yet,817.26 (Function Specific Target),2026-04-10 (Min),0.85%/16.98%,"5.85%, 2 days","2026-04-08 (Price: 816.1), 5.85% above",1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1180.6259 (F-Stack 2)/954.66 (EMA 200)/823.0425 (Backtested Max),2026-08-27 (Max)/2026-04-10 (Min)/2026-05-23 (Avg),No Recent Minima/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"80.0%, Past 6 years, 20",759.0,No Information,No Information,No Information,No Information,No Information,No Information,6.75%/0.15%/2.34%,"12.51%, 12.74%",3.3 months/3 days/1.1 month,-0.37%,6.52%,-6.89%,0.0,0.35,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets)
SIGMASHELL,"HDFCBANK.NS, Long, 2026-03-23 (Price: 744.15)",Daily,No Exit Yet,817.0023 (Backtested Max),No Date Target,16.98%/23.71%,"9.67%, 16 days","2026-04-08 (Price: 816.1), 9.67% above",1098.0619 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/954.66 (EMA 200),2026-11-03 (Max)/2026-06-09 (Min)/2026-08-13 (Avg),No Recent Minima/640.9/697.8792/606.5732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 5 years, 7",763.15,"-3.21, 100.0%",No Information,No Information,No Information,No Information,No Information,9.79%/0.8%/5.86%,"-0.0%, 22.66%",5.2 months/1.8 month/3.3 months,8.27%,12.09%,-3.82%,0.0,0.64,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets)
