"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"PG, Long, 2026-03-31 (Price: 144.44)",No Exit Yet,"0.0%, 0 days","79.17%, Past 39 years, 24","Monthly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 144.44), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 137.9487),4.71% above,"1962-06-30 (Price: 0.8809), 2024-11-30 (Price: 180.43)",28.68%/2.46%/20.12%,"29.44%, 32.8%",5.2 years/4.1 months/1.4 year,2033-09-01/2026-09-23/2028-03-28,5.59%,5.32%,0.27%,0.88,0.27,156.8763/173.5013/252.17/179.4533/202.162/210.6287/152.17,143.31/130.72/124.1296/103.7096/144.4315/134.6455/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.3%/61/10.2 months (Across ALL Assets),165.29
"TD, Long, 2026-03-31 (Price: 93.31)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 93.31), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 89.1543),4.66% above,"2025-04-07 (Price: 54.87), 2026-02-27 (Price: 99.78)",11.2%/0.13%/8.42%,"-0.0%, 26.48%",2.8 years/29 days/1.3 year,2030-03-28/2026-05-12/2028-02-06,9.19%,5.69%,3.5%,1.75,0.3,100.0097/101.1667/120.26/No Horizontal Resistance/106.9178/114.6321/No EMA 200 Target,91.37/54.526/92.1326/74.8838/84.1549/74.5527/83.99,91.67%/264/5.4 months (Across ALL Assets),45.28%/53/5.8 months (Across ALL Assets),92.52
"SFTBY, Long, 2026-03-31 (Price: 12.09)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 14","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 10.55 prior to 2026-04-03,"2026-03-31 (Price: 12.09), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 10.4799),15.36% above,"2020-03-22 (Price: 3.05), 2025-11-02 (Price: 22.5)",29.9%/6.41%/19.26%,"0%, 64.01%",4.4 years/28 days/11.9 months,2032-07-11/2026-05-10/2027-08-30,13.52%,8.18%,5.34%,3.16,0.42,13.1019/14.4185/23.76/No Horizontal Resistance/22.5282/24.0279/13.57,10.83/4.205/12.0158/10.9987/11.6634/8.7175/No EMA 200 Stop Loss,90.0%/60/1.5 year (Across ALL Assets),54.55%/154/7.7 months (Across ALL Assets),11.67
"XLU, Long, 2026-03-31 (Price: 45.89)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 19","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 44.435 prior to 2026-04-03,"2026-03-31 (Price: 45.89), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 44.8884),2.23% above,"2025-04-13 (Price: 35.51), 2026-03-01 (Price: 47.795)",18.94%/4.73%/14.15%,"0%, 42.71%",6.5 years/4.2 months/1.3 year,2035-07-11/2026-09-29/2028-02-06,10.1%,3.65%,6.45%,3.45,0.14,47.1979/52.3834/53.26/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.51/29.8725/43.7042/35.4254/42.966/39.9984/43.62,90.0%/60/1.5 year (Across ALL Assets),54.55%/154/7.7 months (Across ALL Assets),46.17
"BAC, Long, 2026-03-31 (Price: 48.75)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 46.115 prior to 2026-04-03,"2026-03-31 (Price: 48.75), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 45.31),7.59% above,"2025-04-13 (Price: 33.07), 2026-01-11 (Price: 57.55)",23.39%/15.45%/17.62%,"0%, 66.1%",3.5 years/7 days/11 months,2031-03-30/2026-04-10/2027-07-21,15.62%,0.42%,15.2%,8.65,0.15,52.6646/57.3398/63.44/48.7833/60.5768/64.246/50.79,46.72/29.49/44.5293/38.6463/No stop loss/45.1006/No EMA 200 Stop Loss,90.0%/60/1.5 year (Across ALL Assets),54.55%/154/7.7 months (Across ALL Assets),47.55
"RHHBY, Long, 2026-03-31 (Price: 49.69)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 12","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 47.05 prior to 2026-04-03,"2026-03-31 (Price: 49.69), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 47.2508),5.16% above,"2016-12-11 (Price: 25.25), 2026-03-01 (Price: 60.85)",20.21%/3.05%/15.31%,"-0.0%, 31.38%",5.3 years/2.8 months/2.1 years,2033-10-23/2026-07-30/2029-03-30,7.02%,3.25%,3.77%,2.24,0.13,50.9422/57.2975/71.05/52.46/62.8778/67.5137/No EMA 200 Target,47.32/34.5167/46.9341/No stop loss/48.7597/45.025/46.6,90.0%/60/1.5 year (Across ALL Assets),54.55%/154/7.7 months (Across ALL Assets),48.99
"BN.TO, Long, 2026-03-31 (Price: 56.37)",No Exit Yet,"0.0%, 0 days","92.31%, Past 2 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 52.04 prior to 2026-04-03,"2026-03-31 (Price: 56.37), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 51.6386),9.16% above,"2025-04-13 (Price: 41.2533), 2026-01-11 (Price: 68.44)",18.15%/4.17%/14.91%,"0.94%, 29.1%",2 years/1.2 month/10.2 months,2029-02-05/2026-05-22/2027-06-17,10.18%,8.84%,1.34%,2.08,0.46,64.9833/64.7748/72.68/68.4166/75.9313/88.6784/61.41,52.55/41.16/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.0%/60/1.5 year (Across ALL Assets),54.55%/154/7.7 months (Across ALL Assets),54.81
"NA.TO, Long, 2026-03-31 (Price: 180.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 174.15 prior to 2026-04-03,"2026-03-31 (Price: 180.01), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 173.1163),3.98% above,"2025-04-13 (Price: 106.67), 2026-03-01 (Price: 193.71)",20.62%/0.12%/15.67%,"0%, 55.97%",3.7 years/3 months/1.1 year,2031-07-12/2026-08-08/2027-10-25,12.24%,6.18%,6.06%,3.57,0.32,191.2066/208.2176/232.23/No Horizontal Resistance/204.2705/224.9542/No EMA 200 Target,162.25/82.9367/162.0277/143.1328/173.1163/160.4607/159.9,90.0%/60/1.5 year (Across ALL Assets),54.55%/154/7.7 months (Across ALL Assets),176.17
"RY.TO, Long, 2026-03-31 (Price: 224.88)",No Exit Yet,"0.0%, 0 days","96.0%, Past 20 years, 25","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 217.01 prior to 2026-04-03,"2026-03-31 (Price: 224.88), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 219.2613),2.56% above,"2025-04-13 (Price: 151.25), 2026-01-11 (Price: 240.34)",18.64%/3.09%/15.45%,"4.2%, 53.44%",2.9 years/3.7 months/1.5 year,2030-05-21/2026-09-07/2028-05-21,9.06%,5.68%,3.38%,2.89,0.29,246.8958/259.624/278.33/No Horizontal Resistance/240.0573/255.5041/No EMA 200 Target,218.5/118.8425/200.2171/172.0705/200.5108/176.0341/208.98,90.0%/60/1.5 year (Across ALL Assets),54.55%/154/7.7 months (Across ALL Assets),220.71
"SJ.TO, Long, 2026-03-31 (Price: 93.34)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 87.96 prior to 2026-04-03,"2026-03-31 (Price: 93.34), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 86.3929),8.04% above,"2025-04-13 (Price: 62.26), 2026-02-15 (Price: 101.31)",21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2036-07-10/2026-05-22/2028-02-06,8.85%,12.31%,-3.46%,1.52,0.64,103.8314/108.2277/116.77/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,88.63/38.015/50.2755/47.8005/92.0708/86.3929/84.51,90.0%/60/1.5 year (Across ALL Assets),54.55%/154/7.7 months (Across ALL Assets),94.19
