"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"SUNPHARMA.NS, Long, 2026-04-06 (Price: 1694.6)",No Exit Yet,"1.18%, 2 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-04-06",No Cancellation Possible,"2026-04-08 (Price: 1714.6), 1.18% above",2 days,26.01%/0.46%/9.58%,"-0.0%, 15.96%",9.7 months/1.1 month/5 months,2027-06-01/2026-05-23/2026-11-09,18.3%,15.06%,3.24%,1.02,1.01,1787.6335/1856.9427/1822.29/1935.175/2110.5488/2409.4589/1697.26,1693.6/797.125/1465.6767/925.6338/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,83.53%/85/5.6 months (Across ALL Assets),64.74%/312/4.6 months (Across ALL Assets),1684.3
"BRK-B, Long, 2026-04-05 (Price: 477.35)",No Exit Yet,"0.15%, 3 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-04-05",No Cancellation Possible,"2026-04-08 (Price: 478.08), 0.15% above",3 days,112.3%/11.44%/48.49%,"-0.0%, 26.48%",5.5 years/8.4 months/2.4 years,2034-02-09/2027-04-05/2029-09-07,10.71%,8.62%,2.09%,0.57,0.55,516.8268/708.817/612.82/512.2133/630.85/709.9376/490.53,468.49/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.17%/24/2.1 years (Across ALL Assets),63.39%/112/1.1 year (Across ALL Assets),470.68
"XLV, Long, 2026-04-05 (Price: 146.81)",No Exit Yet,"-0.16%, 3 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-04-05",No Cancellation Possible,"2026-04-08 (Price: 146.57), 0.16% below",3 days,79.67%/7.74%/35.65%,"-0.0%, 17.2%",6 years/1.2 year/3.2 years,2034-10-28/2027-12-21/2030-10-29,8.63%,7.05%,1.58%,0.54,0.45,159.6852/199.1478/179.42/159.7267/174.1807/202.706/No EMA 200 Target,143.26/122.0086/117.2225/81.225/No F-Track Level/No F-Track Level/145.89,79.17%/24/2.1 years (Across ALL Assets),63.39%/112/1.1 year (Across ALL Assets),144.3
"CEN.NZ, Long, 2026-04-05 (Price: 9.38)",No Exit Yet,"0.21%, 3 days","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-04-05",No Cancellation Possible,"2026-04-08 (Price: 9.4), 0.21% above",3 days,18.24%/7.14%/13.85%,"-0.0%, 29.8%",2.7 years/1.2 year/2.1 years,2030-02-10/2027-12-21/2029-04-04,5.3%,2.67%,2.63%,0.23,0.08,9.455/10.6791/10.07/9.8433/11.2606/15.4512/No EMA 200 Target,9.06/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/9.25,79.17%/24/2.1 years (Across ALL Assets),63.39%/112/1.1 year (Across ALL Assets),9.14
"BYD.TO, Long, 2026-04-05 (Price: 171.6)",No Exit Yet,"0.16%, 3 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-04-05",No Cancellation Possible,"2026-04-08 (Price: 171.87), 0.16% above",3 days,104.75%/64.85%/84.8%,"8.17%, 50.63%",4.7 years/10.7 months/2.8 years,2032-12-19/2027-07-13/2030-04-02,11.99%,14.65%,-2.66%,0.53,0.76,203.6034/317.1168/260.36/256.6133/367.2583/388.6839/218.62,127.83/No Horizontal Support/147.1212/139.9966/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.17%/24/2.1 years (Across ALL Assets),63.39%/112/1.1 year (Across ALL Assets),177.0
"IEI, Long, 2026-03-29 (Price: 117.96)",No Exit Yet,"0.28%, 10 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-03-29",No Cancellation Possible,"2026-04-08 (Price: 118.29), 0.28% above",10 days,8.49%/0.78%/4.86%,"13.25%, 15.73%",3.5 years/1.6 year/2.6 years,2031-03-28/2028-07-10/2029-12-13,0.79%,0.13%,0.66%,-1.17,-1.18,119.5761/123.6929/121.63/130.0867/No Next Fib Ext/No Next Fib Ext/119.26,117.11/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.17%/24/2.1 years (Across ALL Assets),63.39%/112/1.1 year (Across ALL Assets),118.15
"BPCL.NS, Long, 2026-03-29 (Price: 282.7)",No Exit Yet,"5.45%, 10 days","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2026-03-29",No Cancellation Possible,"2026-04-08 (Price: 298.1), 5.45% above",10 days,134.61%/10.04%/73.2%,"-0.0%, 50.63%",3.9 years/8.4 months/2.4 years,2031-10-22/2027-03-29/2029-08-31,20.36%,8.35%,12.01%,0.71,0.42,312.6662/489.6364/401.15/383.0667/393.108/467.0257/342.72,237.3/145.35/248.4289/232.8593/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.17%/24/2.1 years (Across ALL Assets),63.39%/112/1.1 year (Across ALL Assets),280.05
