Date,Function,Bullish Asset vs Total Asset (%),Bullish Signal vs Total Signal (%)
2025-12-22,FRACTAL TRACK,0.0%,0.0%
2025-12-22,OSCILLATOR DELTA,0.0%,0%
2025-12-22,DELTADRIFT,1.26%,100.0%
2025-12-22,TRENDPULSE,1.26%,100.0%
2025-12-22,SIGMASHELL,0.0%,0%
2025-12-22,PULSEGAUGE,0.0%,0%
2025-12-22,BASELINEDIVERGENCE,0.0%,0%
2025-12-22,All Function Combined,2.52%,57.14%
