Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
DELTADRIFT,KXS.TO,Long,Weekly,2026-02-20,124.2,,,129.51,4.2754%,,Open,100.0
TRENDPULSE,CNR.TO,Long,Weekly,2026-02-20,151.19,,,153.07,1.2435%,,Open,88.0
TRENDPULSE,CNQ.TO,Long,Weekly,2026-02-20,58.0,,,59.67,2.8793%,,Open,86.36
FRACTAL TRACK,VGT,Long,Weekly,2026-02-20,737.6,,,726.7,-1.4778%,,Open,100.0
FRACTAL TRACK,TSLA,Long,Weekly,2026-02-20,411.82,,,402.51,-2.2607%,,Open,73.33
FRACTAL TRACK,SONY,Long,Weekly,2026-02-20,21.93,,,23.06,5.1528%,,Open,100.0
BASELINEDIVERGENCE,GLXY,Long,Weekly,2026-02-20,21.2,,,20.59,-2.8774%,,Open,100.0
DELTADRIFT,NFLX,Long,Weekly,2026-02-20,78.67,,,96.24,22.3338%,,Open,80.0
TRENDPULSE,TSM,Long,Weekly,2026-02-20,370.54,,,374.58,1.0903%,,Open,100.0
FRACTAL TRACK,ETH-USD,Long,Weekly,2026-02-20,1974.2324,,,1921.1412,-2.6892%,,Open,100.0
TRENDPULSE,BTI,Long,Daily,2026-02-20,62.08,,,62.65,0.9182%,,Open,100.0
FRACTAL TRACK,HYG,Long,Weekly,2026-02-20,81.0,,,80.72,-0.3457%,,Open,100.0
TRENDPULSE,ENZL,Long,Daily,2026-02-20,45.8355,2026-02-26,47.225,47.225,3.0315%,6.0,Closed,88.24
BASELINEDIVERGENCE,DOL.TO,Long,Weekly,2026-02-20,192.09,,,200.82,4.5447%,,Open,84.81
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2026-02-20,911.85,,,887.75,-2.6430%,,Open,82.0
FRACTAL TRACK,GLD,Long,Daily,2026-02-19,459.56,,,483.75,5.2637%,,Open,100.0
FRACTAL TRACK,BTI,Long,Daily,2026-02-19,60.99,,,62.65,2.7218%,,Open,100.0
FRACTAL TRACK,WPM,Long,Daily,2026-02-19,145.34,,,163.65,12.5980%,,Open,100.0
TRENDPULSE,DBC,Long,Daily,2026-02-19,24.43,2026-02-26,24.76,24.76,1.3508%,7.0,Closed,76.47
FRACTAL TRACK,^TNX,Long,Daily,2026-02-19,4.075,,,3.962,-2.7730%,,Open,100.0
FRACTAL TRACK,FPH.NZ,Long,Daily,2026-02-19,37.6,,,40.9,8.7766%,,Open,90.0
FRACTAL TRACK,USCI,Long,Daily,2026-02-19,82.76,,,85.38,3.1658%,,Open,94.44
FRACTAL TRACK,DBC,Long,Daily,2026-02-19,24.43,,,25.1,2.7425%,,Open,100.0
FRACTAL TRACK,USO,Long,Daily,2026-02-19,81.19,,,81.95,0.9361%,,Open,84.62
TRENDPULSE,CNQ.TO,Long,Daily,2026-02-19,58.23,,,59.67,2.4730%,,Open,78.26
TRENDPULSE,USCI,Long,Daily,2026-02-19,82.76,2026-02-26,84.288,84.288,1.8463%,7.0,Closed,100.0
FRACTAL TRACK,ENZL,Long,Daily,2026-02-19,46.0172,,,47.4776,3.1736%,,Open,100.0
