Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5805,0.54,Resistance
USDCHF=X,Daily,0.798,0.7959,0.27,Resistance
NZDCAD=X,Daily,0.7945,0.7991,0.58,Support
NZDCAD=X,Weekly,0.791,0.7991,1.02,Support
EURUSD=X,Daily,1.1602,1.1745,1.24,Support
GBPUSD=X,Daily,1.3631,1.337,1.91,Resistance
GBPUSD=X,Weekly,1.3358,1.337,0.09,Support
CAD=X,Daily,1.3856,1.3769,0.63,Resistance
CAD=X,Weekly,1.3785,1.3769,0.11,Resistance
GBPSGD=X,Daily,1.7279,1.7254,0.14,Resistance
GBPSGD=X,Weekly,1.7483,1.7254,1.31,Resistance
GNE.NZ,Daily,2.41,2.39,0.83,Resistance
GNE.NZ,Weekly,2.3525,2.39,1.59,Support
MEL.NZ,Daily,5.3643,5.46,1.78,Support
MEL.NZ,Weekly,5.33,5.46,2.44,Support
AIA.NZ,Daily,7.965,8.1,1.69,Support
AIA.NZ,Weekly,8.295,8.1,2.35,Resistance
CEN.NZ,Daily,9.4367,9.34,1.02,Resistance
CNU.NZ,Daily,9.22,9.34,1.3,Support
CNU.NZ,Weekly,9.3875,9.34,0.51,Resistance
SUM.NZ,Daily,12.345,12.25,0.77,Resistance
INFY,Daily,17.818,17.78,0.21,Resistance
DBC,Daily,22.8767,22.92,0.19,Support
PFE,Daily,25.8825,25.85,0.13,Resistance
PFE,Weekly,26.4516,25.85,2.27,Resistance
EBO.NZ,Daily,28.005,27.53,1.7,Resistance
RINF,Daily,32.33,32.585,0.79,Support
HDB,Daily,35.59,35.89,0.84,Support
KWEB,Weekly,36.11,36.89,2.16,Support
FPH.NZ,Daily,37.54,37.44,0.27,Resistance
CNQ.TO,Daily,46.105,45.44,1.44,Resistance
NVO,Daily,50.3825,50.18,0.4,Resistance
INDY,Daily,51.4767,52.31,1.62,Support
IHI,Daily,62.445,62.19,0.41,Resistance
BIPC.TO,Daily,63.1517,63.83,1.07,Support
NKE,Weekly,67.3625,67.47,0.16,Support
ATD.TO,Daily,73.26,72.24,1.39,Resistance
HYG,Weekly,78.975,80.57,2.02,Support
HYG,Daily,80.075,80.57,0.62,Support
JNK,Daily,97.4671,97.07,0.41,Resistance
JNK,Weekly,96.515,97.07,0.58,Support
UPS,Weekly,101.785,100.92,0.85,Resistance
IEI,Daily,118.72,119.36,0.54,Support
IEI,Weekly,119.345,119.36,0.01,Support
GILD,Daily,120.895,120.4,0.41,Resistance
XLY,Daily,121.1117,120.7,0.34,Resistance
ABNB,Daily,129.9725,128.39,1.22,Resistance
TFII.TO,Daily,141.86,141.37,0.35,Resistance
PG,Daily,142.22,142.84,0.44,Support
KXS.TO,Daily,171.3157,171.57,0.15,Support
BYD.TO,Daily,221.66,221.25,0.18,Resistance
MCD,Daily,321.3575,316.72,1.44,Resistance
HDFCBANK.NS,Daily,1009.6,1001.5,0.8,Resistance
RELIANCE.NS,Daily,1531.725,1556.5,1.62,Support
^NZ50,Weekly,13418.2035,13406.9102,0.08,Resistance
^NSEI,Daily,25973.3496,26046.9492,0.28,Support
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60283.3008,0.17,Support
