"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"DOL.TO, Long, 2026-03-03 (Price: 199.96)",No Exit Yet,"0.0%, 0 days","^GSPC, Normal Case",2026-03-01 (Price: 191.11),"84.81%, Past 10 years, 79","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 191.11 prior to 2026-03-06,"2026-03-03 (Price: 199.96), 0.0% below",0 days,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,2026-10-23/2026-06-02/2026-07-11,31.56%,15.32%,16.24%,0.92,0.93,221.3957/215.8568/252.753/No Horizontal Resistance/252.753/384.8349/No EMA 200 Target,183.5/53.2967/171.1219/120.6711/177.877/158.1608/190.0,75.0%/20/3.8 months (Across ALL Assets),66.61%/566/3.3 months (Across ALL Assets),200.0
"^GSPC, Long, 2026-03-01 (Price: 6878.8799)",No Exit Yet,"-0.9%, 2 days","^DJI, Normal Case",2026-02-22 (Price: 6775.5),"88.46%, Past 10 years, 52","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-03-03 (Price: 6816.6299), 0.9% below",2 days,21.88%/0.79%/8.32%,"14.2%, 31.81%",9.8 months/2.1 months/4.3 months,2027-04-30/2026-05-31/2026-09-03,23.94%,9.23%,14.71%,0.85,0.57,7522.7431/7451.2027/7318.7876/No Horizontal Resistance/7318.7876/7940.05/No EMA 200 Target,6836.17/4128.7074/6353.1151/5892.8418/No F-Track Level/No F-Track Level/6569.52,75.0%/20/3.8 months (Across ALL Assets),66.61%/566/3.3 months (Across ALL Assets),6901.25
"NVDA, Long, 2026-03-01 (Price: 177.19)",No Exit Yet,"1.61%, 2 days","^NDX, Normal Case",2025-12-21 (Price: 170.31),"83.7%, Past 10 years, 92","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-03-03 (Price: 180.05), 1.61% above",2 days,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,2027-03-22/2026-05-31/2026-08-21,75.78%,46.22%,29.56%,0.69,1.86,222.6038/248.6862/239.8943/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/175.45,75.0%/20/3.8 months (Across ALL Assets),66.61%/566/3.3 months (Across ALL Assets),191.4
"GLXY, Long, 2026-02-22 (Price: 21.2)",No Exit Yet,"-2.45%, 9 days","^GSPC, Normal Case",2026-02-15 (Price: 19.18),"100.0%, Past 4 years, 4","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 20.68), 2.45% below",9 days,67.52%/16.33%/40.96%,"-0.0%, 23.21%",4.9 months/2.1 months/3.6 months,2026-09-22/2026-05-24/2026-07-28,545.34%,20.06%,525.28%,1.09,0.93,29.2051/29.8835/No Target/22.14/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.76/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/nan,75.0%/20/3.8 months (Across ALL Assets),66.61%/566/3.3 months (Across ALL Assets),21.34
"DOL.TO, Long, 2026-02-22 (Price: 192.09)",No Exit Yet,"4.1%, 9 days","^GSPC, Normal Case",2026-02-15 (Price: 185.885),"84.81%, Past 10 years, 79","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 199.96), 4.1% above",9 days,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,2026-10-14/2026-05-24/2026-07-02,31.56%,15.32%,16.24%,0.92,0.93,212.682/207.3612/294.0831/197.56/294.0831/455.769/No EMA 200 Target,183.5/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.0,75.0%/20/3.8 months (Across ALL Assets),66.61%/566/3.3 months (Across ALL Assets),189.65
"NVDA, Long, 2026-02-22 (Price: 189.82)",No Exit Yet,"-5.15%, 9 days","^NDX, Normal Case",2026-02-08 (Price: 171.03),"83.7%, Past 10 years, 92","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 180.05), 5.15% below",9 days,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,2027-03-15/2026-05-24/2026-08-14,75.78%,46.22%,29.56%,0.69,1.86,238.4709/266.4124/239.8943/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,182.78/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/175.45,75.0%/20/3.8 months (Across ALL Assets),66.61%/566/3.3 months (Across ALL Assets),181.75
"HDFCBANK.NS, Long, 2026-02-22 (Price: 911.85)",No Exit Yet,"-3.56%, 9 days","^NSEI, Normal Case",2026-02-15 (Price: 901.0),"82.0%, Past 10 years, 150","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 879.4), 3.56% below",9 days,30.89%/0.05%/7.65%,"18.53%, 37.24%",7 months/2.1 months/3.1 months,2026-12-23/2026-05-24/2026-07-06,21.18%,9.63%,11.55%,0.72,0.57,1006.8648/981.6065/1098.0619/1009.6/1098.0619/1305.7899/973.52,903.9/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,75.0%/20/3.8 months (Across ALL Assets),66.61%/566/3.3 months (Across ALL Assets),903.9
