Symbol,Today price,New Highest
XIU.TO,$50.0600,√ $50.0800
XLE,$57.0400,√ $57.8800
WPM.TO,$226.6400,√ $226.6800
GDX,$115.3400,√ $117.1750
MCD,$334.8200,√ $341.7500
WPM,$165.7200,√ $165.7600
FPH.NZ,$41.4000,√ $41.4000
CNQ.TO,$60.5800,√ $62.7000
,,
