Symbol,Today price,New Highest
SOXX,$354.1500,√ $365.3800
ACWX,$73.2501,√ $74.0150
TSM,$371.2000,√ $379.6900
XLE,$54.2950,√ $55.2400
EEM,$61.1000,√ $61.9050
MAR,$356.7162,√ $370.0000
MCD,$331.4750,√ $333.3800
RHHBY,$58.7900,√ $58.8100
WMT,$134.1200,√ $134.1200
FRW.NZ,$14.8900,√ $15.2500
BIPC.TO,$68.5900,√ $70.0500
MSE.PA,$67.1400,√ $68.0900
EFA,$104.4350,√ $105.2350
EWJ,$93.6250,√ $94.2800
^STI,$5016.7598,√ $5021.2700
,,
