Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-12-28 (Price: 205.3)",Weekly,No Exit Yet,No Price Target,2026-03-11 (Avg),8.14%/9.35%,"-5.14%, 2.5 months","2026-03-13 (Price: 194.75), 5.14% below",241.3096 (Historic Rise or Fall to Pivot)/223.2022 (Avg % Gain of Historic Winning trades)/210.6 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/235.5202 (Backtested Max)/212.9577 (Backtested Min),2026-07-07 (Max),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/182.17,"100.0%, Past 10 years, 15",202.62,No Information,No Information,No Information,No Information,No Information,5.14% below/5.14% below/5.14% below,14.72%/3.73%/8.72%,"-0.0%, 10.74%",4.4 months/1.2 month/1.7 month,10.04%,18.73%,-8.69%,2.04,1.19,89.4%/151/4.7 months (Across ALL Assets),75.28%/267/3.6 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2026-01-04 (Price: 206.17)",Weekly,2026-03-13 (Price: 194.75),No Price Target,No Date Target,5.91%/14.28%,"-5.54%, 2.3 months","2026-03-13 (Price: 194.75), 5.54% below",228.2714 (Historic Rise or Fall to Pivot)/222.5605 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/264.1656 (Backtested Max)/206.2525 (Backtested Min),2026-08-26 (Max)/2026-04-05 (Min)/2026-05-14 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/190.97,"84.81%, Past 10 years, 79",205.6,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),66.08%/566/3.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-12-21 (Price: 203.39)",Weekly,2026-03-13 (Price: 194.75),No Price Target,No Date Target,12.74%/15.63%,"-4.25%, 2.7 months","2026-03-13 (Price: 194.75), 4.25% below",225.1934 (Historic Rise or Fall to Pivot)/219.5595 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/260.6036 (Backtested Max),2026-08-12 (Max)/2026-03-22 (Min)/2026-04-30 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/190.97,"84.81%, Past 10 years, 79",202.72,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),66.08%/566/3.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-23 (Price: 197.68)",Weekly,2026-03-13 (Price: 194.75),No Price Target,No Date Target,9.57%/12.39%,"-1.48%, 3.7 months","2026-03-13 (Price: 194.75), 1.48% below",218.8713 (Historic Rise or Fall to Pivot)/213.3956 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/253.2874 (Backtested Max),2026-07-15 (Max)/2026-04-02 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.97,"84.81%, Past 10 years, 79",194.41,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),66.08%/566/3.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-16 (Price: 194.93)",Weekly,2026-03-13 (Price: 194.75),No Price Target,No Date Target,8.05%/10.82%,"-0.09%, 3.9 months","2026-03-13 (Price: 194.75), 0.09% below",215.8265 (Historic Rise or Fall to Pivot)/210.4269 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/249.7638 (Backtested Max),2026-07-08 (Max)/2026-03-26 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.97,"84.81%, Past 10 years, 79",184.95,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),66.08%/566/3.3 months (Across ALL Assets)
DELTADRIFT,"SUM.NZ, Long, 2026-03-01 (Price: 10.66)",Weekly,No Exit Yet,No Price Target,2026-03-11 (Min),9.3%/12.6%,"-4.69%, 12 days","2026-03-13 (Price: 10.16), 4.69% below",13.0628 (Historic Rise or Fall to Pivot)/11.5927 (Avg % Gain of Historic Winning trades)/12.33 (Function Specific Target)/12.55 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.44 (EMA 200)/12.8208 (Backtested Max)/11.1045 (Backtested Min),2026-07-31 (Max)/2026-06-04 (Avg),10.5/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 14 years, 7",10.5,No Information,No Information,No Information,No Information,No Information,No Information,20.27%/4.17%/8.75%,"20.61%, 22.44%",3.5 months/7 days/2.2 months,2.34%,11.18%,-8.84%,0.05,0.61,76.92%/13/2.5 months (Across ALL Assets),86.09%/115/2.3 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-13 (Price: 10.16),No Price Target,No Date Target,37.39%/38.23%,"-20.81%, 1.3 year","2026-03-13 (Price: 10.16), 20.81% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/11.15,"83.33%, Past 20 years, 12",12.4,No Information,No Information,No Information,No Information,No Information,14.98% below/19.04% below/20.81% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.46%/82/11.7 months (Across ALL Assets),64.57%/127/9.5 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-13 (Price: 10.16),No Price Target,No Date Target,32.68%/33.49%,"-18.0%, 1.4 year","2026-03-13 (Price: 10.16), 18.0% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/10.96,"83.33%, Past 20 years, 12",11.89,No Information,No Information,No Information,No Information,No Information,14.98% below/18.0% below/18.0% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.46%/82/11.7 months (Across ALL Assets),64.57%/127/9.5 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",Monthly,2026-03-13 (Price: 10.16),No Price Target,No Date Target,27.97%/28.75%,"-14.98%, 1.5 year","2026-03-13 (Price: 10.16), 14.98% below",13.0016 (Historic Rise or Fall to Pivot)/14.6328 (Avg % Gain of Historic Winning trades)/14.19 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/16.6213 (Backtested Max)/13.0805 (Backtested Min),2027-06-17 (Max),8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/10.75,"83.33%, Past 20 years, 12",11.3,No Information,No Information,No Information,No Information,No Information,14.98% below/14.98% below/14.98% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.46%/82/11.7 months (Across ALL Assets),64.57%/127/9.5 months (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2026-02-15 (Price: 160.14)",Weekly,No Exit Yet,No Price Target,2026-03-10 (Avg),13.24%/15.84%,"-3.14%, 26 days","2026-03-13 (Price: 155.11), 3.14% below",214.1232 (Historic Rise or Fall to Pivot)/179.6771 (Avg % Gain of Historic Winning trades)/196.9 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/220.32 (EMA 200)/182.3834 (Backtested Max)/175.6416 (Backtested Min),2026-03-17 (Max),142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 15 years, 4",148.49,No Information,No Information,No Information,No Information,No Information,No Information,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,5.26%,6.77%,-1.51%,0.27,0.34,76.92%/13/2.5 months (Across ALL Assets),86.09%/115/2.3 months (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2026-03-06 (Price: 152.96)",Daily,No Exit Yet,No Price Target,2026-03-14 (Min),5.05%/12.05%,"1.41%, 7 days","2026-03-13 (Price: 155.11), 1.41% above",162.9483 (Historic Rise or Fall to Pivot)/268.62 (Function Specific Target)/300.069 (F-Stack 1)/370.6658 (F-Stack 2)/220.39 (EMA 200)/173.7932 (Backtested Max),2026-07-23 (Max)/2026-03-14 (Min)/2026-04-27 (Avg),141.31/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 19",152.92,No Information,No Information,No Information,No Information,No Information,0.21% above/1.41% above/1.41% above,13.62%/0.73%/5.92%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,18.7%,11.12%,7.58%,0.94,0.53,92.26%/297/1.2 month (Across ALL Assets),80.38%/520/1.4 month (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2025-09-21 (Price: 308.66)",Weekly,No Exit Yet,No Price Target,2026-03-13 (Avg),102.81%/114.22%,"-49.75%, 5.8 months","2026-03-13 (Price: 155.11), 49.75% below",348.971 (Historic Rise or Fall to Pivot)/332.2725 (Avg % Gain of Historic Winning trades)/468.66 (Function Specific Target)/376.1425 (F-Stack 2)/374.2502 (Backtested Max)/314.5863 (Backtested Min),2028-01-03 (Max),226.13/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level/188.37,"93.33%, Past 10 years, 30",306.45,No Information,No Information,No Information,No Information,No Information,46.91% below/49.75% below/49.75% below,21.25%/1.92%/7.65%,"11.71%, 25.99%",1.6 year/28 days/4 months,9.45%,6.74%,2.71%,0.83,0.34,89.4%/151/4.7 months (Across ALL Assets),75.28%/267/3.6 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-03-05 (Price: 877.75)",Daily,2026-03-13 (Price: 817.0),No Price Target,No Date Target,9.23%/10.61%,"-6.92%, 8 days","2026-03-13 (Price: 817.0), 6.92% below",912.9478 (Historic Rise or Fall to Pivot)/903.6436 (Avg % Gain of Historic Winning trades)/908.3 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/968.82 (EMA 200)/926.6407 (Backtested Max)/892.4084 (Backtested Min),2026-06-30 (Max)/2026-04-11 (Avg),868.65/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,"81.82%, Past 4 years, 11",873.85,No Information,No Information,No Information,No Information,No Information,No Information,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,5.13%,4.11%,1.02%,0.21,0.19,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",Weekly,2026-03-13 (Price: 817.0),No Price Target,2026-03-13 (Min),18.58%/19.23%,"-12.08%, 1.3 month","2026-03-13 (Price: 817.0), 12.08% below",1065.7568 (Historic Rise or Fall to Pivot)/1008.7938 (Avg % Gain of Historic Winning trades)/1037.28 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/968.82 (EMA 200)/1038.0652 (Backtested Max)/974.1328 (Backtested Min),2026-05-11 (Max)/2026-04-15 (Avg),916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 4",906.0,No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,12.02%,10.83%,1.19%,2.91,0.65,76.92%/13/2.5 months (Across ALL Assets),86.09%/115/2.3 months (Across ALL Assets)
