Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5786,0.87,Resistance
USDCHF=X,Daily,0.798,0.7952,0.35,Resistance
NZDCAD=X,Daily,0.7945,0.7955,0.12,Support
NZDCAD=X,Weekly,0.791,0.7955,0.57,Support
EURUSD=X,Daily,1.1602,1.175,1.28,Support
GBPUSD=X,Weekly,1.3359,1.3425,0.5,Support
GBPUSD=X,Daily,1.3631,1.3425,1.51,Resistance
CAD=X,Daily,1.3856,1.3756,0.72,Resistance
CAD=X,Weekly,1.3724,1.3756,0.24,Support
GBPSGD=X,Daily,1.7279,1.7304,0.15,Support
GBPSGD=X,Weekly,1.7483,1.7304,1.03,Resistance
GNE.NZ,Weekly,2.3525,2.4,2.02,Support
^TNX,Daily,4.1085,4.116,0.18,Support
MCY.NZ,Daily,6.2083,6.24,0.51,Support
AIA.NZ,Weekly,8.295,8.13,1.99,Resistance
CNU.NZ,Daily,9.22,9.2,0.22,Resistance
CNU.NZ,Weekly,9.3875,9.2,2.0,Resistance
CEN.NZ,Daily,9.4367,9.27,1.77,Resistance
IFT.NZ,Daily,10.87,10.7,1.56,Resistance
BYDDY,Daily,11.8117,12.02,1.76,Support
BYDDY,Weekly,12.0509,12.02,0.26,Resistance
SUM.NZ,Daily,12.345,12.15,1.58,Resistance
NU,Daily,16.285,16.27,0.09,Resistance
INFY,Daily,19.325,19.18,0.75,Resistance
DBC,Daily,22.2525,22.69,1.97,Support
PFE,Daily,24.95,25.04,0.36,Support
RINF,Daily,32.33,32.4725,0.44,Support
HDB,Daily,35.59,35.15,1.24,Resistance
KWEB,Weekly,36.11,36.19,0.22,Support
FPH.NZ,Daily,37.54,36.91,1.68,Resistance
MTY.TO,Weekly,37.07,37.8,1.97,Support
MTY.TO,Daily,37.115,37.8,1.85,Support
FXI,Weekly,37.755,38.21,1.21,Support
CNQ.TO,Daily,43.1116,43.41,0.69,Support
XLE,Daily,43.9862,44.13,0.33,Support
ENZL,Daily,44.04,44.6999,1.5,Support
ENZL,Weekly,43.725,44.6999,2.23,Support
INDY,Daily,49.0133,48.47,1.11,Resistance
MX.TO,Daily,52.9,53.6,1.32,Support
IHI,Daily,62.445,62.34,0.17,Resistance
BIPC.TO,Daily,63.1517,62.69,0.73,Resistance
USO,Daily,66.5,67.19,1.04,Support
MFT.NZ,Daily,67.27,67.75,0.71,Support
ATD.TO,Daily,73.26,74.25,1.35,Support
HYG,Daily,80.075,80.78,0.88,Support
HYG,Weekly,78.975,80.78,2.29,Support
JNK,Daily,97.4671,96.85,0.63,Resistance
JNK,Weekly,96.515,96.85,0.35,Support
UPS,Weekly,101.785,102.08,0.29,Support
IEI,Weekly,119.345,119.85,0.42,Support
IEI,Daily,118.72,119.85,0.95,Support
GILD,Daily,120.895,121.47,0.48,Support
XLY,Daily,121.1117,122.34,1.01,Support
CNR.TO,Daily,138.38,137.18,0.87,Resistance
DOL.TO,Daily,197.56,200.92,1.7,Support
BYD.TO,Daily,221.66,223.0,0.6,Support
IWM,Weekly,244.72,248.71,1.63,Support
MCD,Daily,321.3575,319.65,0.53,Resistance
TSLA,Daily,481.305,483.37,0.43,Support
RELIANCE.NS,Daily,1531.725,1544.4,0.83,Support
ETH-USD,Daily,2839.8557,2825.0503,0.52,Resistance
^NZ50,Daily,13075.415,13290.0596,1.64,Support
^NZ50,Weekly,13418.2035,13290.0596,0.96,Resistance
^NSEI,Daily,25973.3496,25815.5508,0.61,Resistance
NIFTY_MIDCAP_100.NS,Daily,60182.9323,59592.1484,0.98,Resistance
