Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5874,0.64,Support
NZDUSD=X,Weekly,0.5829,0.5874,0.78,Support
NZDUSD=X,Monthly,0.5854,0.5874,0.34,Support
NZDUSD=X,Quarterly,0.5854,0.5874,0.34,Support
USDCHF=X,Weekly,0.7933,0.7926,0.08,Resistance
USDCHF=X,Daily,0.798,0.7926,0.68,Resistance
NZDCAD=X,Daily,0.8068,0.7955,1.4,Resistance
EURUSD=X,Daily,1.1455,1.1586,1.15,Support
GBPUSD=X,Quarterly,1.3404,1.3429,0.19,Support
GBPUSD=X,Daily,1.3685,1.3429,1.87,Resistance
GBPUSD=X,Weekly,1.3303,1.3429,0.95,Support
CAD=X,Daily,1.3888,1.3729,1.14,Resistance
CAD=X,Weekly,1.3924,1.3729,1.4,Resistance
CAD=X,Monthly,1.3912,1.3729,1.31,Resistance
CAD=X,Quarterly,1.3845,1.3729,0.84,Resistance
GBPSGD=X,Daily,1.6858,1.7137,1.66,Support
GBPSGD=X,Weekly,1.7474,1.7137,1.93,Resistance
GBPSGD=X,Monthly,1.7403,1.7137,1.53,Resistance
TWR.NZ,Monthly,1.8131,1.85,2.04,Support
GNE.NZ,Quarterly,2.245,2.22,1.11,Resistance
GNE.NZ,Weekly,2.195,2.22,1.14,Support
GNE.NZ,Monthly,2.1975,2.22,1.02,Support
FBU.NZ,Daily,3.32,3.3,0.6,Resistance
^TNX,Weekly,4.322,4.281,0.95,Resistance
^TNX,Daily,4.3327,4.281,1.19,Resistance
MEL.NZ,Monthly,5.3367,5.47,2.5,Support
MEL.NZ,Weekly,5.395,5.47,1.39,Support
C6L.SI,Quarterly,6.6554,6.59,0.98,Resistance
C6L.SI,Daily,6.48,6.59,1.7,Support
AIA.NZ,Weekly,8.2967,8.13,2.01,Resistance
AIA.NZ,Daily,8.0183,8.13,1.39,Support
AIA.NZ,Monthly,8.295,8.13,1.99,Resistance
FSF.NZ,Monthly,8.245,8.245,0.0,Resistance
FSF.NZ,Weekly,8.245,8.245,0.0,Resistance
CEN.NZ,Daily,9.065,9.24,1.93,Support
CEN.NZ,Monthly,8.9946,9.24,2.73,Support
CEN.NZ,Quarterly,9.083,9.24,1.73,Support
CNU.NZ,Quarterly,9.4062,9.42,0.15,Support
CNU.NZ,Monthly,9.4062,9.42,0.15,Support
IFT.NZ,Daily,10.78,10.94,1.48,Support
IFT.NZ,Weekly,10.87,10.94,0.64,Support
BYDDY,Daily,13.1794,13.06,0.91,Resistance
FRW.NZ,Weekly,13.02,13.08,0.46,Support
NU,Weekly,13.905,14.16,1.83,Support
NU,Daily,13.9817,14.16,1.28,Support
SONY,Weekly,20.2613,20.62,1.77,Support
SONY,Monthly,20.182,20.62,2.17,Support
SONY,Daily,20.2613,20.62,1.77,Support
JETS,Weekly,25.1975,24.69,2.01,Resistance
HDB,Daily,25.6925,26.14,1.74,Support
HDB,Weekly,25.6937,26.14,1.74,Support
HDB,Monthly,25.6325,26.14,1.98,Support
HDB,Quarterly,25.6925,26.14,1.74,Support
PFE,Daily,27.204,27.41,0.76,Support
PFE,Monthly,28.042,27.41,2.25,Resistance
PFE,Weekly,27.184,27.41,0.83,Support
JD,Daily,28.38,28.02,1.27,Resistance
JD,Weekly,28.7225,28.02,2.45,Resistance
GLXY.TO,Weekly,27.865,28.26,1.42,Support
KWEB,Weekly,28.439,29.09,2.29,Support
