Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-03-17 (Price: 10.9)",Daily,2026-03-31 (Price: 11.65),No Price Target,No Date Target,2.43%/3.61%,"6.88%, 14 days","2026-03-31 (Price: 11.65), 6.88% above",12.07 (Function Specific Target)/12.825 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/11.9333 (Backtested Max),2026-08-07 (Max)/2026-05-03 (Avg),10.65/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"96.15%, Past 4 years, 26",10.81,No Information,No Information,No Information,No Information,No Information,7.47% above/6.88% above/6.88% above,9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,15.16%,8.14%,7.02%,0.86,0.43,91.4%/279/1.3 month (Across ALL Assets),80.08%/512/1.4 month (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-02-19 (Price: 11.08)",Daily,2026-03-31 (Price: 11.65),No Price Target,No Date Target,4.12%/4.21%,"5.14%, 1.3 month","2026-03-31 (Price: 11.65), 5.14% above",12.14 (Function Specific Target)/12.825 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/12.1304 (Backtested Max),2026-07-12 (Max)/2026-04-07 (Avg),10.74/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"96.15%, Past 4 years, 26",10.99,No Information,No Information,No Information,No Information,No Information,5.72% above/5.14% above/5.14% above,9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,15.16%,8.14%,7.02%,0.86,0.43,91.4%/279/1.3 month (Across ALL Assets),80.08%/512/1.4 month (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-02-12 (Price: 11.3)",Daily,No Exit Yet,No Price Target,2026-03-31 (Avg),0.98%/1.39%,"3.1%, 1.6 month","2026-03-31 (Price: 11.65), 3.1% above",11.8119 (Historic Rise or Fall to Pivot)/11.7644 (Avg % Gain of Historic Winning trades)/12.23 (Function Specific Target)/12.825 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/12.3712 (Backtested Max),2026-07-05 (Max),10.83/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"96.15%, Past 4 years, 26",11.27,No Information,No Information,No Information,No Information,No Information,3.28% above/3.1% above/3.1% above,9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,15.16%,8.14%,7.02%,0.86,0.43,91.4%/279/1.3 month (Across ALL Assets),80.08%/512/1.4 month (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2024-10-31 (Price: 12.6)",Monthly,2026-03-31 (Price: 11.65),No Price Target,No Date Target,11.44%/19.12%,"-7.54%, 1.4 year","2026-03-31 (Price: 11.65), 7.54% below",14.044 (Historic Rise or Fall to Pivot)/13.8776 (Avg % Gain of Historic Winning trades)/19.79 (Function Specific Target)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/15.12 (Backtested Max)/12.983 (Backtested Min),2026-09-08 (Max),3.91/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.07,"100.0%, Past 20 years, 12",12.315,No Information,No Information,No Information,No Information,No Information,4.9% below/6.58% below/7.54% below,20.0%/3.04%/10.14%,"-0.0%, 18.64%",1.3 year/5 months/9.7 months,5.74%,8.41%,-2.67%,1.75,0.5,92.0%/75/11 months (Across ALL Assets),65.32%/124/9.5 months (Across ALL Assets)
SIGMASHELL,"IFT.NZ, Long, 2025-12-02 (Price: 11.75)",Daily,2026-03-31 (Price: 11.65),No Price Target,No Date Target,2.36%/4.69%,"-0.85%, 4 months","2026-03-31 (Price: 11.65), 0.85% below",12.1965 (Historic Rise or Fall to Pivot)/13.1835 (Avg % Gain of Historic Winning trades)/18.927 (Function Specific Target)/11.925 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/14.1658 (Backtested Max)/12.321 (Backtested Min),2026-06-02 (Max),11.39/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.54,"100.0%, Past 5 years, 9",11.58,"-3.31, 87.5%",No Information,No Information,No Information,No Information,No Information,20.56%/4.86%/12.2%,"0%, 16.37%",4.2 months/1.8 month/2.6 months,30.94%,8.0%,22.94%,2.04,0.45,58.54%/41/4.7 months (Across ALL Assets),64.52%/248/3.7 months (Across ALL Assets)
DELTADRIFT,"SUM.NZ, Long, 2026-03-01 (Price: 10.66)",Weekly,2026-03-31 (Price: 8.88),No Price Target,No Date Target,25.05%/27.7%,"-16.7%, 1 month","2026-03-31 (Price: 8.88), 16.7% below",13.0628 (Historic Rise or Fall to Pivot)/11.5927 (Avg % Gain of Historic Winning trades)/12.33 (Function Specific Target)/12.55 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.34 (EMA 200)/12.8208 (Backtested Max)/11.1045 (Backtested Min),2026-07-31 (Max)/2026-06-04 (Avg),10.5/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 14 years, 7",10.5,No Information,No Information,No Information,No Information,No Information,No Information,20.27%/4.17%/8.75%,"20.61%, 22.44%",3.5 months/7 days/2.2 months,2.34%,11.18%,-8.84%,0.05,0.61,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-31 (Price: 8.88),No Price Target,No Date Target,57.2%/58.15%,"-30.79%, 1.4 year","2026-03-31 (Price: 8.88), 30.79% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/11.15,"83.33%, Past 20 years, 12",12.4,No Information,No Information,No Information,No Information,No Information,25.69% below/29.24% below/30.79% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.0%/75/11 months (Across ALL Assets),65.32%/124/9.5 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-31 (Price: 8.88),No Price Target,No Date Target,51.81%/52.73%,"-28.33%, 1.4 year","2026-03-31 (Price: 8.88), 28.33% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.96,"83.33%, Past 20 years, 12",11.89,No Information,No Information,No Information,No Information,No Information,25.69% below/28.33% below/28.33% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.0%/75/11 months (Across ALL Assets),65.32%/124/9.5 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",Monthly,2026-03-31 (Price: 8.88),No Price Target,No Date Target,46.41%/47.3%,"-25.69%, 1.5 year","2026-03-31 (Price: 8.88), 25.69% below",13.0016 (Historic Rise or Fall to Pivot)/14.6328 (Avg % Gain of Historic Winning trades)/14.19 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/16.6213 (Backtested Max)/13.0805 (Backtested Min),2027-06-17 (Max),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.75,"83.33%, Past 20 years, 12",11.3,No Information,No Information,No Information,No Information,No Information,25.69% below/25.69% below/25.69% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.0%/75/11 months (Across ALL Assets),65.32%/124/9.5 months (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2026-03-16 (Price: 2409.2)",Daily,No Exit Yet,No Price Target,2026-03-30 (Avg),3.9%/5.48%,"-2.09%, 14 days","2026-03-30 (Price: 2358.8999), 2.09% below",2571.0982 (Historic Rise or Fall to Pivot)/2488.2218 (Avg % Gain of Historic Winning trades)/2529.66 (Function Specific Target)/4543.575 (Horizontal)/5051.5642 (F-Stack 1)/5692.579 (F-Stack 2)/3057.76 (EMA 200)/2546.0426 (Backtested Max)/2450.8792 (Backtested Min),2026-04-15 (Max),No Recent Minima/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"86.67%, Past 4 years, 15",2410.0,No Information,No Information,No Information,No Information,No Information,No Information,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,12.04%,-0.2%,12.24%,0.76,-0.13,71.63%/141/15 days (Across ALL Assets),73.23%/523/15 days (Across ALL Assets)
