Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"SUM.NZ, Long, 2026-03-24 (Price: 9.31)",Daily,No Exit Yet,No Price Target,2026-03-25 (Min),1.18%/2.21%,"0.11%, 3 days","2026-03-27 (Price: 9.32), 0.11% above",9.4301 (Historic Rise or Fall to Pivot)/9.661 (Avg % Gain of Historic Winning trades)/9.55 (Function Specific Target)/12.64 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.36 (EMA 200)/9.8193 (Backtested Max)/9.526 (Backtested Min),2026-06-18 (Max)/2026-04-20 (Avg),9.09/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 4 years, 14",9.12,No Information,No Information,No Information,No Information,No Information,No Information,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,5.72%,-0.28%,6.0%,0.18,-0.09,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-27 (Price: 9.32),No Price Target,No Date Target,49.77%/50.68%,"-27.36%, 1.3 year","2026-03-27 (Price: 9.32), 27.36% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/11.15,"83.33%, Past 20 years, 12",12.4,No Information,No Information,No Information,No Information,No Information,22.01% below/25.74% below/27.36% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.11%/76/10.9 months (Across ALL Assets),59.06%/127/9.7 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-27 (Price: 9.32),No Price Target,No Date Target,44.64%/45.52%,"-24.78%, 1.4 year","2026-03-27 (Price: 9.32), 24.78% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.96,"83.33%, Past 20 years, 12",11.89,No Information,No Information,No Information,No Information,No Information,22.01% below/24.78% below/24.78% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.11%/76/10.9 months (Across ALL Assets),59.06%/127/9.7 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",Monthly,2026-03-27 (Price: 9.32),No Price Target,No Date Target,39.5%/40.35%,"-22.01%, 1.5 year","2026-03-27 (Price: 9.32), 22.01% below",13.0016 (Historic Rise or Fall to Pivot)/14.6328 (Avg % Gain of Historic Winning trades)/14.19 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/16.6213 (Backtested Max)/13.0805 (Backtested Min),2027-06-17 (Max),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.75,"83.33%, Past 20 years, 12",11.3,No Information,No Information,No Information,No Information,No Information,22.01% below/22.01% below/22.01% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.11%/76/10.9 months (Across ALL Assets),59.06%/127/9.7 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,No Exit Yet,95.0177 (F-Stack 1)/95.9858 (Backtested Min),No Date Target,7.44%/8.19%,"18.24%, 4.9 months","2026-03-27 (Price: 94.13), 18.24% above",101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/123.2166 (F-Stack 2)/113.3487 (Backtested Max),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 25.7% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,92.11%/38/1.6 year (Across ALL Assets),62.26%/53/9.7 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",Monthly,No Exit Yet,95.0177 (F-Stack 1)/94.6354 (Backtested Min),No Date Target,5.92%/6.67%,"19.93%, 9 months","2026-03-27 (Price: 94.13), 19.93% above",99.7058 (Historic Rise or Fall to Pivot)/100.4044 (Avg % Gain of Historic Winning trades)/135.41 (Function Specific Target)/123.2166 (F-Stack 2)/111.7541 (Backtested Max),2031-05-06 (Max)/2027-12-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 31 years, 8",77.78,No Information,No Information,No Information,"38.2% (Price: 61.7578), 52.42% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,92.11%/38/1.6 year (Across ALL Assets),62.26%/53/9.7 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-02-01 (Price: 91.3)",Weekly,No Exit Yet,No Price Target,2026-03-25 (Min),6.89%/8.23%,"3.1%, 1.8 month","2026-03-27 (Price: 94.13), 3.1% above",101.8725 (Historic Rise or Fall to Pivot)/100.6126 (Avg % Gain of Historic Winning trades)/115.15 (Function Specific Target)/123.2166 (F-Stack 2)/113.1207 (Backtested Max),2027-07-07 (Max)/2026-08-24 (Avg),76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/79.76,"84.62%, Past 10 years, 26",88.65,No Information,No Information,No Information,No Information,No Information,3.1% above/3.1% above/3.1% above,23.9%/3.84%/10.2%,"6.63%, 46.57%",1 year/1.2 month/4.7 months,12.95%,11.64%,1.31%,0.84,0.65,88.51%/148/5.1 months (Across ALL Assets),74.62%/264/3.7 months (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2026-02-15 (Price: 83.86)",Weekly,No Exit Yet,No Price Target,2026-03-27 (Min),10.01%/10.16%,"-7.44%, 1.3 month","2026-03-27 (Price: 77.62), 7.44% below",90.3591 (Historic Rise or Fall to Pivot)/89.5289 (Avg % Gain of Historic Winning trades)/85.91 (Function Specific Target)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/96.9254 (Backtested Max)/87.0635 (Backtested Min),2027-02-23 (Max)/2026-08-10 (Avg),70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.49,"90.0%, Past 10 years, 20",78.91,No Information,No Information,No Information,No Information,No Information,7.44% below/7.44% below/7.44% below,15.58%/3.82%/6.76%,"7.08%, 28.5%",8.6 months/28 days/4.1 months,10.6%,14.26%,-3.66%,0.87,0.82,88.51%/148/5.1 months (Across ALL Assets),74.62%/264/3.7 months (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2024-02-18 (Price: 82.0)",Weekly,2026-03-27 (Price: 77.62),No Price Target,No Date Target,12.78%/13.83%,"-5.34%, 2.1 years","2026-03-27 (Price: 77.62), 5.34% below",88.355 (Historic Rise or Fall to Pivot)/87.5432 (Avg % Gain of Historic Winning trades)/121.69 (Function Specific Target)/96.14 (F-Stack 2)/94.7756 (Backtested Max),No Next Date Target,68.98/39.8362/59.8475/53.4732/No F-Track Level/No F-Track Level/72.47,"90.0%, Past 10 years, 20",81.01,No Information,No Information,No Information,No Information,No Information,5.34% below/7.91% below/5.34% below,15.58%/3.82%/6.76%,"7.08%, 28.5%",8.6 months/28 days/4.1 months,10.6%,14.26%,-3.66%,0.87,0.82,88.51%/148/5.1 months (Across ALL Assets),74.62%/264/3.7 months (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2026-03-26 (Price: 168.84)",Daily,No Exit Yet,No Price Target,2026-03-28 (Min),6.31%/6.96%,"-1.23%, 1 day","2026-03-27 (Price: 166.76), 1.23% below",181.7563 (Historic Rise or Fall to Pivot)/186.2474 (Avg % Gain of Historic Winning trades)/177.28 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/191.19 (EMA 200)/204.6678 (Backtested Max)/178.3626 (Backtested Min),2026-12-03 (Max)/2026-03-28 (Min)/2026-07-03 (Avg),No Recent Minima/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.24%, Past 6 years, 17",171.36,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.64%/10.31%,"10.55%, 13.94%",5.8 months/2 days/2.3 months,19.66%,19.52%,0.14%,0.91,1.22,97.5%/40/29 days (Across ALL Assets),78.4%/412/26 days (Across ALL Assets)
