Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Quarterly,0.5854,0.5858,0.07,Support
NZDUSD=X,Daily,0.5837,0.5858,0.36,Support
NZDUSD=X,Weekly,0.5829,0.5858,0.5,Support
NZDUSD=X,Monthly,0.5854,0.5858,0.06,Support
USDCHF=X,Weekly,0.798,0.7878,1.28,Resistance
USDCHF=X,Daily,0.7787,0.7878,1.17,Support
NZDCAD=X,Daily,0.8068,0.7992,0.95,Resistance
NZDCAD=X,Weekly,0.7974,0.7992,0.22,Support
EURUSD=X,Weekly,1.1598,1.162,0.19,Support
EURUSD=X,Daily,1.1455,1.162,1.44,Support
GBPUSD=X,Daily,1.3685,1.3432,1.85,Resistance
GBPUSD=X,Weekly,1.3303,1.3432,0.97,Support
GBPUSD=X,Quarterly,1.3404,1.3432,0.21,Support
CAD=X,Weekly,1.3924,1.371,1.54,Resistance
CAD=X,Monthly,1.3912,1.371,1.45,Resistance
CAD=X,Quarterly,1.3845,1.371,0.98,Resistance
CAD=X,Daily,1.3888,1.371,1.28,Resistance
GBPSGD=X,Monthly,1.7403,1.7028,2.15,Resistance
GBPSGD=X,Daily,1.6858,1.7028,1.01,Support
GNE.NZ,Weekly,2.195,2.16,1.59,Resistance
GNE.NZ,Monthly,2.1975,2.16,1.71,Resistance
^TNX,Weekly,4.322,4.334,0.28,Support
^TNX,Daily,4.3327,4.334,0.03,Support
MEL.NZ,Weekly,5.395,5.44,0.83,Support
MEL.NZ,Monthly,5.3367,5.44,1.94,Support
MEL.NZ,Daily,5.3586,5.44,1.52,Support
MCY.NZ,Weekly,6.2483,6.4,2.43,Support
C6L.SI,Quarterly,6.6554,6.49,2.48,Resistance
C6L.SI,Daily,6.48,6.49,0.15,Support
C6L.SI,Weekly,6.416,6.49,1.15,Support
AIA.NZ,Monthly,8.295,8.1,2.35,Resistance
AIA.NZ,Weekly,8.2967,8.1,2.37,Resistance
AIA.NZ,Daily,8.0183,8.1,1.02,Support
