Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"GILD, Long, 2026-03-24 (Price: 138.11)",Daily,2026-04-08 (Price: 141.54),141.74 (Function Specific Target),No Date Target,0.6%/2.34%,"2.88%, 16 days","2026-04-09 (Price: 142.09), 2.88% above",142.9438 (Avg % Gain of Historic Winning trades)/154.7608 (F-Stack 1)/163.0355 (F-Stack 2)/145.416 (Backtested Max),2026-06-01 (Max)/2026-05-06 (Min)/2026-05-15 (Avg),137.21/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/124.9,"83.33%, Past 4 years, 6",136.8,No Information,No Information,No Information,No Information,No Information,No Information,5.29%/2.0%/3.5%,"6.53%, 9.04%",1.6 month/1 month/1.2 month,4.84%,11.19%,-6.35%,0.23,0.64,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets)
TRENDPULSE,"GILD, Long, 2025-03-31 (Price: 112.05)",Quarterly,No Exit Yet,141.7433 (Historic Rise or Fall to Pivot)/140.4376 (F-Stack 2),No Date Target,9.84%/16.43%,"26.81%, 1 year","2026-04-09 (Price: 142.09), 26.81% above",156.0744 (Avg % Gain of Historic Winning trades)/165.4306 (Backtested Max),2029-07-12 (Max)/2027-05-22 (Min)/2028-09-02 (Avg),58.26/56.99/102.2986/87.442/No F-Track Level/No F-Track Level/88.22,"100.0%, Past 34 years, 7",92.62,No Information,No Information,No Information,No Information,No Information,53.83% above/31.7% above/26.81% above,47.64%/11.57%/39.29%,"-0.0%, 24.28%",3 years/1.5 year/2.4 years,9.04%,12.19%,-3.15%,0.0,0.53,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2026-03-24 (Price: 45.09)",Daily,No Exit Yet,47.074 (Historic Rise or Fall to Pivot),No Date Target,4.0%/4.95%,"4.57%, 16 days","2026-04-09 (Price: 47.15), 4.57% above",49.0354 (Avg % Gain of Historic Winning trades)/53.49 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/50.1446 (Backtested Max),2029-08-26 (Max)/2026-05-23 (Min)/2027-03-28 (Avg),44.65/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/43.8,"100.0%, Past 5 years, 22",44.56,No Information,No Information,No Information,"23.66% (Price: 44.4838), 5.99% above, Upmove Bounce Back","2024-07-01 (Price: 33.8), 2026-02-27 (Price: 47.795)",No Information,11.21%/2.82%/8.75%,"-0.0%, 28.07%",2.4 years/1.4 month/8.5 months,23.68%,5.04%,18.64%,0.0,0.26,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2025-10-19 (Price: 45.785)",Weekly,No Exit Yet,No Price Target,2026-04-10 (Avg),1.43%/3.99%,"2.98%, 5.7 months","2026-04-09 (Price: 47.15), 2.98% above",47.8224 (Historic Rise or Fall to Pivot)/49.0312 (Avg % Gain of Historic Winning trades)/58.29 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/52.2407 (Backtested Max),2026-12-27 (Max)/2026-04-10 (Avg),41.74/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/40.73,"82.14%, Past 10 years, 28",45.13,No Information,No Information,No Information,No Information,No Information,4.55% above/2.98% above/2.98% above,14.1%/1.28%/7.09%,"9.77%, 32.06%",10 months/1.2 month/4 months,5.54%,5.05%,0.49%,0.0,0.25,91.3%/161/4.7 months (Across ALL Assets),74.55%/389/4 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,2026-04-09 (Price: 47.15),46.1689 (Backtested Max),No Date Target,No Next Target,"26.65%, 4.1 years","2026-04-09 (Price: 47.15), 26.65% above",No Next Target,2028-02-04 (Max)/2026-10-24 (Avg),12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"100.0%, Past 27 years, 5",35.775,No Information,No Information,No Information,No Information,No Information,26.65% above/26.65% above/26.65% above,24.01%/15.95%/18.64%,"-0.0%, 39.64%",4.1 years/2.8 years/3.2 years,1.32%,2.9%,-1.58%,0.0,0.05,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
FRACTAL TRACK,"SOXX, Long, 2026-03-23 (Price: 336.59)",Daily,2026-04-08 (Price: 370.4),376.3413 (Avg % Gain of Historic Winning trades),2026-04-10 (Min),3.57%/6.07%,"12.49%, 17 days","2026-04-09 (Price: 378.63), 12.49% above",401.62 (Function Specific Target)/411.0319 (F-Stack 1)/449.8184 (F-Stack 2)/392.161 (Backtested Max),2027-12-08 (Max)/2026-04-10 (Min)/2026-10-17 (Avg),323.51/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/294.82,"91.67%, Past 5 years, 12",340.115,No Information,No Information,No Information,"38.2% (Price: 327.4188), 15.64% above, Upmove Bounce Back","2025-11-21 (Price: 260.44), 2026-02-25 (Price: 368.82)",No Information,16.51%/10.1%/11.81%,"4.47%, 36.16%",1.2 year/13 days/4.8 months,23.32%,12.54%,10.78%,0.0,0.61,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets)
FRACTAL TRACK,"SOXX, Long, 2026-03-11 (Price: 342.09)",Daily,2026-04-09 (Price: 378.63),382.4908 (Avg % Gain of Historic Winning trades)/376.6411 (Backtested Min),No Date Target,5.27%/8.56%,"10.68%, 29 days","2026-04-09 (Price: 378.63), 10.68% above",474.4 (Function Specific Target)/411.0319 (F-Stack 1)/449.8184 (F-Stack 2)/398.5691 (Backtested Max),2027-11-26 (Max)/2026-10-05 (Avg),323.51/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/294.82,"91.67%, Past 5 years, 12",340.745,No Information,No Information,No Information,"23.66% (Price: 316.6473), 19.57% above, Upmove Bounce Back","2025-04-07 (Price: 148.31), 2026-02-25 (Price: 368.82)",No Information,16.51%/10.1%/11.81%,"4.47%, 36.16%",1.2 year/13 days/4.8 months,23.32%,12.54%,10.78%,0.0,0.61,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2026-02-28 (Price: 352.29)",Monthly,No Exit Yet,378.6765 (Backtested Min),No Date Target,5.09%/8.56%,"7.48%, 1.3 month","2026-04-09 (Price: 378.63), 7.48% above",397.9116 (Historic Rise or Fall to Pivot)/420.0354 (Avg % Gain of Historic Winning trades)/548.36 (Function Specific Target)/411.0319 (F-Stack 2)/444.7661 (Backtested Max),2026-11-20 (Max)/2026-10-03 (Min)/2026-10-20 (Avg),183.84/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/277.64,"70.0%, Past 20 years, 10",342.37,No Information,No Information,No Information,No Information,No Information,9.34% above/7.48% above/7.48% above,26.25%/7.49%/19.23%,"12.25%, 59.88%",6.1 months/5 months/5.4 months,-2.14%,7.74%,-9.88%,0.0,0.4,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets)
SIGMASHELL,"MSFT, Long, 2026-02-03 (Price: 411.21)",Daily,No Exit Yet,No Price Target,2026-04-09 (Min),14.57%/15.02%,"-9.28%, 2.2 months","2026-04-09 (Price: 373.07), 9.28% below",427.4117 (Historic Rise or Fall to Pivot)/473.6728 (Avg % Gain of Historic Winning trades)/553.3726 (Function Specific Target)/554.585 (Horizontal)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/474.77 (EMA 200)/520.7563 (Backtested Max)/429.0976 (Backtested Min),2026-07-26 (Max)/2026-05-18 (Avg),359.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"91.67%, Past 5 years, 12",422.01,"-6.03, 100.0%",No Information,No Information,No Information,No Information,No Information,26.64%/4.35%/15.19%,"0.24%, 14.8%",4 months/1.5 month/2.4 months,32.78%,15.46%,17.32%,0.0,0.76,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets)
BASELINEDIVERGENCE,"MSFT, Long, 2025-11-16 (Price: 510.18)",Weekly,No Exit Yet,No Price Target,2026-04-12 (Avg),37.52%/48.33%,"-26.87%, 4.8 months","2026-04-09 (Price: 373.07), 26.87% below",570.5343 (Historic Rise or Fall to Pivot)/571.2996 (Avg % Gain of Historic Winning trades)/553.3726 (Function Specific Target)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/698.8956 (Backtested Max)/513.037 (Backtested Min),2026-10-25 (Max)/2026-04-12 (Avg),496.82/216.39/386.873/350.287/No F-Track Level/No F-Track Level/474.77,"80.68%, Past 10 years, 88",500.04,No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,36.99%/0.56%/11.98%,"16.39%, 25.9%",7.9 months/2.1 months/3.4 months,23.4%,14.4%,9.0%,0.0,0.86,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets)
