Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"BTI, Long, 2026-03-25 (Price: 58.45)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2026-03-25",Already confirmed,"2026-03-25 (Price: 58.45), 0.0% below",0 days,58.145,No Information,No Information,No Information,"50% (Price: 58.2488), 0.35% above, Upmove Bounce Back","2026-01-07 (Price: 53.28), 2026-02-25 (Price: 63.2176)",No Information,11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,2030-12-09/2026-05-24/2027-12-10,11.0%,5.81%,5.19%,1.67,0.3,63.1786/63.6287/64.41/59.135/79.4263/92.0024/No EMA 200 Target,57.37/28.5067/53.9498/50.4772/No stop loss/No stop loss/55.34,91.7%/277/5.4 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets)
FRACTAL TRACK,"BPCL.NS, Long, 2026-03-25 (Price: 284.55)",No Exit Yet,"0.0%, 0 days","86.67%, Past 5 years, 15","Daily, is CONFIRMED on 2026-03-25",Already confirmed,"2026-03-25 (Price: 284.55), 0.0% below",0 days,288.2,No Information,No Information,No Information,"50% (Price: 273.6375), 3.99% above, Upmove Bounce Back","2023-10-26 (Price: 165.725), 2025-11-17 (Price: 381.55)",No Information,12.45%/1.92%/10.29%,"11.24%, 36.83%",2.2 years/1.2 month/9.6 months,2029-05-15/2026-05-16/2027-05-16,15.95%,8.45%,7.5%,1.08,0.45,301.3385/313.8302/414.05/383.0667/420.2463/457.942/344.0,271.3/145.35/267.54/238.163/267.745/251.981/No EMA 200 Stop Loss,91.7%/277/5.4 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets)
FRACTAL TRACK,"GILD, Long, 2026-03-25 (Price: 138.26)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 14","Daily, is CONFIRMED on 2026-03-25",Already confirmed,"2026-03-25 (Price: 138.26), 0.0% below",0 days,139.76,No Information,No Information,No Information,"23.66% (Price: 134.7457), 2.61% above, Upmove Bounce Back","2024-05-31 (Price: 62.07), 2026-02-11 (Price: 157.27)",No Information,17.08%/2.06%/9.98%,"0%, 27.82%",1.8 year/28 days/5.7 months,2028-10-18/2026-05-04/2026-11-27,29.7%,11.0%,18.7%,2.35,0.63,149.7079/152.0583/195.38/No Horizontal Resistance/164.839/179.1794/No EMA 200 Target,137.21/57.18/135.1689/124.0112/110.7288/108.1488/123.43,91.7%/277/5.4 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2026-03-25 (Price: 37.19)",No Exit Yet,"0.0%, 0 days","90.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-03-25",Already confirmed,"2026-03-25 (Price: 37.19), 0.0% below",0 days,36.46,No Information,No Information,No Information,"23.66% (Price: 36.4054), 2.16% above, Upmove Bounce Back","2023-10-27 (Price: 20.29), 2026-03-03 (Price: 41.4)",No Information,10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,2030-12-09/2026-05-04/2027-10-19,8.47%,1.81%,6.66%,1.1,0.09,38.1569/40.0945/49.86/39.407/No Next Fib Ext/No Next Fib Ext/37.55,36.18/22.5167/No F-Stack Support/No F-Stack Support/No stop loss/36.6/No EMA 200 Stop Loss,91.7%/277/5.4 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets)
FRACTAL TRACK,"MSE.PA, Long, 2026-03-25 (Price: 63.19)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 15","Daily, is CONFIRMED on 2026-03-25",Already confirmed,"2026-03-25 (Price: 63.19), 0.0% below",0 days,63.35,No Information,No Information,No Information,"23.66% (Price: 59.315), 6.53% above, Upmove Bounce Back","2023-10-23 (Price: 41.94), 2025-11-13 (Price: 64.7)",No Information,10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-07-06/2026-05-20/2026-11-18,22.9%,9.15%,13.75%,2.88,0.6,65.2184/68.5801/76.85/No Horizontal Resistance/80.1675/116.2159/No EMA 200 Target,61.5/33.6667/57.8884/44.1192/60.7245/55.4669/62.57,91.7%/277/5.4 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-03-25 (Price: 782.3)",No Exit Yet,"0.0%, 0 days","81.82%, Past 4 years, 11","Daily, is CONFIRMED on 2026-03-25",Already confirmed,"2026-03-25 (Price: 782.3), 0.0% below",0 days,768.2,No Information,No Information,No Information,No Information,No Information,No Information,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,2026-07-20/2026-03-27/2026-05-01,5.13%,4.11%,1.02%,0.21,0.19,813.6702/805.3778/809.52/1009.6/1299.7536/1565.406/962.01,744.15/640.9/762.8018/626.4465/No stop loss/No stop loss/No EMA 200 Stop Loss,72.34%/141/15 days (Across ALL Assets),74.43%/528/15 days (Across ALL Assets)
DELTADRIFT,"AIA.NZ, Long, 2026-03-25 (Price: 8.08)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2026-03-25",Already confirmed,"2026-03-25 (Price: 8.08), 0.0% below",0 days,7.96,No Information,No Information,No Information,No Information,No Information,No Information,8.29%/1.35%/4.14%,"5.72%, 9.11%",1.7 month/1 day/15 days,2026-06-06/2026-03-26/2026-04-15,10.4%,2.17%,8.23%,0.79,0.05,8.4945/8.4145/8.45/8.8962/10.766/12.7253/No EMA 200 Target,7.93/7.0017/7.3669/6.5752/No stop loss/No stop loss/8.03,72.34%/141/15 days (Across ALL Assets),74.43%/528/15 days (Across ALL Assets)
OSCILLATOR DELTA,"^BVSP, Long, 2026-03-24 (Price: 182509.1406)",No Exit Yet,"1.6%, 1 day","81.25%, Past 6 years, 16","Daily, is Confirmed on 2026-03-24",No Cancellation Possible,"2026-03-25 (Price: 185424.2812), 1.6% above",1 day,181931.9375,No Information,No Information,No Information,No Information,No Information,No Information,22.07%/5.37%/9.84%,"11.51%, 14.48%",9.9 months/1 day/3.2 months,2027-05-28/2026-03-25/2026-08-10,14.92%,3.63%,11.29%,0.59,0.16,192711.4016/200468.04/191634.6/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,No Recent Minima/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/154443.63,97.56%/41/29 days (Across ALL Assets),79.43%/418/26 days (Across ALL Assets)
FRACTAL TRACK,"XIU.TO, Long, 2026-03-24 (Price: 47.07)",No Exit Yet,"1.27%, 1 day","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-03-25 (Price: 47.67), 1.27% above",1 day,46.71,No Information,No Information,No Information,"23.66% (Price: 46.2447), 3.08% above, Upmove Bounce Back","2025-04-09 (Price: 33.87), 2026-03-02 (Price: 50.08)",No Information,11.01%/2.15%/7.15%,"0%, 17.58%",2.5 years/1.3 month/11.5 months,2029-10-17/2026-05-19/2027-08-05,11.71%,8.23%,3.48%,2.2,0.67,48.934/50.4355/56.8/No Horizontal Resistance/53.8646/57.8672/No EMA 200 Target,46.23/27.9467/44.2067/37.996/No F-Track Level/No F-Track Level/44.92,91.7%/277/5.4 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets)
FRACTAL TRACK,"ACWX, Long, 2026-03-24 (Price: 67.5)",No Exit Yet,"1.5%, 1 day","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-03-25 (Price: 68.51), 1.5% above",1 day,66.8,No Information,No Information,No Information,"38.2% (Price: 65.0147), 5.38% above, Upmove Bounce Back","2025-04-08 (Price: 48.99), 2026-02-25 (Price: 74.92)",No Information,10.95%/0.24%/9.51%,"0%, 31.47%",3.9 years/2.1 months/1 year,2031-10-17/2026-06-23/2027-08-27,15.62%,3.37%,12.25%,3.17,0.11,68.6407/73.9192/83.06/No Horizontal Resistance/76.9985/87.9979/No EMA 200 Target,66.37/45.07/61.9685/No stop loss/No F-Track Level/No F-Track Level/65.9,91.7%/277/5.4 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets)
