"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"SFTBY, Long, 2026-03-30 (Price: 11.02)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 14","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 10.55 prior to 2026-04-03,"2026-03-30 (Price: 11.02), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 10.4799),5.15% above,"2020-03-22 (Price: 3.05), 2025-11-02 (Price: 22.5)",29.9%/6.41%/19.26%,"0%, 64.01%",4.4 years/28 days/11.9 months,2032-07-10/2026-05-09/2027-08-29,13.52%,8.18%,5.34%,3.16,0.42,11.9424/13.1425/22.69/11.9025/22.5282/24.0279/13.55,10.83/4.205/10.9987/9.1801/8.7175/6.964/No EMA 200 Stop Loss,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets),11.67
"XLU, Long, 2026-03-30 (Price: 45.92)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 19","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 44.435 prior to 2026-04-03,"2026-03-30 (Price: 45.92), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 44.8884),2.3% above,"2025-04-13 (Price: 35.51), 2026-03-01 (Price: 47.795)",18.94%/4.73%/14.15%,"0%, 42.71%",6.5 years/4.2 months/1.3 year,2035-07-10/2026-09-28/2028-02-05,10.1%,3.65%,6.45%,3.45,0.14,47.2287/52.4177/53.29/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,42.51/29.8725/43.1213/32.1431/42.966/39.9984/43.59,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets),46.17
"^BVSP, Long, 2026-03-30 (Price: 182514.2031)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 175039.3438 prior to 2026-04-03,"2026-03-30 (Price: 182514.2031), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 175020.3894),4.28% above,"2025-01-19 (Price: 118223.0), 2026-03-01 (Price: 192623.5625)",17.88%/2.37%/14.64%,"0%, 46.39%",7 years/1.6 month/2 years,2036-03-27/2026-06-07/2029-02-04,6.45%,5.61%,0.84%,3.8,0.28,193191.284/209234.2824/227154.54/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,176219.41/96132.0/173653.968/121313.6/175020.3894/164202.5476/155131.33,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets),181560.5781
"BAC, Long, 2026-03-30 (Price: 47.23)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 46.115 prior to 2026-04-03,"2026-03-30 (Price: 47.23), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 45.31),4.24% above,"2025-04-13 (Price: 33.07), 2026-01-11 (Price: 57.55)",23.39%/15.45%/17.62%,"0%, 66.1%",3.5 years/7 days/11 months,2031-03-29/2026-04-09/2027-07-20,15.62%,0.42%,15.2%,8.65,0.15,51.0226/55.5519/61.92/48.7833/60.5768/64.246/50.77,46.72/29.49/44.5293/38.6463/45.1006/41.255/No EMA 200 Stop Loss,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets),47.55
"PG, Long, 2026-03-30 (Price: 144.72)",No Exit Yet,"0.0%, 0 days","79.17%, Past 39 years, 24","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 137.62 prior to 2026-03-31,"2026-03-30 (Price: 144.72), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 137.9487),4.91% above,"1962-06-30 (Price: 0.8809), 2024-11-30 (Price: 180.43)",28.68%/2.46%/20.12%,"29.44%, 32.8%",5.2 years/4.1 months/1.4 year,2033-08-31/2026-09-22/2028-03-27,5.59%,5.32%,0.27%,0.88,0.27,157.1804/173.8377/252.45/179.4533/202.162/210.6287/152.27,143.31/130.72/124.1296/103.7096/144.4315/134.6455/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),60.78%/51/9.8 months (Across ALL Assets),165.29
"RHHBY, Long, 2026-03-30 (Price: 48.89)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 12","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 47.05 prior to 2026-04-03,"2026-03-30 (Price: 48.89), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 47.2508),3.47% above,"2016-12-11 (Price: 25.25), 2026-03-01 (Price: 60.85)",20.21%/3.05%/15.31%,"-0.0%, 31.38%",5.3 years/2.8 months/2.1 years,2033-10-22/2026-07-29/2029-03-29,7.02%,3.25%,3.77%,2.24,0.13,50.122/56.3751/70.25/52.46/62.8778/67.5137/No EMA 200 Target,47.32/34.5167/46.9341/No stop loss/48.7597/45.025/46.56,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets),48.99
"BN.TO, Long, 2026-03-30 (Price: 53.97)",No Exit Yet,"0.0%, 0 days","92.31%, Past 2 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 52.04 prior to 2026-04-03,"2026-03-30 (Price: 53.97), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 51.6386),4.51% above,"2025-04-13 (Price: 41.2533), 2026-01-11 (Price: 68.44)",18.15%/4.17%/14.91%,"0.94%, 29.1%",2 years/1.2 month/10.2 months,2029-02-04/2026-05-21/2027-06-16,10.18%,8.84%,1.34%,2.08,0.46,62.2166/62.0169/70.28/68.4166/75.9313/88.6784/61.4,52.55/41.16/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets),54.81
"NA.TO, Long, 2026-03-30 (Price: 175.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 174.15 prior to 2026-04-03,"2026-03-30 (Price: 175.28), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 173.1163),1.25% above,"2025-04-13 (Price: 106.67), 2026-03-01 (Price: 193.71)",20.62%/0.12%/15.67%,"0%, 55.97%",3.7 years/3 months/1.1 year,2031-07-11/2026-08-07/2027-10-24,12.24%,6.18%,6.06%,3.57,0.32,186.1824/202.7464/227.5/No Horizontal Resistance/204.2705/224.9542/No EMA 200 Target,162.25/82.9367/162.0277/143.1328/173.1163/160.4607/159.68,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets),176.17
"RY.TO, Long, 2026-03-30 (Price: 219.79)",No Exit Yet,"0.0%, 0 days","96.0%, Past 20 years, 25","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 217.01 prior to 2026-04-03,"2026-03-30 (Price: 219.79), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 219.2613),0.24% above,"2025-04-13 (Price: 151.25), 2026-01-11 (Price: 240.34)",18.64%/3.09%/15.45%,"4.2%, 53.44%",2.9 years/3.7 months/1.5 year,2030-05-20/2026-09-06/2028-05-20,9.06%,5.68%,3.38%,2.89,0.29,241.3074/253.7476/273.24/No Horizontal Resistance/240.0573/255.5041/No EMA 200 Target,218.5/118.8425/200.2171/172.0705/200.5108/176.0341/208.74,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets),220.71
"SJ.TO, Long, 2026-03-30 (Price: 93.5)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 87.96 prior to 2026-04-03,"2026-03-30 (Price: 93.5), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 86.3929),8.23% above,"2025-04-13 (Price: 62.26), 2026-02-15 (Price: 101.31)",21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2036-07-09/2026-05-21/2028-02-05,8.85%,12.31%,-3.46%,1.52,0.64,104.0094/108.4132/116.93/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,88.63/38.015/50.2755/47.8005/92.0708/86.3929/84.43,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets),94.19
