"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"META, Long, 2025-11-10 (Price: 631.76)",No Exit Yet,"0.0%, 0 days","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-10 (Price: 631.76), 0.0% below",0 days,2025-11-04 (Price: 626.01)/2025-11-06 (Price: 618.0),15/1/5 days,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days/3 days/10 days,2025-12-13/2025-11-14/2025-11-24,-75.0%,21.72%,-96.72%,-0.28,0.69,619.1248/679.5842/663.35/No Horizontal Resistance/875.5866/915.851,No Recent Minima/280.19/627.6205/591.2141/628.6993/525.7329,724.08/678.67,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"MTY.TO, Long, 2025-11-10 (Price: 34.02)",No Exit Yet,"0.0%, 0 days","72.97%, Past 6 years, 37","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-10 (Price: 34.02), 0.0% below",0 days,2025-10-31 (Price: 33.39)/2025-11-06 (Price: 32.92),20/1/7 days,19.58%/5.02%/7.99%,"11.8%, 23.15%",85 days/1 days/34 days,2026-03-13/2025-11-11/2025-12-29,-4.6%,-6.94%,2.34%,-0.06,-0.03,34.5745/36.7382/35.72/72.5033/74.4994/87.3544,No Recent Minima/No Horizontal Support/10.9521/4.4021/57.9488/60.8917,36.68/40.97,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"HOOD, Long, 2025-11-10 (Price: 135.88)",No Exit Yet,"0.0%, 0 days","78.26%, Past 4 years, 23","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-10 (Price: 135.88), 0.0% below",0 days,2025-10-21 (Price: 131.35)/2025-10-22 (Price: 120.88),17/1/4 days,17.01%/5.11%/8.52%,"12.73%, 15.13%",20 days/2 days/7 days,2025-12-08/2025-11-12/2025-11-20,108.4%,39.13%,69.27%,0.21,1.06,146.5058/147.457/142.67/No Horizontal Resistance/201.8345/320.8923,No Recent Minima/8.2917/128.2528/82.7767/119.3282/98.1071,130.74/84.4,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NVO, Long, 2025-11-06 (Price: 46.51)",No Exit Yet,"-1.23%, 2 days","85.29%, Past 6 years, 34","Daily, is Confirmed on 2025-11-06",No Cancellation Possible,"2025-11-10 (Price: 45.94), 1.23% below",2 days,2025-10-29 (Price: 51.19)/2025-11-04 (Price: 47.76),14/1/5 days,20.58%/5.09%/7.82%,"12.67%, 17.77%",185 days/1 days/24 days,2026-07-31/2025-11-07/2025-12-10,29.88%,9.58%,20.3%,0.26,0.35,48.1844/50.1471/48.84/139.01/157.4212/215.5132,No Recent Minima/45.4025/45.3824/37.3162/No F-Track Level/No F-Track Level,55.1/66.12,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"RHHBY, Long, 2025-11-05 (Price: 40.7)",2025-11-10 (Price: 43.85) (Today),"7.74%, 3 days","71.88%, Past 6 years, 32","Daily, is Confirmed on 2025-11-05",No Cancellation Possible,"2025-11-10 (Price: 43.85), 7.74% above",3 days,2025-10-30 (Price: 40.54)/2025-11-03 (Price: 40.07),19/2/6 days,11.7%/5.02%/7.38%,"14.74%, 24.1%",173 days/6 days/42 days,2026-07-13/2025-11-13/2026-01-04,-3.55%,1.45%,-5.0%,-0.06,0.0,41.5913/43.7037/42.74/52.46/58.6089/65.2057,No Recent Minima/34.5167/31.0544/202.8856/No F-Track Level/No F-Track Level,42.56/40.87,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"MAR, Long, 2025-11-04 (Price: 272.24)",No Exit Yet,"6.7%, 4 days","90.32%, Past 6 years, 31","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-10 (Price: 290.47), 6.7% above",4 days,2025-10-20 (Price: 259.93)/2025-10-31 (Price: 256.76),16/1/5 days,18.37%/5.48%/7.86%,"12.16%, 19.79%",69 days/1 days/15 days,2026-02-11/2025-11-05/2025-11-25,64.8%,11.5%,53.3%,0.39,0.41,287.6216/293.6381/296.74/276.35/372.972/399.3723,No Recent Minima/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level,267.06/263.47,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"SPOT, Long, 2025-10-21 (Price: 689.21)",2025-11-05 (Price: 620.0),"-10.04%, 11 days","89.47%, Past 6 years, 38","Daily, is Confirmed on 2025-10-21",No Cancellation Possible,"2025-11-10 (Price: 622.93), 9.62% below",14 days,2025-10-07 (Price: 670.5)/2025-10-17 (Price: 656.25),12/1/4 days,20.64%/5.14%/7.38%,"18.6%, 21.54%",34 days/3 days/11 days,2025-12-09/2025-10-25/2025-11-05,89.2%,27.14%,62.06%,0.27,0.81,732.0099/740.0737/744.35/No Horizontal Resistance/860.054/995.9806,No Recent Minima/118.6/642.6903/612.322/No F-Track Level/No F-Track Level,683.95/650.83,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"UBER, Long, 2025-10-20 (Price: 93.7)",2025-11-03 (Price: 99.72),"6.42%, 10 days","88.57%, Past 6 years, 35","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-11-10 (Price: 94.1), 0.43% above",15 days,2025-10-13 (Price: 93.43)/2025-10-16 (Price: 91.18),10/1/3 days,17.75%/5.02%/7.5%,"15.49%, 17.05%",20 days/1 days/6 days,2025-11-17/2025-10-21/2025-10-28,144.53%,22.35%,122.18%,0.23,0.69,98.9285/100.7275/98.39/No Horizontal Resistance/102.095/116.8186,No Recent Minima/34.6025/80.4283/75.944/No F-Track Level/No F-Track Level,95.45/85.86,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NIO, Long, 2025-10-20 (Price: 7.06)",2025-11-03 (Price: 7.42),"5.1%, 10 days","81.67%, Past 6 years, 60","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-11-10 (Price: 6.71), 4.96% below",15 days,2025-10-14 (Price: 6.77)/2025-10-16 (Price: 6.28),19/1/4 days,23.06%/5.08%/10.36%,"20.8%, 20.8%",19 days/1 days/5 days,2025-11-16/2025-10-21/2025-10-27,139.33%,20.26%,119.07%,0.22,0.77,7.8775/7.7914/7.41/24.205/No Next Fib Ext/No Next Fib Ext,No Recent Minima/3.62/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,6.98/4.91,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"META, Long, 2025-10-15 (Price: 717.55)",2025-11-03 (Price: 637.71),"-11.13%, 13 days","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-10-15",No Cancellation Possible,"2025-11-10 (Price: 631.76), 11.96% below",18 days,2025-10-03 (Price: 710.18)/2025-10-06 (Price: 690.51),15/1/5 days,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days/3 days/10 days,2025-11-17/2025-10-19/2025-10-29,-75.0%,21.72%,-96.72%,-0.28,0.69,703.199/771.8685/753.43/No Horizontal Resistance/842.484/1305.5879,No Recent Minima/280.19/556.264/3267.3398/No F-Track Level/No F-Track Level,724.08/678.67,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
