"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AMD, Long, 2026-03-20 (Price: 201.33)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 12","Weekly, is CONFIRMED on 2026-03-20",Already confirmed,"2026-03-20 (Price: 201.33), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 185.9012),8.3% above,"2022-10-16 (Price: 54.57), 2025-11-02 (Price: 267.08)",30.66%/15.55%/20.18%,"17.29%, 60.71%",1.8 year/7 days/9.5 months,2028-10-13/2026-03-30/2027-05-06,11.53%,7.36%,4.17%,1.23,0.44,263.8832/241.9584/328.84/267.02/269.2327/285.0259/No EMA 200 Target,192.43/72.05/180.4437/167.3766/194.2708/171.78/192.97,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),194.845
"BDGI.TO, Long, 2026-03-20 (Price: 60.74)",No Exit Yet,"0.0%, 0 days","88.24%, Past 20 years, 17","Weekly, is CONFIRMED on 2026-03-20",Already confirmed,"2026-03-20 (Price: 60.74), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 59.6385),1.85% above,"2022-03-20 (Price: 22.54), 2026-01-25 (Price: 82.57)",21.77%/15.35%/17.68%,"9.21%, 50.73%",4.6 years/21 days/11.9 months,2032-10-11/2026-04-19/2027-08-19,12.68%,9.34%,3.34%,1.94,0.47,69.5655/71.4788/96.76/No Horizontal Resistance/87.1484/97.3919/64.16,35.59/24.32/55.1508/48.4155/58.095/52.3189/No EMA 200 Stop Loss,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),62.15
"^VIX, Long, 2026-03-20 (Price: 26.78)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2026-03-20",Already confirmed,"2026-03-20 (Price: 26.78), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 21.7534),23.11% above,"2025-12-24 (Price: 13.38), 2026-03-09 (Price: 35.3)",77.41%/10.77%/23.38%,"21.12%, 55.28%",1.7 year/2 days/3.8 months,2028-08-22/2026-03-22/2026-09-01,56.13%,-4.23%,60.36%,0.74,0.78,No Target/33.0412/39.93/35.1/64.9295/70.0504/No EMA 200 Target,22.37/11.665/22.8782/11.7677/No stop loss/No stop loss/17.73,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets),24.46
"BRK-B, Long, 2026-03-20 (Price: 480.94)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 471.91 prior to 2026-03-31,"2026-03-20 (Price: 480.94), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),1.19% above,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-10-11/2027-01-22/2028-05-10,8.18%,7.84%,0.34%,0.89,0.47,606.5134/583.3802/650.27/512.2133/537.7909/635.7359/491.23,267.02/268.082/475.0642/423.7009/475.2967/434.262/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.71%/59/9.9 months (Across ALL Assets),495.225
"PG, Long, 2026-03-20 (Price: 144.28)",No Exit Yet,"0.0%, 0 days","79.17%, Past 39 years, 24","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 137.62 prior to 2026-03-31,"2026-03-20 (Price: 144.28), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 137.9487),4.59% above,"1962-06-30 (Price: 0.8809), 2024-11-30 (Price: 180.43)",28.68%/2.46%/20.12%,"29.44%, 32.8%",5.2 years/4.1 months/1.4 year,2033-08-21/2026-09-12/2028-03-17,5.59%,5.32%,0.27%,0.88,0.27,156.7025/173.3091/252.01/179.4533/202.162/210.6287/152.86,143.31/130.72/124.1296/103.7096/No stop loss/134.6455/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.71%/59/9.9 months (Across ALL Assets),165.29
"FSF.NZ, Long, 2026-03-19 (Price: 8.245)",No Exit Yet,"-0.18%, 1 day","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-19",Already confirmed,"2026-03-20 (Price: 8.23), 0.18% below",1 day,Upmove Bounce Back,23.66% (Price: 8.2474),0.21% below,"2025-11-24 (Price: 7.51), 2026-03-06 (Price: 8.476)",12.99%/0.21%/9.27%,"-0.0%, 31.25%",2.9 years/6 days/6.4 months,2030-05-09/2026-03-27/2026-12-22,19.15%,8.37%,10.78%,1.51,0.45,9.1445/9.0093/8.82/No Horizontal Resistance/8.4284/9.7443/No EMA 200 Target,8.12/2.942/6.3611/No stop loss/No F-Track Level/No F-Track Level/7.62,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets),8.24
"NIFTY_MIDCAP_100.NS, Long, 2026-03-18 (Price: 56289.8516)",No Exit Yet,"-2.55%, 2 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 54855.5), 2.55% below",2 days,Upmove Bounce Back,23.66% (Price: 53895.1604),1.78% above,"2023-03-28 (Price: 29200.1992), 2026-01-07 (Price: 61548.8516)",11.12%/5.89%/9.55%,"0.28%, 21.42%",1.6 year/1 month/6.4 months,2028-06-29/2026-04-30/2026-12-21,20.49%,16.66%,3.83%,1.2,1.27,60826.8136/61665.5324/75699.04/60128.6094/69983.5191/76335.2565/58785.95,54614.95/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets),55289.1016
"CEN.NZ, Long, 2026-03-18 (Price: 9.35)",No Exit Yet,"-3.1%, 2 days","90.91%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 9.06), 3.1% below",2 days,Upmove Bounce Back,88.6% (Price: 9.2275),1.82% below,"2025-12-17 (Price: 9.15), 2026-02-12 (Price: 9.83)",12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,2030-05-08/2026-05-13/2027-07-08,8.13%,2.77%,5.36%,0.86,0.1,9.4201/9.9951/9.76/9.85/11.2606/15.4512/No EMA 200 Target,9.16/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/9.25,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets),9.22
"CNU.NZ, Long, 2026-03-18 (Price: 9.43)",No Exit Yet,"2.44%, 2 days","73.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 9.66), 2.44% above",2 days,Upmove Bounce Back,78.6% (Price: 9.079),6.4% above,"2025-10-14 (Price: 8.88), 2026-02-23 (Price: 9.81)",11.98%/1.84%/7.67%,"1.13%, 19.63%",1.6 year/1 month/11.2 months,2028-06-29/2026-04-30/2027-07-17,10.79%,2.16%,8.63%,0.95,0.05,9.4913/10.1533/9.99/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.11/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.21,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets),9.19
"PG, Long, 2026-03-17 (Price: 151.48)",No Exit Yet,"-4.75%, 3 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-17",Already confirmed,"2026-03-20 (Price: 144.28), 4.75% below",3 days,Upmove Bounce Back,50% (Price: 152.43),5.35% below,"2026-01-07 (Price: 137.62), 2026-02-27 (Price: 167.24)",11.03%/2.9%/8.22%,"2.47%, 24.38%",2.6 years/1.7 month/9.3 months,2029-12-01/2026-05-29/2027-04-25,11.54%,1.17%,10.37%,0.89,-0.07,153.3432/163.9317/169.25/179.4533/186.6499/209.3631/152.86,150.5/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets),153.01
"ATM.NZ, Long, 2026-03-17 (Price: 11.5)",No Exit Yet,"-0.7%, 3 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-17",Already confirmed,"2026-03-20 (Price: 11.42), 0.7% below",3 days,Upmove Bounce Back,23.66% (Price: 11.273),1.3% above,"2026-01-20 (Price: 9.25), 2026-03-09 (Price: 11.9)",20.37%/5.32%/11.64%,"1.65%, 37.5%",1.1 year/21 days/6 months,2027-10-11/2026-04-16/2026-12-02,23.8%,-3.41%,27.21%,1.69,-0.03,12.3636/12.8386/13.09/No Horizontal Resistance/21.86/25.8879/No EMA 200 Target,11.35/5.185/9.9254/9.2893/No F-Track Level/No F-Track Level/10.0,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets),11.43
"IEI, Long, 2026-03-16 (Price: 119.09)",No Exit Yet,"-0.85%, 4 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-20 (Price: 118.08), 0.85% below",4 days,Upmove Bounce Back,23.66% (Price: 120.2949),1.84% below,"2026-02-03 (Price: 118.73), 2026-02-27 (Price: 120.7799)",2.05%/2.05%/2.05%,"0.03%, 4.21%",5.8 months/5.8 months/5.8 months,2026-11-23 (Max),3.55%,-1.4%,4.95%,0.29,-1.34,119.5306/121.5313/120.32/130.0867/No Next Fib Ext/No Next Fib Ext/119.23,118.72/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets),119.06
"XLU, Long, 2026-03-16 (Price: 47.26)",No Exit Yet,"-5.52%, 4 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-20 (Price: 44.65), 5.52% below",4 days,Upmove Bounce Back,23.66% (Price: 46.3624),3.69% below,"2026-01-07 (Price: 41.74), 2026-02-27 (Price: 47.795)",11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,2029-08-18/2026-05-07/2027-05-15,18.46%,5.33%,13.13%,2.44,0.28,50.0011/51.3716/50.89/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,46.17/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/43.45,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets),47.45
"NFLX, Long, 2026-03-15 (Price: 95.31)",No Exit Yet,"-3.66%, 5 days","100.0%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-20 (Price: 91.82), 3.66% below",5 days,Upmove Bounce Back,50% (Price: 75.193),22.11% above,"2022-05-15 (Price: 16.271), 2025-07-06 (Price: 134.115)",29.59%/15.11%/21.93%,"0%, 70.87%",2.7 years/21 days/8.2 months,2030-01-20/2026-04-14/2027-03-04,15.04%,21.83%,-6.79%,4.76,0.9,121.9873/116.2115/166.02/No Horizontal Resistance/139.352/152.4292/108.41,76.87/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),97.69
"MA, Long, 2026-03-15 (Price: 497.99)",No Exit Yet,"-0.34%, 5 days","88.89%, Past 19 years, 18","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-20 (Price: 496.32), 0.34% below",5 days,Upmove Bounce Back,23.66% (Price: 500.0604),0.75% below,"2018-12-30 (Price: 171.89), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-06-26/2026-05-14/2026-12-18,14.25%,18.73%,-4.48%,1.65,0.96,540.7175/579.0628/755.92/592.095/716.5814/751.3605/556.86,489.77/305.0867/442.8637/361.9068/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),516.27
"AMZN, Long, 2026-03-08 (Price: 213.21)",No Exit Yet,"-3.68%, 12 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-20 (Price: 205.37), 3.68% below",12 days,Upmove Bounce Back,23.66% (Price: 200.6016),2.38% above,"2018-12-30 (Price: 65.35), 2025-02-09 (Price: 242.52)",31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2030-03-05/2026-04-17/2027-01-23,13.55%,17.13%,-3.58%,1.66,0.81,251.2893/249.1572/319.51/241.71/317.6152/339.3352/224.81,198.79/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),204.55
"SLV, Long, 2026-03-08 (Price: 75.94)",No Exit Yet,"-18.99%, 12 days","100.0%, Past 19 years, 11","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-20 (Price: 61.52), 18.99% below",12 days,Upmove Bounce Back,50% (Price: 64.4),4.47% below,"2023-10-08 (Price: 18.97), 2026-02-01 (Price: 109.83)",27.39%/2.49%/14.94%,"0%, 72.45%",14.4 years/2.1 months/3.5 years,2046-09-27/2026-06-07/2031-03-07,2.66%,4.57%,-1.91%,1.86,0.24,93.5733/87.2854/130.46/No Horizontal Resistance/89.0774/103.171/No EMA 200 Target,27.08/18.99/73.9426/67.9787/No F-Track Level/No F-Track Level/51.41,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),81.17
"CEN.NZ, Long, 2026-03-08 (Price: 9.4)",No Exit Yet,"-3.62%, 12 days","87.5%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-20 (Price: 9.06), 3.62% below",12 days,Upmove Bounce Back,38.2% (Price: 9.1207),0.67% below,"2024-09-29 (Price: 7.86), 2025-11-30 (Price: 9.9)",21.39%/10.13%/17.13%,"4.94%, 48.33%",11.8 years/4 months/4.2 years,2043-01-10/2026-08-28/2032-03-06,0.12%,1.98%,-1.86%,1.07,0.04,9.5955/11.0102/10.62/9.85/11.2606/15.4512/No EMA 200 Target,9.25/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/9.25,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),9.25
"TWR.NZ, Long, 2026-03-08 (Price: 1.835)",No Exit Yet,"1.36%, 12 days","88.89%, Past 20 years, 9","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-20 (Price: 1.86), 1.36% above",12 days,Upmove Bounce Back,23.66% (Price: 1.7809),4.44% above,"2023-05-14 (Price: 0.6222), 2026-01-18 (Price: 2.14)",19.96%/16.4%/17.75%,"5.18%, 29.49%",3.7 years/2.6 months/2.3 years,2031-06-19/2026-06-28/2029-06-17,5.69%,-0.45%,6.14%,0.96,-0.01,2.0269/2.1607/2.75/No Horizontal Resistance/7.3695/7.9211/No EMA 200 Target,1.35/0.6472/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.79,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),1.855
"^NZ50, Long, 2026-03-08 (Price: 13519.3496)",No Exit Yet,"-3.92%, 12 days","100.0%, Past 20 years, 8","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-20 (Price: 12989.9902), 3.92% below",12 days,Upmove Bounce Back,23.66% (Price: 13279.875),2.18% below,"2025-04-13 (Price: 11738.1201), 2026-01-18 (Price: 13757.71)",16.08%/8.71%/14.43%,"-0.0%, 11.02%",1.7 year/2.8 months/10.4 months,2028-08-10/2026-07-07/2027-06-02,8.33%,5.06%,3.27%,1.43,0.3,13989.823/15470.1917/14731.1/No Horizontal Resistance/14773.8816/17170.3822/No EMA 200 Target,13198.18/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/13185.5,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),13656.6504
