"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Sigmashell, Success Rate of Past Analysis [%]",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AIA.NZ, Long, 2026-04-01 (Price: 8.0)",No Exit Yet,"0.0%, 0 days","83.33%, Past 5 years, 6","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 8.0), 0.0% below",0 days,"-5.76, 100.0%",12.75%/2.77%/6.66%,"1.58%, 10.13%",7.2 months/1.8 month/3.2 months,2027-02-07/2026-06-18/2026-08-18,10.81%,5.92%,4.89%,0.0,0.3,8.2408/8.5328/11.1706/8.8962/11.1706/12.8535/8.03,7.93/7.0017/7.3934/6.6643/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),8.02
"SUM.NZ, Long, 2026-04-01 (Price: 8.91)",No Exit Yet,"0.0%, 0 days","76.92%, Past 5 years, 13","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 8.91), 0.0% below",0 days,"-11.93, 91.67%",24.21%/2.02%/11.2%,"14.49%, 34.68%",5.5 months/1.6 month/2.7 months,2026-11-25/2026-06-09/2026-07-27,7.38%,9.32%,-1.94%,0.0,0.52,9.1327/9.9079/16.8799/12.64/16.8799/18.5763/11.32,8.88/No Horizontal Support/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),9.2
"DOL.TO, Long, 2026-04-01 (Price: 171.3)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 171.3), 0.0% below",0 days,"-7.08, 100.0%",16.48%/8.81%/10.99%,"-0.0%, 7.51%",3.2 months/1.3 month/2.2 months,2026-08-18/2026-05-27/2026-07-05,15.04%,18.28%,-3.24%,0.0,1.14,177.4839/190.1259/252.753/197.56/252.753/384.8349/190.84,166.76/53.2967/171.1219/120.6711/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),173.34
"EFN.TO, Long, 2026-04-01 (Price: 30.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 4","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 30.49), 0.0% below",0 days,"-6.37, 68.19%",18.68%/7.29%/12.3%,"-0.0%, 21.09%",7.7 months/3.3 months/5.5 months,2027-03-01/2026-08-22/2026-11-25,10.28%,9.51%,0.77%,0.0,0.48,31.8468/34.2403/48.884/34.925/48.884/73.5584/35.31,29.95/12.67/24.2096/18.3848/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),30.24
"MTY.TO, Long, 2026-04-01 (Price: 39.25)",No Exit Yet,"0.0%, 0 days","72.73%, Past 5 years, 11","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 39.25), 0.0% below",0 days,"-3.74, 76.79%",31.29%/3.02%/12.77%,"2.41%, 27.99%",10 months/1.2 month/4.1 months,2027-06-09/2026-05-23/2026-09-24,18.64%,5.41%,13.23%,0.0,0.29,40.3058/44.2622/No Target/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.93/37.115/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/38.93,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),39.39
"IBKR, Long, 2026-04-01 (Price: 67.91)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 7","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 67.91), 0.0% below",0 days,"-4.4, 79.17%",49.99%/6.83%/19.55%,"8.24%, 22.57%",5.6 months/1.3 month/3.2 months,2026-11-30/2026-05-27/2026-08-18,22.41%,8.26%,14.15%,0.0,0.42,70.2936/81.1864/77.1458/No Horizontal Resistance/77.1458/95.5947/No EMA 200 Target,63.69/13.0762/64.9573/52.397/No stop loss/No stop loss/66.29,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),68.37
"ORCL, Long, 2026-04-01 (Price: 145.23)",No Exit Yet,"0.0%, 0 days","70.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 145.23), 0.0% below",0 days,"-3.27, 60.72%",112.86%/20.41%/53.15%,"10.03%, 34.13%",5.6 months/2.5 months/3.5 months,2026-11-30/2026-07-18/2026-08-31,26.41%,14.47%,11.94%,0.0,0.66,150.6761/222.4197/287.7444/No Horizontal Resistance/287.7444/314.8727/218.54,138.8/82.7925/140.8739/129.2165/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),149.09
"MU, Long, 2026-04-01 (Price: 367.85)",No Exit Yet,"0.0%, 0 days","71.43%, Past 5 years, 7","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 367.85), 0.0% below",0 days,"-3.6, 84.09%",83.38%/5.46%/30.25%,"23.1%, 42.93%",11.1 months/2.3 months/5.7 months,2027-07-27/2026-07-09/2026-12-04,23.83%,9.57%,14.26%,0.0,0.53,No Target/479.1246/431.1818/No Horizontal Resistance/431.1818/451.0413/No EMA 200 Target,321.8/48.44/339.9853/310.1249/No stop loss/No stop loss/241.88,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),349.55
"AVGO, Long, 2026-04-01 (Price: 313.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 313.49), 0.0% below",0 days,"-3.06, 76.39%",66.15%/7.36%/28.25%,"-0.0%, 41.48%",10.4 months/1.2 month/3.9 months,2027-06-26/2026-05-23/2026-09-17,34.72%,24.65%,10.07%,0.0,1.13,321.5153/402.0509/614.017/No Horizontal Resistance/614.017/964.4454/327.53,293.41/64.6905/263.5886/180.8638/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),313.365
"IFT.NZ, Long, 2025-12-02 (Price: 11.75)",2026-03-31 (Price: 11.65),"-0.85%, 4 months","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2026-04-01 (Price: 11.3), 3.83% below",4 months,"-3.31, 87.5%",20.56%/4.86%/12.2%,"0.85%, 16.37%",4.2 months/1.8 month/2.6 months,2026-06-02/2026-02-18/2026-03-24,25.1%,7.96%,17.14%,0.0,0.44,12.1119/13.1835/18.927/11.925/18.927/29.733/No EMA 200 Target,11.39/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.54,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets),11.58
