"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Sigmashell, Success Rate of Past Analysis [%]",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"TRI.TO, Long, 2026-03-10 (Price: 140.74)",No Exit Yet,"0.0%, 0 days","90.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 140.74), 0.0% below",0 days,"-4.64, 100.0%",13.28%/0.96%/9.61%,"5.24%, 12.83%",2.3 months/1.2 month/1.9 month,2026-06-17/2026-05-01/2026-05-31,11.85%,6.18%,5.67%,0.52,0.33,142.5274/154.2651/308.8111/240.8933/308.8111/326.8654/213.03,110.84/126.1128/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,70.73%/41/4.2 months (Across ALL Assets),68.8%/234/3.7 months (Across ALL Assets),150.6
"IBKR, Long, 2026-03-06 (Price: 66.7)",No Exit Yet,"2.7%, 4 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2026-03-06",Already confirmed,"2026-03-10 (Price: 68.5), 2.7% above",4 days,"-3.36, 85.0%",49.99%/6.83%/19.55%,"8.24%, 22.57%",5.6 months/1.3 month/3.2 months,2026-11-04/2026-05-01/2026-07-23,22.96%,8.24%,14.72%,0.9,0.42,69.0412/79.7399/102.297/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,62.45/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/65.08,70.73%/41/4.2 months (Across ALL Assets),68.8%/234/3.7 months (Across ALL Assets),66.3
"NFLX, Long, 2026-02-02 (Price: 82.76)",2026-03-10 (Price: 96.94),"17.13%, 1.2 month","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2026-02-02",Already confirmed,"2026-03-10 (Price: 96.94), 17.13% above",1.2 month,"-3.5, 60.0%",44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,2026-11-20/2026-04-29/2026-06-16,64.2%,22.33%,41.87%,2.41,0.93,89.6622/105.279/139.352/No Horizontal Resistance/139.352/152.4292/109.46,No Recent Minima/34.8663/77.567/72.1834/No F-Track Level/No F-Track Level/No EMA 200 Support,70.73%/41/4.2 months (Across ALL Assets),68.8%/234/3.7 months (Across ALL Assets),83.53
"NFLX, Long, 2026-01-02 (Price: 90.99)",2026-03-10 (Price: 96.94),"6.54%, 2.2 months","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2026-01-02",Already confirmed,"2026-03-10 (Price: 96.94), 6.54% above",2.2 months,"-5.54, 66.67%",44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,2026-10-20/2026-03-29/2026-05-16,64.2%,22.33%,41.87%,2.41,0.93,98.5786/115.7484/139.352/No Horizontal Resistance/139.352/152.4292/109.46,85.59/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,70.73%/41/4.2 months (Across ALL Assets),68.8%/234/3.7 months (Across ALL Assets),94.13
"NFLX, Long, 2025-12-03 (Price: 103.96)",2026-03-10 (Price: 96.94),"-6.75%, 3.2 months","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2026-03-10 (Price: 96.94), 6.75% below",3.2 months,"-3.77, 63.64%",44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,2026-09-20/2026-02-27/2026-04-16,64.2%,22.33%,41.87%,2.41,0.93,112.6303/132.2475/139.352/No Horizontal Resistance/139.352/152.4292/109.46,85.59/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No EMA 200 Support,70.73%/41/4.2 months (Across ALL Assets),68.8%/234/3.7 months (Across ALL Assets),106.59
