Symbol,Today price,New Highest
XIU.TO,$48.6500,√ $49.3800
BNS.TO,$104.7600,√ $106.3100
ACWX,$73.7600,√ $73.8650
TSM,$374.0900,√ $379.5800
XLE,$54.9800,√ $55.1100
^BVSP,$189699.1250,√ $190561.1875
EEM,$61.5600,√ $61.6250
GILD,$156.0850,√ $157.2700
MAR,$359.9300,√ $367.7300
TD,$97.2800,√ $99.0399
BIPC.TO,$69.1900,√ $70.0000
SJ.TO,$99.8800,√ $101.3100
TD.TO,$132.0700,√ $134.5000
EFA,$104.9400,√ $105.1700
EWJ,$93.9700,√ $94.2000
^STI,$4984.5801,√ $4986.3398
,,
