Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Monthly,0.5854,0.5694,2.74,Resistance
NZDUSD=X,Weekly,0.5829,0.5694,2.31,Resistance
NZDUSD=X,Quarterly,0.5854,0.5694,2.73,Resistance
NZDCAD=X,Daily,0.7935,0.7936,0.01,Support
NZDCAD=X,Weekly,0.7974,0.7936,0.48,Resistance
USDCHF=X,Weekly,0.798,0.7994,0.17,Support
USDCHF=X,Daily,0.8095,0.7994,1.25,Resistance
EURUSD=X,Monthly,1.1863,1.1522,2.87,Resistance
EURUSD=X,Weekly,1.1293,1.1522,2.03,Support
EURUSD=X,Daily,1.1455,1.1522,0.59,Support
GBPUSD=X,Weekly,1.3303,1.3194,0.82,Resistance
GBPUSD=X,Daily,1.2972,1.3194,1.72,Support
GBPUSD=X,Quarterly,1.3404,1.3194,1.56,Resistance
CAD=X,Daily,1.3921,1.3917,0.03,Resistance
CAD=X,Quarterly,1.3845,1.3917,0.52,Support
CAD=X,Monthly,1.4036,1.3917,0.85,Resistance
CAD=X,Weekly,1.3924,1.3917,0.05,Resistance
GBPSGD=X,Daily,1.6858,1.6978,0.71,Support
GBPSGD=X,Monthly,1.6627,1.6978,2.11,Support
GNE.NZ,Weekly,2.195,2.17,1.14,Resistance
GNE.NZ,Monthly,2.1975,2.17,1.25,Resistance
^TNX,Weekly,4.322,4.313,0.21,Resistance
^TNX,Daily,4.3327,4.313,0.45,Resistance
3033.HK,Monthly,4.682,4.57,2.39,Resistance
MEL.NZ,Weekly,5.395,5.45,1.02,Support
MEL.NZ,Monthly,5.3367,5.45,2.12,Support
MEL.NZ,Daily,5.3586,5.45,1.71,Support
MCY.NZ,Weekly,6.2483,6.3,0.83,Support
MCY.NZ,Daily,6.1767,6.3,2.0,Support
C6L.SI,Daily,6.75,6.65,1.48,Resistance
C6L.SI,Quarterly,6.6554,6.65,0.08,Resistance
AIA.NZ,Monthly,8.295,8.07,2.71,Resistance
AIA.NZ,Daily,8.0183,8.07,0.64,Support
FSF.NZ,Monthly,8.245,8.37,1.52,Support
SUM.NZ,Monthly,9.08,8.9,1.98,Resistance
CEN.NZ,Daily,9.365,9.38,0.16,Support
CNU.NZ,Quarterly,9.4062,9.5,1.0,Support
CNU.NZ,Monthly,9.4062,9.5,1.0,Support
BYDDY,Daily,13.1794,13.31,0.99,Support
BYDDY,Weekly,13.632,13.31,2.36,Resistance
NU,Weekly,13.905,14.15,1.76,Support
NU,Daily,13.9817,14.15,1.2,Support
EBO.NZ,Weekly,22.6475,23.0,1.56,Support
^VIX,Daily,23.4133,23.87,1.95,Support
HDB,Quarterly,25.6925,24.83,3.36,Resistance
JETS,Weekly,25.1975,24.93,1.06,Resistance
KWEB,Weekly,28.439,28.09,1.23,Resistance
GLXY.TO,Weekly,27.865,28.26,1.42,Support
PFE,Monthly,28.042,28.32,0.99,Support
PFE,Weekly,28.3133,28.32,0.02,Support
JD,Weekly,28.7225,28.46,0.91,Resistance
JD,Daily,28.38,28.46,0.28,Support
DBC,Weekly,30.016,29.33,2.29,Resistance
EFN.TO,Daily,30.265,30.61,1.14,Support
NOVA.F,Monthly,31.0,31.75,2.42,Support
RINF,Monthly,31.2333,32.02,2.52,Support
RINF,Daily,32.3212,32.02,0.93,Resistance
ASHR,Weekly,32.35,32.58,0.71,Support
FXI,Weekly,36.1633,35.56,1.67,Resistance
FPH.NZ,Monthly,36.648,36.7,0.14,Support
FPH.NZ,Weekly,37.084,36.7,1.04,Resistance
NVO,Weekly,37.265,36.98,0.76,Resistance
MTY.TO,Weekly,39.6833,38.97,1.8,Resistance
INDY,Weekly,41.3533,42.115,1.84,Support
ENZL,Quarterly,43.725,42.35,3.14,Resistance
ENZL,Monthly,41.2467,42.35,2.67,Support
INDA,Monthly,47.6433,46.65,2.08,Resistance
INDA,Weekly,47.06,46.65,0.87,Resistance
BAC,Weekly,48.834,49.38,1.12,Support
BAC,Quarterly,47.775,49.38,3.36,Support
BAC,Daily,48.475,49.38,1.87,Support
IHI,Daily,53.2325,53.24,0.01,Support
IHI,Weekly,52.8004,53.24,0.83,Support
IHI,Monthly,53.31,53.24,0.13,Resistance
2807.HK,Weekly,55.18,54.4,1.41,Resistance
BIPC.TO,Weekly,55.275,55.92,1.17,Support
EEM,Monthly,57.0584,56.59,0.82,Resistance
EEM,Weekly,56.9267,56.59,0.59,Resistance
BTI,Weekly,57.3963,58.28,1.54,Support
BTI,Daily,59.135,58.28,1.45,Resistance
MFT.NZ,Daily,57.98,58.99,1.74,Support
TCEHY,Monthly,61.785,62.27,0.78,Support
TCEHY,Weekly,62.19,62.27,0.13,Support
CVS,Daily,73.33,73.49,0.22,Support
HYG,Daily,80.2044,79.56,0.8,Resistance
HYG,Weekly,80.9292,79.56,1.69,Resistance
HYG,Monthly,80.3525,79.56,0.99,Resistance
TLT,Daily,86.035,86.79,0.88,Support
TLT,Quarterly,87.43,86.79,0.73,Resistance
SBUX,Daily,91.3633,90.37,1.09,Resistance
WFG.TO,Monthly,89.8733,90.72,0.94,Support
WFG.TO,Weekly,89.8733,90.72,0.94,Support
WFG.TO,Daily,92.27,90.72,1.68,Resistance
JNK,Quarterly,98.3,95.72,2.62,Resistance
JNK,Daily,96.9467,95.72,1.27,Resistance
JNK,Weekly,94.27,95.72,1.54,Support
JNK,Monthly,97.6225,95.72,1.95,Resistance
DIS,Monthly,98.0767,96.61,1.5,Resistance
DIS,Daily,97.04,96.61,0.44,Resistance
DIS,Weekly,96.0975,96.61,0.53,Support
XLY,Weekly,108.9975,108.15,0.78,Resistance
XLY,Daily,109.5683,108.15,1.29,Resistance
IEI,Quarterly,119.232,118.29,0.79,Resistance
IEI,Daily,118.893,118.29,0.51,Resistance
IEI,Weekly,120.9982,118.29,2.24,Resistance
BABA,Weekly,124.958,122.05,2.33,Resistance
BABA,Monthly,120.92,122.05,0.93,Support
ABNB,Daily,127.482,124.95,1.99,Resistance
TRI.TO,Weekly,124.6106,125.58,0.78,Support
PG,Monthly,139.535,143.12,2.57,Support
PG,Weekly,143.8383,143.12,0.5,Resistance
KXS.TO,Weekly,140.215,143.27,2.18,Support
CNR.TO,Monthly,149.275,144.93,2.91,Resistance
CNR.TO,Weekly,143.6733,144.93,0.87,Support
CNR.TO,Daily,144.4475,144.93,0.33,Support
ORCL,Weekly,149.505,146.38,2.09,Resistance
XLV,Daily,149.295,146.81,1.66,Resistance
XLV,Weekly,149.295,146.81,1.66,Resistance
XLV,Monthly,143.86,146.81,2.05,Support
JPY=X,Daily,159.617,159.632,0.01,Support
JPY=X,Weekly,159.617,159.632,0.01,Support
JPY=X,Monthly,156.1598,159.632,2.22,Support
WIPRO.NS,Monthly,190.4575,194.91,2.34,Support
WCN.TO,Weekly,233.8167,231.14,1.14,Resistance
WCN.TO,Daily,231.945,231.14,0.35,Resistance
IWM,Weekly,247.4033,251.29,1.57,Support
BPCL.NS,Daily,278.775,278.15,0.22,Resistance
BPCL.NS,Weekly,273.7125,278.15,1.62,Support
BPCL.NS,Monthly,275.1375,278.15,1.09,Support
MCD,Monthly,300.87,307.14,2.08,Support
EMAMILTD.NS,Monthly,398.5667,398.3,0.07,Resistance
EMAMILTD.NS,Weekly,389.3,398.3,2.31,Support
BRK-B,Weekly,480.3875,477.35,0.63,Resistance
MA,Daily,494.96,493.44,0.31,Resistance
MA,Weekly,494.96,493.44,0.31,Resistance
GRANULES.NS,Weekly,627.5,613.6,2.22,Resistance
VGT,Daily,704.335,712.65,1.18,Support
NAUKRI.NS,Weekly,990.205,993.8,0.36,Support
RELIANCE.NS,Daily,1339.3145,1350.5,0.84,Support
RELIANCE.NS,Weekly,1334.0141,1350.5,1.24,Support
RELIANCE.NS,Monthly,1334.0141,1350.5,1.24,Support
BBTC.NS,Monthly,1377.05,1410.7,2.44,Support
BBTC.NS,Weekly,1393.725,1410.7,1.22,Support
SUNPHARMA.NS,Weekly,1735.7,1693.6,2.43,Resistance
ETH-USD,Weekly,2024.4983,2058.3289,1.67,Support
ETH-USD,Daily,2024.4983,2058.3289,1.67,Support
CSU.TO,Weekly,2422.9,2441.27,0.76,Support
^NZ50,Quarterly,13041.9167,12902.1504,1.07,Resistance
^NZ50,Weekly,13110.8441,12902.1504,1.59,Resistance
^NZ50,Daily,13075.415,12902.1504,1.33,Resistance
NIFTY_MIDCAP_100.NS,Weekly,54648.1016,53677.0508,1.78,Resistance
