"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BAC, Long, 2026-03-03 (Price: 49.97)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2026-03-03",Already confirmed,"2026-03-03 (Price: 49.97), 0.0% below",0 days,6.86%/2.52%/4.16%,"10.59%, 11.17%",1.1 month/1 day/11 days,2026-04-19/2026-03-04/2026-03-18,13.59%,7.35%,6.24%,0.55,0.38,53.0132/52.0488/52.53/No Horizontal Resistance/60.5768/64.246/50.43,49.81/29.49/44.5293/38.6463/49.8392/45.1006/No EMA 200 Support,83.45%/139/13 days (Across ALL Assets),77.76%/508/15 days (Across ALL Assets),48.76
"GNE.NZ, Long, 2026-03-03 (Price: 2.26)",No Exit Yet,"0.0%, 0 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-03-03",Already confirmed,"2026-03-03 (Price: 2.26), 0.0% below",0 days,5.47%/1.26%/3.36%,"7.36%, 7.72%",1.7 month/1 day/15 days,2026-05-15/2026-03-04/2026-03-24,12.51%,-6.12%,18.63%,0.91,-0.53,2.331/2.3359/2.33/3.575/4.6908/5.9676/2.39,2.23/2.0733/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,83.45%/139/13 days (Across ALL Assets),77.76%/508/15 days (Across ALL Assets),2.24
"NU, Long, 2026-03-03 (Price: 14.76)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-03-03",Already confirmed,"2026-03-03 (Price: 14.76), 0.0% below",0 days,23.68%/2.44%/9.29%,"24.09%, 24.09%",2.1 months/1 day/20 days,2026-06-02/2026-03-04/2026-03-31,23.55%,9.78%,13.77%,0.51,0.54,15.5231/16.1312/15.83/16.285/19.3185/24.577/15.05,14.73/5.54/No F-Stack Support/No F-Stack Support/13.995/12.8185/No EMA 200 Support,83.45%/139/13 days (Across ALL Assets),77.76%/508/15 days (Across ALL Assets),14.68
"TCS.NS, Long, 2026-03-03 (Price: 2613.5)",No Exit Yet,"0.0%, 0 days","75.0%, Past 15 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 2553.5117 or above 2872.2857 prior to 2026-03-06,"2026-03-03 (Price: 2613.5), 0.0% below",0 days,14.06%/3.68%/8.22%,"14.47%, 16.73%",1.9 month/21 days/1.2 month,2026-05-24/2026-04-02/2026-04-24,4.8%,8.26%,-3.46%,0.2,0.45,2850.2831/2828.3297/2839.31/4543.575/4920.1406/5233.5809/3150.2,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),2592.0
"WIPRO.NS, Long, 2026-03-03 (Price: 198.57)",No Exit Yet,"0.0%, 0 days","71.43%, Past 15 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 194.2187 or above 221.8731 prior to 2026-03-06,"2026-03-03 (Price: 198.57), 0.0% below",0 days,9.84%/6.43%/8.22%,"21.48%, 23.67%",3.3 months/7 days/1.5 month,2026-07-24/2026-03-13/2026-05-07,3.18%,5.02%,-1.84%,0.04,0.25,223.9671/214.8925/219.43/366.6625/374.6319/404.5107/248.72,189.65/187.6063/184.3156/No support/No support/No support/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),195.0
"INFY, Long, 2026-03-03 (Price: 14.22)",No Exit Yet,"0.0%, 0 days","87.5%, Past 15 years, 8","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 13.8501 or above 15.367 prior to 2026-03-06,"2026-03-03 (Price: 14.22), 0.0% below",0 days,16.57%/6.3%/10.74%,"21.95%, 25.26%",8.9 months/1.4 month/3.3 months,2027-03-24/2026-05-02/2026-07-24,6.63%,3.65%,2.98%,0.56,0.18,16.8208/15.7472/16.28/23.796/25.6134/28.2828/17.31,No Recent Minima/No Horizontal Support/14.1529/13.3229/11.7334/9.4094/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),14.09
"UBER, Long, 2026-03-01 (Price: 75.42)",No Exit Yet,"1.25%, 2 days","100.0%, Past 6 years, 4","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-03-03 (Price: 76.36), 1.25% above",2 days,32.55%/10.16%/16.89%,"0%, 19.43%",4.4 months/21 days/2 months,2026-09-08/2026-03-31/2026-05-26,15.68%,6.33%,9.35%,1.66,0.38,88.2414/88.1584/88.2/82.12/110.4084/120.7433/88.38,69.99/34.6025/63.3753/49.8327/No F-Track Level/No F-Track Level/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),72.99
"SUM.NZ, Long, 2026-03-01 (Price: 10.66)",No Exit Yet,"-3.56%, 2 days","71.43%, Past 14 years, 7","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-03-03 (Price: 10.28), 3.56% below",2 days,20.27%/4.17%/8.75%,"20.61%, 22.44%",3.5 months/7 days/2.2 months,2026-07-31/2026-03-11/2026-06-04,2.34%,11.18%,-8.84%,0.05,0.61,13.0628/11.5927/12.33/12.55/19.8479/26.5969/11.47,10.5/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),10.5
"TRI.TO, Long, 2026-03-01 (Price: 131.33)",No Exit Yet,"9.78%, 2 days","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-03-03 (Price: 144.17), 9.78% above",2 days,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2028-02-27/2026-03-21/2026-10-30,5.14%,6.08%,-0.94%,1.52,0.34,137.3712/139.4331/138.4/240.8933/293.2329/455.2123/216.07,113.99/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),113.04
"NFLX, Long, 2026-02-22 (Price: 78.67)",2026-03-01 (Price: 96.24),"22.33%, 7 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 97.7), 24.19% above",9 days,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-08-01/2026-03-24/2026-05-28,0.19%,16.07%,-15.88%,-0.03,0.7,90.738/91.3595/91.05/82.231/139.352/152.4292/109.98,76.87/34.8663/77.567/72.1834/No F-Track Level/No F-Track Level/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),76.92
