"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Spread,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"HDFCBANK.NS, Long, 2025-12-10 (Price: 989.8)",2026-03-19 (Price: 798.2),"-19.36%, 3.3 months","81.25%, Past 25 years, 16","Weekly, was CONFIRMED on 2025-12-10",No Cancellation Possible,"2026-04-01 (Price: 742.25), 25.01% below",3.7 months,13.49%,44.95%/18.13%/21.77%,"28.44%, 32.67%",2.2 years/1 month/8.2 months,2029-01-30/2026-01-22/2026-11-29,8.95%,12.34%,-3.39%,0.0,-0.01,1013.8521/1205.2795/1098.0619/1009.6/1098.0619/1305.7899/No EMA 200 Target,945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/958.42,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.4 months (Across ALL Assets),1000.0
"SUM.NZ, Long, 2025-12-05 (Price: 12.15)",2026-03-20 (Price: 9.38),"-22.8%, 3.5 months","87.5%, Past 14 years, 8","Weekly, was CONFIRMED on 2025-12-05",No Cancellation Possible,"2026-04-01 (Price: 8.91), 26.67% below",3.9 months,13.49%,20.09%/17.11%/18.15%,"23.37%, 25.44%",11 months/3 months/6.3 months,2027-03-27/2026-04-14/2026-09-04,9.34%,9.32%,0.02%,0.0,-0.1,12.359/14.3552/19.8479/13.345/19.8479/26.5969/No EMA 200 Target,10.66/9.1367/11.0645/No stop loss/No F-Track Level/No F-Track Level/11.32,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.4 months (Across ALL Assets),12.46
"SONY, Long, 2025-10-10 (Price: 28.25)",2026-03-18 (Price: 20.38),"-27.86%, 5.3 months","72.22%, Past 25 years, 18","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-04-01 (Price: 21.12), 25.24% below",5.8 months,10.23%,24.91%/21.27%/22.89%,"38.39%, 40.25%",1.7 year/2.8 months/7 months,2028-03-14/2026-02-08/2026-08-10,3.21%,1.07%,2.14%,0.0,-0.2,28.3461/34.7164/33.2191/No Horizontal Resistance/33.2191/35.3948/No EMA 200 Target,23.92/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/25.8,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.4 months (Across ALL Assets),30.1
"HDB, Long, 2025-10-09 (Price: 34.77)",2026-03-19 (Price: 26.14),"-24.82%, 5.4 months","81.25%, Past 25 years, 16","Weekly, was CONFIRMED on 2025-10-09",No Cancellation Possible,"2026-04-01 (Price: 24.9), 28.39% below",5.8 months,10.23%,33.4%/24.26%/26.06%,"39.56%, 45.97%",3.6 years/14 days/8.1 months,2030-11-29/2025-10-29/2026-09-25,7.04%,10.48%,-3.44%,0.0,0.0,36.4251/43.8311/40.717/39.042/40.717/47.4928/34.8,34.15/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.4 months (Across ALL Assets),34.55
"NKE, Long, 2025-10-09 (Price: 68.06)",2026-04-01 (Price: 44.63),"-34.43%, 5.8 months","85.71%, Past 25 years, 14","Weekly, was CONFIRMED on 2025-10-09",No Cancellation Possible,"2026-04-01 (Price: 44.63), 34.43% below",5.8 months,10.23%,20.41%/18.51%/19.17%,"38.98%, 41.08%",2 years/11 days/8.3 months,2028-08-16/2025-10-24/2026-10-04,7.03%,6.87%,0.16%,0.0,-0.12,69.5845/81.1071/171.1647/176.74/171.1647/206.9588/No EMA 200 Target,54.39/No Horizontal Support/60.8668/56.1303/No F-Track Level/No F-Track Level/66.57,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.4 months (Across ALL Assets),72.02
"LULU, Long, 2025-07-03 (Price: 247.68)",2026-03-26 (Price: 151.39),"-38.88%, 8.9 months","71.43%, Past 18 years, 14","Weekly, was CONFIRMED on 2025-07-03",No Cancellation Possible,"2026-04-01 (Price: 158.81), 35.88% below",9.1 months,11.9%,34.77%/31.02%/32.27%,"49.58%, 54.73%",10 months/2.4 months/5.6 months,2026-09-10/2025-10-15/2026-03-03,-0.08%,9.35%,-9.43%,0.0,0.04,248.0268/327.6063/523.3512/483.385/523.3512/683.6933/No EMA 200 Target,227.47/No Horizontal Support/205.1142/165.6425/No F-Track Level/No F-Track Level/189.2,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.4 months (Across ALL Assets),236.32
"EMAMILTD.NS, Long, 2025-07-03 (Price: 558.9)",2026-03-23 (Price: 401.7),"-28.13%, 8.8 months","88.24%, Past 19 years, 17","Weekly, was CONFIRMED on 2025-07-03",No Cancellation Possible,"2026-04-01 (Price: 393.45), 29.6% below",9.1 months,11.9%,32.03%/22.99%/26.12%,"39.75%, 42.28%",2.1 years/15 days/5.6 months,2028-07-02/2025-07-24/2026-03-03,13.78%,8.03%,5.75%,0.0,-0.04,583.9946/704.8847/992.8666/625.825/992.8666/1281.316/No EMA 200 Target,553.05/337.475/462.4541/387.0135/No F-Track Level/No F-Track Level/533.42,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.4 months (Across ALL Assets),567.2
