Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-16 (Price: 194.93)",2026-03-09 (Price: 197.44),"1.29%, 3.8 months","84.81%, Past 10 years, 79","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-03-09 (Price: 197.44), 1.29% above",3.8 months,184.95,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,2026-07-08/2026-02-15/2026-03-26,31.56%,15.32%,16.24%,0.92,0.93,215.8265/210.4269/194.1559/197.56/194.1559/294.0831/No EMA 200 Target,174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.53,64.0%/25/3.6 months (Across ALL Assets),66.32%/573/3.2 months (Across ALL Assets)
TRENDPULSE,"TLT, Long, 2026-01-25 (Price: 87.93)",2026-03-09 (Price: 89.23),"1.48%, 1.4 month","75.0%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-03-09 (Price: 89.23), 1.48% above",1.4 month,86.63,No Information,No Information,No Information,No Information,No Information,1.48% above/1.48% above/1.48% above,15.02%/2.35%/5.26%,"39.18%, 46.07%",6.5 months/28 days/1.7 month,2026-11-03/2026-03-06/2026-04-08,-6.38%,-0.11%,-6.26%,-0.23,-0.26,88.185/92.5551/124.51/153.2067/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,87.03/82.86/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/87.91,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2024-10-31 (Price: 12.6)",2026-03-09 (Price: 10.84),"-13.97%, 1.4 year","100.0%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-10-31",Already confirmed,"2026-03-09 (Price: 10.84), 13.97% below",1.4 year,12.315,No Information,No Information,No Information,No Information,No Information,11.51% below/13.07% below/13.97% below,20.0%/3.04%/10.14%,"-0.0%, 18.64%",1.3 year/5 months/9.7 months,2026-09-08/2025-06-05/2025-12-26,5.74%,8.41%,-2.67%,1.75,0.5,14.044/13.8776/19.79/No Horizontal Resistance/18.927/29.733/No EMA 200 Target,3.91/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.07,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",2026-03-09 (Price: 10.1),"-21.28%, 1.3 year","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-11-30",Already confirmed,"2026-03-09 (Price: 10.1), 21.28% below",1.3 year,12.4,No Information,No Information,No Information,No Information,No Information,15.48% below/19.52% below/21.28% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,2027-08-17/2025-07-05/2026-05-05,7.79%,10.92%,-3.13%,0.19,0.59,13.959/15.7103/14.55/No Horizontal Resistance/19.8479/26.5969/No EMA 200 Target,8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/11.15,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",2026-03-09 (Price: 10.1),"-18.48%, 1.4 year","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-10-31",Already confirmed,"2026-03-09 (Price: 10.1), 18.48% below",1.4 year,11.89,No Information,No Information,No Information,No Information,No Information,15.48% below/18.48% below/18.48% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,2027-07-18/2025-06-05/2026-04-05,7.79%,10.92%,-3.13%,0.19,0.59,13.4803/15.1716/14.37/12.63/19.8479/26.5969/No EMA 200 Target,8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/10.96,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"GDX, Long, 2025-09-30 (Price: 76.4)",2026-03-09 (Price: 102.44),"34.08%, 5.3 months","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-09 (Price: 102.44), 34.08% above",5.3 months,64.39,No Information,No Information,No Information,No Information,No Information,62.17% above/37.17% above/34.08% above,64.32%/20.13%/42.14%,"-0.0%, 37.94%",1.5 year/6.1 months/10.4 months,2027-11-21/2026-06-22/2026-12-25,8.21%,3.31%,4.9%,1.9,0.2,96.6842/108.595/96.69/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.91/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.26,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",2026-03-09 (Price: 10.1),"-15.48%, 1.5 year","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-03-09 (Price: 10.1), 15.48% below",1.5 year,11.3,No Information,No Information,No Information,No Information,No Information,15.48% below/15.48% below/15.48% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,2027-06-17/2025-05-05/2026-03-05,7.79%,10.92%,-3.13%,0.19,0.59,13.0016/14.6328/14.19/12.63/19.8479/26.5969/No EMA 200 Target,8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/10.75,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"RY.TO, Long, 2025-10-31 (Price: 205.47)",2026-03-09 (Price: 221.95),"8.02%, 4.3 months","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-09 (Price: 221.95), 8.02% above",4.3 months,204.86,No Information,No Information,No Information,No Information,No Information,11.21% above/8.02% above/8.02% above,16.93%/2.86%/11.22%,"-0.0%, 21.22%",2.5 years/4 months/11.3 months,2029-05-26/2026-04-22/2027-03-06,4.79%,6.63%,-1.84%,1.91,0.39,229.6333/228.5237/312.78/No Horizontal Resistance/221.431/339.4883/No EMA 200 Target,162.1/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/179.57,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"ACWX, Long, 2025-09-30 (Price: 65.01)",2026-03-09 (Price: 70.09),"7.81%, 5.3 months","90.91%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-09 (Price: 70.09), 7.81% above",5.3 months,62.0,No Information,No Information,No Information,No Information,No Information,7.81% above/8.85% above/7.81% above,15.1%/1.97%/7.67%,"10.07%, 26.55%",3.3 years/4.1 months/1.5 year,2030-06-16/2026-03-25/2027-11-21,1.48%,1.08%,0.4%,0.36,-0.07,70.7049/69.9963/78.29/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/No F-Track Level/No F-Track Level/58.09,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"XLV, Long, 2024-02-29 (Price: 144.82)",2026-03-09 (Price: 154.26),"6.52%, 2.1 years","85.71%, Past 20 years, 21","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2026-03-09 (Price: 154.26), 6.52% above",2.1 years,140.55,No Information,No Information,No Information,No Information,No Information,13.11% above/8.48% above/6.52% above,17.42%/2.58%/8.44%,"5.59%, 36.99%",2.7 years/5.1 months/11.3 months,2028-01-06/2024-10-07/2025-07-04,3.88%,4.86%,-0.98%,0.77,0.25,157.8248/157.0428/146.52/No Horizontal Resistance/153.114/174.1807/No EMA 200 Target,124.54/86.68/117.2225/81.225/No F-Track Level/No F-Track Level/133.48,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
