Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Quarterly,0.5854,0.5811,0.73,Resistance
NZDUSD=X,Daily,0.5837,0.5811,0.44,Resistance
NZDUSD=X,Weekly,0.5829,0.5811,0.3,Resistance
NZDUSD=X,Monthly,0.5854,0.5811,0.74,Resistance
USDCHF=X,Weekly,0.798,0.788,1.26,Resistance
USDCHF=X,Daily,0.7787,0.788,1.2,Support
NZDCAD=X,Daily,0.8068,0.8029,0.49,Resistance
NZDCAD=X,Weekly,0.7974,0.8029,0.69,Support
EURUSD=X,Weekly,1.1598,1.1562,0.31,Resistance
EURUSD=X,Daily,1.1455,1.1562,0.94,Support
GBPUSD=X,Quarterly,1.3404,1.3367,0.27,Resistance
GBPUSD=X,Weekly,1.3303,1.3367,0.48,Support
CAD=X,Quarterly,1.3845,1.3757,0.64,Resistance
CAD=X,Monthly,1.3912,1.3757,1.11,Resistance
CAD=X,Daily,1.3888,1.3757,0.94,Resistance
CAD=X,Weekly,1.3924,1.3757,1.2,Resistance
GBPSGD=X,Monthly,1.7403,1.7137,1.53,Resistance
GBPSGD=X,Daily,1.6858,1.7137,1.66,Support
GBPSGD=X,Weekly,1.7474,1.7137,1.93,Resistance
GNE.NZ,Quarterly,2.245,2.19,2.45,Resistance
GNE.NZ,Monthly,2.1975,2.19,0.34,Resistance
GNE.NZ,Weekly,2.195,2.19,0.23,Resistance
^TNX,Weekly,4.322,4.328,0.14,Support
^TNX,Daily,4.3327,4.328,0.11,Resistance
MEL.NZ,Monthly,5.3367,5.48,2.69,Support
MEL.NZ,Weekly,5.395,5.48,1.58,Support
MCY.NZ,Weekly,6.2483,6.25,0.03,Support
MCY.NZ,Daily,6.196,6.25,0.87,Support
C6L.SI,Weekly,6.7734,6.62,2.27,Resistance
C6L.SI,Daily,6.75,6.62,1.93,Resistance
C6L.SI,Quarterly,6.6554,6.62,0.53,Resistance
AIA.NZ,Daily,8.0183,8.08,0.77,Support
AIA.NZ,Monthly,8.295,8.08,2.59,Resistance
FSF.NZ,Monthly,8.245,8.49,2.97,Support
CEN.NZ,Monthly,8.9946,9.17,1.95,Support
CEN.NZ,Quarterly,9.083,9.17,0.96,Support
SUM.NZ,Daily,9.1367,9.25,1.24,Support
SUM.NZ,Weekly,9.1775,9.25,0.79,Support
SUM.NZ,Monthly,9.08,9.25,1.87,Support
CNU.NZ,Monthly,9.4062,9.51,1.1,Support
CNU.NZ,Quarterly,9.4062,9.51,1.1,Support
ATM.NZ,Weekly,10.965,11.08,1.05,Support
ATM.NZ,Daily,10.965,11.08,1.05,Support
LYFT,Weekly,12.9775,13.26,2.18,Support
BYDDY,Monthly,13.9472,13.57,2.7,Resistance
BYDDY,Weekly,13.632,13.57,0.45,Resistance
SONY,Weekly,20.2613,20.54,1.38,Support
SONY,Monthly,20.182,20.54,1.77,Support
EBO.NZ,Weekly,23.015,22.45,2.45,Resistance
JETS,Weekly,25.1975,25.3,0.41,Support
^VIX,Weekly,24.885,25.33,1.79,Support
HDB,Quarterly,25.6925,25.81,0.46,Support
HDB,Monthly,25.6325,25.81,0.69,Support
HDB,Weekly,25.6937,25.81,0.45,Support
PFE,Monthly,26.7683,27.28,1.91,Support
PFE,Daily,26.92,27.28,1.34,Support
PFE,Weekly,27.2683,27.28,0.04,Support
GLXY.TO,Weekly,27.865,28.26,1.42,Support
KWEB,Weekly,28.439,29.14,2.46,Support
JD,Weekly,29.955,29.75,0.68,Resistance
NOVA.F,Monthly,31.0,31.25,0.81,Support
NOVA.F,Weekly,30.8125,31.25,1.42,Support
RINF,Daily,32.3212,31.8681,1.4,Resistance
RINF,Weekly,31.2144,31.8681,2.09,Support
RINF,Monthly,31.2333,31.8681,2.03,Support
ASHR,Weekly,32.35,32.7,1.08,Support
ASHR,Quarterly,33.8,32.7,3.25,Resistance
FXI,Weekly,35.404,36.0,1.68,Support
FPH.NZ,Monthly,36.648,37.19,1.48,Support
FPH.NZ,Weekly,37.084,37.19,0.29,Support
FPH.NZ,Daily,37.54,37.19,0.93,Resistance
MTY.TO,Weekly,40.175,39.39,1.95,Resistance
ENZL,Quarterly,43.725,43.3154,0.94,Resistance
ENZL,Monthly,43.745,43.3154,0.98,Resistance
ENZL,Weekly,43.836,43.3154,1.19,Resistance
ENZL,Daily,43.9783,43.3154,1.51,Resistance
INDA,Weekly,47.06,47.42,0.76,Support
INDA,Monthly,47.6433,47.42,0.47,Resistance
BAC,Daily,48.475,48.75,0.57,Support
BAC,Weekly,48.834,48.75,0.17,Resistance
BAC,Monthly,47.72,48.75,2.16,Support
BAC,Quarterly,47.775,48.75,2.04,Support
BIPC.TO,Weekly,52.132,52.85,1.38,Support
BIPC.TO,Daily,52.132,52.85,1.38,Support
NKE,Weekly,52.3238,52.98,1.25,Support
NKE,Monthly,52.4667,52.98,0.98,Support
IHI,Weekly,55.2897,54.38,1.65,Resistance
IHI,Monthly,53.31,54.38,2.01,Support
EEM,Weekly,56.9267,57.42,0.87,Support
EEM,Monthly,57.0584,57.42,0.63,Support
MFT.NZ,Daily,57.98,58.2,0.38,Support
BTI,Daily,59.135,58.45,1.16,Resistance
BTI,Weekly,57.3963,58.45,1.84,Support
CVS,Daily,73.33,72.18,1.57,Resistance
CVS,Weekly,73.8586,72.18,2.27,Resistance
HYG,Daily,79.6567,79.42,0.3,Resistance
HYG,Weekly,80.9292,79.42,1.86,Resistance
HYG,Monthly,80.3525,79.42,1.16,Resistance
MX.TO,Weekly,80.368,80.84,0.59,Support
MX.TO,Monthly,79.08,80.84,2.23,Support
TLT,Quarterly,87.43,86.84,0.67,Resistance
TLT,Daily,86.035,86.84,0.94,Support
SBUX,Daily,91.3633,92.7,1.46,Support
SBUX,Weekly,93.0033,92.7,0.33,Resistance
JNK,Daily,96.9467,95.55,1.44,Resistance
JNK,Weekly,94.27,95.55,1.36,Support
JNK,Quarterly,98.3,95.55,2.8,Resistance
JNK,Monthly,97.6225,95.55,2.12,Resistance
DIS,Weekly,96.0975,95.95,0.15,Resistance
DIS,Daily,97.04,95.95,1.12,Resistance
DIS,Monthly,98.0767,95.95,2.17,Resistance
XLY,Daily,109.5683,110.73,1.06,Support
XLY,Quarterly,113.835,110.73,2.73,Resistance
XLY,Weekly,108.9975,110.73,1.59,Support
IEI,Daily,118.893,118.38,0.43,Resistance
IEI,Quarterly,119.232,118.38,0.71,Resistance
TRI.TO,Monthly,119.3769,120.87,1.25,Support
ABNB,Weekly,130.225,131.81,1.22,Support
KXS.TO,Daily,139.8917,138.78,0.79,Resistance
KXS.TO,Weekly,140.215,138.78,1.02,Resistance
CNR.TO,Daily,138.38,140.69,1.67,Support
CNR.TO,Monthly,140.195,140.69,0.35,Support
CNR.TO,Weekly,138.38,140.69,1.67,Support
PG,Weekly,143.8383,143.92,0.06,Support
PG,Monthly,144.185,143.92,0.18,Resistance
ORCL,Weekly,149.505,146.02,2.33,Resistance
XLV,Monthly,143.86,146.24,1.65,Support
XLV,Weekly,149.295,146.24,2.05,Resistance
TFII.TO,Weekly,147.1925,147.34,0.1,Support
JPY=X,Monthly,156.1598,158.718,1.64,Support
JPY=X,Daily,159.617,158.718,0.56,Resistance
JPY=X,Weekly,159.617,158.718,0.56,Resistance
LULU,Weekly,161.64,158.72,1.81,Resistance
LULU,Daily,159.855,158.72,0.71,Resistance
LULU,Monthly,162.02,158.72,2.04,Resistance
WIPRO.NS,Daily,187.6063,189.05,0.77,Support
WIPRO.NS,Weekly,189.645,189.05,0.31,Resistance
WIPRO.NS,Monthly,190.4575,189.05,0.74,Resistance
WIPRO.NS,Quarterly,185.0312,189.05,2.17,Support
BYD.TO,Monthly,192.548,190.23,1.2,Resistance
BYD.TO,Daily,190.7867,190.23,0.29,Resistance
IWM,Weekly,247.4033,251.82,1.79,Support
MSFT,Monthly,361.705,371.04,2.58,Support
TSLA,Weekly,378.26,385.95,2.03,Support
BRK-B,Weekly,465.5875,476.19,2.28,Support
MA,Daily,494.96,502.76,1.58,Support
MA,Weekly,494.96,502.76,1.58,Support
META,Daily,601.475,594.89,1.09,Resistance
META,Weekly,592.1,594.89,0.47,Support
VGT,Daily,704.335,716.46,1.72,Support
HDFCBANK.NS,Weekly,778.865,782.3,0.44,Support
HDFCBANK.NS,Daily,776.94,782.3,0.69,Support
RELIANCE.NS,Daily,1423.075,1413.1,0.7,Resistance
ETH-USD,Monthly,2144.0975,2162.6565,0.87,Support
ETH-USD,Weekly,2144.0975,2162.6565,0.87,Support
ETH-USD,Daily,2128.2922,2162.6565,1.61,Support
^NZ50,Quarterly,13041.9167,12769.4297,2.09,Resistance
NIFTY_MIDCAP_100.NS,Weekly,54648.1016,55331.0508,1.25,Support
BTC-USD,Quarterly,71269.8477,71005.3672,0.37,Resistance
BTC-USD,Monthly,70459.8682,71005.3672,0.77,Support
