Report Type,Symbol,Today price,New Highest
New High,SOXX,$401.2400,√ $401.4445
New High,^BVSP,$198657.3281,√ $199354.8125
New High,TD,$103.1300,√ $103.1500
New High,NA.TO,$199.0500,√ $200.0500
New High,RY.TO,$240.7100,√ $240.9100
New High,TD.TO,$141.9500,√ $142.0500
New High,000660.KS,$1103000.0000,√ $1128000.0000
New High,,,
