Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5751,1.47,Resistance
USDCHF=X,Daily,0.798,0.7963,0.22,Resistance
NZDCAD=X,Daily,0.7935,0.7971,0.45,Support
NZDCAD=X,Weekly,0.7951,0.7971,0.26,Support
EURUSD=X,Daily,1.175,1.1658,0.78,Resistance
EURUSD=X,Weekly,1.1452,1.1658,1.8,Support
GBPUSD=X,Weekly,1.3445,1.3438,0.05,Resistance
GBPUSD=X,Daily,1.3631,1.3438,1.42,Resistance
CAD=X,Daily,1.3888,1.3864,0.17,Resistance
CAD=X,Weekly,1.3845,1.3864,0.13,Support
GBPSGD=X,Weekly,1.7483,1.7305,1.02,Resistance
GBPSGD=X,Daily,1.7279,1.7305,0.15,Support
^TNX,Daily,4.1085,4.187,1.91,Support
C6L.SI,Daily,6.48,6.43,0.77,Resistance
C6L.SI,Monthly,6.5913,6.43,2.45,Resistance
MCY.NZ,Weekly,6.7075,6.59,1.75,Resistance
MCY.NZ,Daily,6.6808,6.59,1.36,Resistance
CNU.NZ,Weekly,9.3875,9.44,0.56,Support
SUM.NZ,Daily,12.345,12.5,1.26,Support
INFY,Daily,17.818,17.8,0.1,Resistance
DBC,Daily,22.9875,23.19,0.88,Support
PFE,Daily,24.95,25.27,1.28,Support
EBO.NZ,Daily,28.005,27.45,1.98,Resistance
RINF,Daily,32.33,32.23,0.31,Resistance
HDB,Daily,33.7517,33.52,0.69,Resistance
ASHR,Daily,34.08,34.34,0.76,Support
EFN.TO,Daily,34.925,35.14,0.62,Support
GLXY.TO,Daily,35.14,35.41,0.77,Support
KWEB,Weekly,38.6033,37.66,2.44,Resistance
XLE,Daily,46.9357,46.34,1.27,Resistance
XLE,Weekly,47.1,46.34,1.61,Resistance
INDY,Daily,49.0133,48.63,0.78,Resistance
PYPL,Daily,56.47,57.29,1.45,Support
IHI,Daily,62.445,63.19,1.19,Support
MFT.NZ,Daily,67.27,68.31,1.55,Support
USO,Daily,71.282,71.65,0.52,Support
ATD.TO,Daily,74.91,75.21,0.4,Support
HYG,Daily,80.075,81.04,1.21,Support
SBUX,Daily,91.3633,89.96,1.54,Resistance
JNK,Weekly,96.515,97.68,1.21,Support
JNK,Daily,96.8482,97.68,0.86,Support
UPS,Weekly,106.345,108.03,1.58,Support
UPS,Daily,107.93,108.03,0.09,Support
DIS,Weekly,114.645,112.82,1.59,Resistance
IEI,Weekly,119.345,119.28,0.05,Resistance
IEI,Daily,118.9111,119.28,0.31,Support
GILD,Daily,120.895,122.6,1.41,Support
CNR.TO,Daily,138.38,137.37,0.73,Resistance
PG,Daily,142.22,143.46,0.87,Support
JPY=X,Daily,159.6618,156.88,1.74,Resistance
XLV,Daily,159.295,157.38,1.2,Resistance
BYD.TO,Daily,221.66,218.32,1.51,Resistance
MCD,Weekly,300.87,306.75,1.95,Support
HDFCBANK.NS,Daily,939.55,936.95,0.28,Resistance
^NZ50,Weekly,13418.2035,13696.25,2.07,Support
^NSEI,Daily,25973.3496,25790.25,0.7,Resistance
NIFTY_MIDCAP_100.NS,Daily,60182.9323,59717.1016,0.77,Resistance
