Symbol,Today price,New Highest
XIU.TO,$50.0300,√ $50.0500
WPM.TO,$220.1400,√ $220.9300
GDX,$113.8900,√ $113.9150
MCD,$334.5300,√ $336.9100
TD,$98.7800,√ $99.2900
WPM,$161.0200,√ $161.5000
NA.TO,$192.4100,√ $192.5200
TD.TO,$135.1400,√ $135.8800
MSE.PA,$68.8500,√ $69.2800
,,
