Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Quarterly,0.5854,0.584,0.24,Resistance
NZDUSD=X,Monthly,0.5854,0.584,0.24,Resistance
NZDUSD=X,Weekly,0.5829,0.584,0.19,Support
NZDUSD=X,Daily,0.5837,0.584,0.06,Support
USDCHF=X,Daily,0.7787,0.7864,0.99,Support
USDCHF=X,Weekly,0.798,0.7864,1.46,Resistance
NZDCAD=X,Weekly,0.7974,0.8036,0.78,Support
NZDCAD=X,Daily,0.8068,0.8036,0.4,Resistance
EURUSD=X,Daily,1.1455,1.1616,1.41,Support
EURUSD=X,Weekly,1.1598,1.1616,0.15,Support
GBPUSD=X,Quarterly,1.3404,1.3416,0.09,Support
GBPUSD=X,Daily,1.3685,1.3416,1.97,Resistance
GBPUSD=X,Weekly,1.3303,1.3416,0.85,Support
CAD=X,Daily,1.3888,1.3731,1.13,Resistance
CAD=X,Weekly,1.3924,1.3731,1.39,Resistance
CAD=X,Monthly,1.3912,1.3731,1.3,Resistance
CAD=X,Quarterly,1.3845,1.3731,0.83,Resistance
GBPSGD=X,Daily,1.6858,1.7118,1.54,Support
GBPSGD=X,Monthly,1.7403,1.7118,1.64,Resistance
GBPSGD=X,Weekly,1.7474,1.7118,2.04,Resistance
TWR.NZ,Monthly,1.9427,1.89,2.71,Resistance
GNE.NZ,Monthly,2.1975,2.16,1.71,Resistance
GNE.NZ,Weekly,2.195,2.16,1.59,Resistance
^TNX,Daily,4.3327,4.392,1.37,Support
^TNX,Weekly,4.322,4.392,1.62,Support
MEL.NZ,Monthly,5.3367,5.34,0.06,Support
MEL.NZ,Weekly,5.395,5.34,1.02,Resistance
MEL.NZ,Daily,5.3586,5.34,0.35,Resistance
NIO,Monthly,5.57,5.73,2.87,Support
MCY.NZ,Daily,6.196,6.21,0.23,Support
MCY.NZ,Weekly,6.2483,6.21,0.61,Resistance
C6L.SI,Quarterly,6.6554,6.51,2.18,Resistance
C6L.SI,Daily,6.53,6.51,0.31,Resistance
C6L.SI,Weekly,6.416,6.51,1.47,Support
AIA.NZ,Weekly,7.8575,7.93,0.92,Support
AIA.NZ,Daily,8.0183,7.93,1.1,Resistance
FSF.NZ,Weekly,8.245,8.4,1.88,Support
FSF.NZ,Monthly,8.245,8.4,1.88,Support
CEN.NZ,Quarterly,9.083,8.95,1.46,Resistance
CEN.NZ,Daily,8.816,8.95,1.52,Support
CEN.NZ,Monthly,8.9946,8.95,0.5,Resistance
SUM.NZ,Daily,9.1367,9.31,1.9,Support
SUM.NZ,Weekly,9.1775,9.31,1.44,Support
SUM.NZ,Monthly,9.08,9.31,2.53,Support
CNU.NZ,Quarterly,9.4062,9.47,0.68,Support
CNU.NZ,Monthly,9.4062,9.47,0.68,Support
IFT.NZ,Weekly,10.87,10.8,0.64,Resistance
ATM.NZ,Daily,10.965,10.9,0.59,Resistance
ATM.NZ,Weekly,10.965,10.9,0.59,Resistance
LYFT,Weekly,12.9775,13.16,1.41,Support
LYFT,Daily,12.9775,13.16,1.41,Support
BYDDY,Weekly,13.632,13.58,0.38,Resistance
BYDDY,Monthly,13.9472,13.58,2.63,Resistance
NU,Weekly,13.905,14.19,2.05,Support
NU,Daily,13.9817,14.19,1.49,Support
SONY,Monthly,20.182,20.57,1.92,Support
SONY,Daily,20.2613,20.57,1.52,Support
SONY,Weekly,20.2613,20.57,1.52,Support
JETS,Weekly,25.1975,24.83,1.46,Resistance
HDB,Monthly,25.6325,25.12,2.0,Resistance
HDB,Quarterly,25.6925,25.12,2.23,Resistance
HDB,Weekly,25.6937,25.12,2.23,Resistance
PFE,Weekly,27.2683,26.96,1.13,Resistance
PFE,Daily,26.92,26.96,0.15,Support
PFE,Monthly,26.7683,26.96,0.72,Support
GLXY.TO,Weekly,27.865,28.26,1.42,Support
KWEB,Weekly,28.439,28.28,0.56,Resistance
NOVA.F,Weekly,30.8125,31.5,2.23,Support
NOVA.F,Monthly,31.0,31.5,1.61,Support
RINF,Daily,32.3212,32.0007,0.99,Resistance
RINF,Monthly,31.2333,32.0007,2.46,Support
ASHR,Monthly,31.2967,32.03,2.34,Support
ASHR,Weekly,32.35,32.03,0.99,Resistance
FXI,Weekly,35.404,35.34,0.18,Resistance
FPH.NZ,Weekly,37.084,36.18,2.44,Resistance
FPH.NZ,Monthly,36.648,36.18,1.28,Resistance
NVO,Weekly,37.265,36.89,1.01,Resistance
INDY,Weekly,41.3533,41.9,1.32,Support
ENZL,Weekly,43.836,42.81,2.34,Resistance
ENZL,Quarterly,43.725,42.81,2.09,Resistance
ENZL,Monthly,43.745,42.81,2.14,Resistance
PYPL,Monthly,43.135,44.21,2.49,Support
INDA,Monthly,47.6433,46.39,2.63,Resistance
INDA,Weekly,47.06,46.39,1.42,Resistance
BAC,Weekly,48.834,48.14,1.42,Resistance
BAC,Quarterly,47.775,48.14,0.76,Support
BAC,Monthly,47.72,48.14,0.88,Support
BAC,Daily,48.475,48.14,0.69,Resistance
BIPC.TO,Weekly,52.132,52.53,0.76,Support
BIPC.TO,Daily,52.132,52.53,0.76,Support
NKE,Weekly,52.3238,53.49,2.23,Support
NKE,Monthly,52.4667,53.49,1.95,Support
IHI,Monthly,53.31,54.1,1.48,Support
IHI,Weekly,55.2897,54.1,2.15,Resistance
IHI,Daily,53.2325,54.1,1.63,Support
EEM,Weekly,56.9267,56.52,0.71,Resistance
EEM,Monthly,57.0584,56.52,0.94,Resistance
MFT.NZ,Weekly,56.5825,57.21,1.11,Support
MFT.NZ,Daily,57.98,57.21,1.33,Resistance
BTI,Weekly,57.3963,57.76,0.63,Support
CVS,Weekly,73.8586,72.8,1.43,Resistance
CVS,Daily,73.33,72.8,0.72,Resistance
HYG,Weekly,80.9292,79.17,2.17,Resistance
HYG,Monthly,80.3525,79.17,1.47,Resistance
HYG,Daily,80.2044,79.17,1.29,Resistance
MX.TO,Monthly,79.08,80.84,2.23,Support
MX.TO,Weekly,80.368,80.84,0.59,Support
TLT,Daily,86.035,86.01,0.03,Resistance
TLT,Quarterly,87.43,86.01,1.62,Resistance
TLT,Weekly,84.4875,86.01,1.8,Support
SBUX,Weekly,93.0033,91.98,1.1,Resistance
SBUX,Daily,91.3633,91.98,0.67,Support
JNK,Quarterly,98.3,95.23,3.12,Resistance
JNK,Daily,93.5714,95.23,1.77,Support
JNK,Monthly,92.9925,95.23,2.41,Support
JNK,Weekly,94.27,95.23,1.02,Support
DIS,Daily,97.04,96.39,0.67,Resistance
DIS,Weekly,96.0975,96.39,0.3,Support
DIS,Monthly,98.0767,96.39,1.72,Resistance
XLY,Weekly,108.9975,109.68,0.63,Support
XLY,Daily,109.5683,109.68,0.1,Support
IEI,Daily,119.5325,118.01,1.27,Resistance
IEI,Quarterly,119.232,118.01,1.02,Resistance
TRI.TO,Monthly,119.3769,120.41,0.87,Support
BABA,Weekly,124.958,125.48,0.42,Support
ABNB,Weekly,130.225,130.0,0.17,Resistance
ABNB,Daily,127.482,130.0,1.98,Support
KXS.TO,Daily,132.27,133.99,1.3,Support
KXS.TO,Weekly,131.9225,133.99,1.57,Support
CNR.TO,Weekly,138.38,139.03,0.47,Support
CNR.TO,Monthly,140.195,139.03,0.83,Resistance
CNR.TO,Daily,138.38,139.03,0.47,Support
PG,Weekly,143.8383,143.16,0.47,Resistance
PG,Monthly,144.185,143.16,0.71,Resistance
TFII.TO,Weekly,147.1925,144.26,1.99,Resistance
TFII.TO,Daily,142.405,144.26,1.3,Support
