Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.6082,0.6061,0.35,Resistance
NZDCAD=X,Weekly,0.8305,0.8215,1.08,Resistance
NZDCAD=X,Daily,0.8348,0.8215,1.59,Resistance
CAD=X,Weekly,1.3845,1.3562,2.05,Support
GBPUSD=X,Daily,1.3631,1.3805,1.28,Resistance
GBPSGD=X,Weekly,1.7483,1.7416,0.39,Resistance
GBPSGD=X,Daily,1.7306,1.7416,0.63,Resistance
GNE.NZ,Daily,2.39,2.41,0.84,Support
GNE.NZ,Weekly,2.3525,2.41,2.44,Support
MEL.NZ,Daily,5.725,5.65,1.31,Resistance
MEL.NZ,Weekly,5.73,5.65,1.4,Resistance
MCY.NZ,Daily,6.2083,6.33,1.96,Support
AIA.NZ,Weekly,8.295,8.22,0.9,Resistance
AIA.NZ,Daily,8.365,8.22,1.73,Support
CEN.NZ,Daily,9.365,9.29,0.8,Resistance
CNU.NZ,Weekly,9.3875,9.56,1.84,Resistance
IFT.NZ,Daily,10.78,10.97,1.76,Support
SUM.NZ,Daily,11.5825,11.49,0.8,Support
BYDDY,Daily,13.2442,13.01,1.77,Resistance
INFY,Daily,17.818,17.93,0.63,Support
DBC,Daily,25.1467,24.94,0.82,Resistance
DBC,Weekly,24.8925,24.94,0.19,Resistance
PFE,Daily,25.8825,25.86,0.09,Resistance
PFE,Weekly,26.4516,25.86,2.24,Resistance
HDB,Daily,31.83,32.31,1.51,Support
RINF,Daily,32.3671,32.481,0.35,Resistance
ASHR,Daily,34.08,33.66,1.23,Support
KWEB,Weekly,36.11,36.09,0.06,Support
FPH.NZ,Daily,39.407,38.68,1.84,Support
MTY.TO,Daily,42.77,42.19,1.36,Resistance
INDY,Daily,46.432,46.78,0.75,Support
INDY,Weekly,46.71,46.78,0.15,Support
ENZL,Daily,47.5017,47.11,0.82,Resistance
XLE,Weekly,49.735,50.05,0.63,Resistance
XLE,Daily,49.2225,50.05,1.68,Resistance
NOVA.F,Daily,49.75,50.6,1.71,Resistance
INDA,Daily,51.335,51.49,0.3,Support
IHI,Daily,59.115,60.06,1.6,Support
BTI,Weekly,60.8175,60.16,1.08,Resistance
BTI,Daily,59.135,60.16,1.73,Resistance
BIPC.TO,Daily,63.1517,62.95,0.32,Resistance
ATD.TO,Daily,72.2367,71.57,0.92,Support
CVS,Daily,73.33,74.03,0.95,Support
HYG,Daily,79.5127,81.04,1.92,Support
JNK,Weekly,96.515,97.75,1.28,Resistance
JNK,Daily,96.8482,97.75,0.93,Resistance
UPS,Weekly,101.785,103.7,1.88,Resistance
IEI,Weekly,119.345,119.14,0.17,Support
IEI,Daily,119.6471,119.14,0.42,Support
XLY,Daily,121.1117,121.77,0.54,Support
PG,Daily,150.27,147.34,1.95,Resistance
JPY=X,Daily,151.585,153.417,1.21,Support
TRI.TO,Daily,157.3001,158.91,1.02,Support
TRI.TO,Weekly,162.8238,158.91,2.4,Support
BYD.TO,Daily,221.66,223.0,0.6,Support
WIPRO.NS,Daily,237.845,237.35,0.21,Support
AMZN,Daily,239.3,243.01,1.55,Resistance
BRK-B,Daily,473.386,473.49,0.02,Support
MA,Daily,526.015,521.37,0.88,Support
HDFCBANK.NS,Daily,939.55,932.7,0.73,Resistance
RELIANCE.NS,Daily,1423.075,1396.7,1.85,Support
^NZ50,Weekly,13418.2035,13499.0996,0.6,Resistance
