Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Quarterly,0.5854,0.5802,0.89,Resistance
NZDUSD=X,Monthly,0.5854,0.5802,0.89,Resistance
NZDUSD=X,Daily,0.5837,0.5802,0.6,Resistance
NZDUSD=X,Weekly,0.5829,0.5802,0.46,Resistance
USDCHF=X,Weekly,0.7933,0.7848,1.07,Resistance
USDCHF=X,Daily,0.798,0.7848,1.66,Resistance
NZDCAD=X,Daily,0.8068,0.8016,0.65,Resistance
EURUSD=X,Daily,1.1455,1.1471,0.14,Support
GBPUSD=X,Quarterly,1.3404,1.3269,1.01,Resistance
GBPUSD=X,Weekly,1.3303,1.3269,0.26,Resistance
CAD=X,Daily,1.3888,1.369,1.43,Resistance
CAD=X,Quarterly,1.3845,1.369,1.12,Resistance
CAD=X,Monthly,1.3912,1.369,1.59,Resistance
CAD=X,Weekly,1.3924,1.369,1.68,Resistance
GBPSGD=X,Monthly,1.7403,1.7039,2.09,Resistance
GBPSGD=X,Weekly,1.7474,1.7039,2.49,Resistance
GBPSGD=X,Daily,1.6858,1.7039,1.07,Support
TWR.NZ,Monthly,1.9427,1.895,2.45,Resistance
GNE.NZ,Monthly,2.1975,2.22,1.02,Support
GNE.NZ,Weekly,2.195,2.22,1.14,Support
GNE.NZ,Quarterly,2.245,2.22,1.11,Resistance
FBU.NZ,Daily,3.32,3.36,1.2,Support
FBU.NZ,Weekly,3.424,3.36,1.87,Resistance
^TNX,Daily,4.3327,4.259,1.7,Resistance
^TNX,Weekly,4.322,4.259,1.46,Resistance
MEL.NZ,Daily,5.725,5.63,1.66,Resistance
MEL.NZ,Weekly,5.75,5.63,2.09,Resistance
MEL.NZ,Monthly,5.6667,5.63,0.65,Resistance
C6L.SI,Daily,6.75,6.69,0.89,Resistance
C6L.SI,Quarterly,6.6554,6.69,0.52,Support
FSF.NZ,Weekly,8.245,8.24,0.06,Resistance
FSF.NZ,Monthly,8.245,8.24,0.06,Resistance
AIA.NZ,Monthly,8.295,8.42,1.51,Support
AIA.NZ,Weekly,8.2967,8.42,1.49,Support
AIA.NZ,Daily,8.365,8.42,0.66,Support
CEN.NZ,Quarterly,9.083,9.35,2.94,Support
CEN.NZ,Daily,9.4367,9.35,0.92,Resistance
CNU.NZ,Quarterly,9.4062,9.43,0.25,Support
CNU.NZ,Monthly,9.4062,9.43,0.25,Support
IFT.NZ,Weekly,10.87,11.07,1.84,Support
FRW.NZ,Weekly,13.02,13.29,2.07,Support
NU,Weekly,13.905,13.97,0.47,Support
NU,Daily,13.9817,13.97,0.08,Resistance
SONY,Daily,20.2613,20.38,0.59,Support
SONY,Weekly,20.2613,20.38,0.59,Support
SONY,Monthly,20.182,20.38,0.98,Support
JETS,Weekly,25.1975,24.59,2.41,Resistance
^VIX,Weekly,24.885,25.09,0.82,Support
PFE,Weekly,27.184,27.32,0.5,Support
PFE,Monthly,26.7683,27.32,2.06,Support
PFE,Daily,27.204,27.32,0.43,Support
JD,Daily,28.38,28.2,0.63,Resistance
JD,Weekly,28.7225,28.2,1.82,Resistance
DBC,Weekly,30.016,29.27,2.49,Resistance
EFN.TO,Daily,30.265,30.65,1.27,Support
RINF,Daily,32.3212,32.3103,0.03,Resistance
ASHR,Weekly,32.35,33.14,2.44,Support
ASHR,Quarterly,33.8,33.14,1.95,Resistance
FXI,Weekly,35.404,36.2,2.25,Support
NVO,Weekly,37.265,37.45,0.5,Support
FPH.NZ,Daily,39.407,38.69,1.82,Resistance
FPH.NZ,Weekly,39.407,38.69,1.82,Resistance
FPH.NZ,Quarterly,38.695,38.69,0.01,Resistance
MTY.TO,Weekly,40.175,39.45,1.8,Resistance
ENZL,Monthly,43.745,44.265,1.19,Support
ENZL,Weekly,43.836,44.265,0.98,Support
ENZL,Quarterly,43.725,44.265,1.23,Support
ENZL,Daily,43.9783,44.265,0.65,Support
BAC,Monthly,47.72,46.83,1.87,Resistance
BAC,Quarterly,47.775,46.83,1.98,Resistance
INDA,Quarterly,49.225,47.72,3.06,Resistance
INDA,Monthly,47.6433,47.72,0.16,Support
INDA,Weekly,47.06,47.72,1.4,Support
NKE,Monthly,52.4667,53.47,1.91,Support
NKE,Weekly,52.3238,53.47,2.19,Support
IHI,Weekly,55.2897,55.14,0.27,Resistance
IHI,Daily,55.65,55.14,0.92,Resistance
EEM,Weekly,56.9267,57.56,1.11,Support
EEM,Monthly,57.0584,57.56,0.88,Support
BTI,Weekly,57.3963,58.09,1.21,Support
BTI,Daily,59.135,58.09,1.77,Resistance
MX.TO,Weekly,74.4533,72.62,2.46,Resistance
MX.TO,Daily,74.0367,72.62,1.91,Resistance
MX.TO,Monthly,74.4533,72.62,2.46,Resistance
CVS,Weekly,73.8586,73.02,1.14,Resistance
CVS,Daily,73.33,73.02,0.42,Resistance
UBER,Weekly,76.855,76.66,0.25,Resistance
HYG,Weekly,80.9292,79.4,1.89,Resistance
HYG,Daily,79.6567,79.4,0.32,Resistance
HYG,Monthly,80.3525,79.4,1.19,Resistance
TLT,Quarterly,87.43,86.955,0.54,Resistance
TLT,Weekly,84.876,86.955,2.45,Support
TLT,Daily,86.035,86.955,1.07,Support
SBUX,Daily,91.3633,92.66,1.42,Support
SBUX,Weekly,93.0033,92.66,0.37,Resistance
SJ.TO,Weekly,96.37,94.16,2.29,Resistance
JNK,Quarterly,98.3,95.58,2.77,Resistance
JNK,Monthly,97.6225,95.58,2.09,Resistance
JNK,Weekly,94.27,95.58,1.39,Support
JNK,Daily,96.9467,95.58,1.41,Resistance
DIS,Weekly,101.12,99.42,1.68,Resistance
DIS,Monthly,98.0767,99.42,1.37,Support
XLY,Weekly,108.9975,110.57,1.44,Support
XLY,Quarterly,113.835,110.57,2.87,Resistance
XLY,Daily,109.5683,110.57,0.91,Support
IEI,Quarterly,119.232,118.75,0.4,Resistance
IEI,Daily,118.893,118.75,0.12,Resistance
ABNB,Weekly,130.225,131.13,0.69,Support
KXS.TO,Daily,133.84,136.38,1.9,Support
CNR.TO,Daily,138.38,137.75,0.46,Resistance
CNR.TO,Monthly,140.195,137.75,1.74,Resistance
CNR.TO,Weekly,138.38,137.75,0.46,Resistance
TFII.TO,Weekly,138.708,138.17,0.39,Resistance
TFII.TO,Daily,137.2133,138.17,0.7,Support
PG,Monthly,144.185,146.71,1.75,Support
PG,Weekly,143.8383,146.71,2.0,Support
XLV,Weekly,149.295,147.14,1.44,Resistance
XLV,Daily,149.295,147.14,1.44,Resistance
XLV,Monthly,143.86,147.14,2.28,Support
ORCL,Weekly,149.505,152.9,2.27,Support
JPY=X,Monthly,156.1598,158.889,1.75,Support
JPY=X,Weekly,159.617,158.889,0.46,Resistance
JPY=X,Daily,159.617,158.889,0.46,Resistance
LULU,Monthly,162.02,165.39,2.08,Support
LULU,Weekly,161.64,165.39,2.32,Support
BYD.TO,Monthly,192.548,192.84,0.15,Support
BYD.TO,Weekly,196.2525,192.84,1.74,Resistance
BYD.TO,Daily,190.7867,192.84,1.08,Support
WIPRO.NS,Monthly,190.4575,194.3,2.02,Support
WIPRO.NS,Weekly,189.645,194.3,2.45,Support
IWM,Weekly,247.4033,246.02,0.56,Resistance
IWM,Quarterly,241.3233,246.02,1.95,Support
JPM,Weekly,285.395,287.74,0.82,Support
BPCL.NS,Daily,303.05,303.7,0.21,Support
MCD,Weekly,321.36,315.73,1.75,Resistance
MCD,Monthly,322.11,315.73,1.98,Resistance
MCD,Daily,321.444,315.73,1.78,Resistance
MSFT,Daily,385.97,391.79,1.51,Support
MSFT,Weekly,386.805,391.79,1.29,Support
BRK-B,Weekly,488.245,484.47,0.77,Resistance
BRK-B,Daily,488.245,484.47,0.77,Resistance
MA,Monthly,477.795,488.47,2.23,Support
MA,Weekly,494.96,488.47,1.31,Resistance
MA,Daily,494.96,488.47,1.31,Resistance
VGT,Weekly,704.335,719.85,2.2,Support
HDFCBANK.NS,Weekly,860.535,843.05,2.03,Resistance
HDFCBANK.NS,Quarterly,853.9167,843.05,1.27,Resistance
RELIANCE.NS,Daily,1423.075,1408.1,1.05,Resistance
ETH-USD,Monthly,2144.0975,2206.0764,2.89,Support
^NZ50,Quarterly,13041.9167,13183.9697,1.09,Support
^NZ50,Weekly,13110.8441,13183.9697,0.56,Support
^NZ50,Monthly,13418.2035,13183.9697,1.75,Resistance
^NZ50,Daily,13075.415,13183.9697,0.83,Support
BTC-USD,Quarterly,71269.8477,71312.6875,0.06,Support
BTC-USD,Monthly,70459.8682,71312.6875,1.21,Support
