Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"PFE, Long, 2025-07-13 (Price: 25.65)",2026-03-02 (Price: 27.26),"6.28%, 7.7 months","73.08%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-07-11",Already confirmed,"2026-03-02 (Price: 27.26), 6.28% above",7.7 months,25.36,No Information,No Information,No Information,No Information,No Information,7.41% above/6.4% above/6.28% above,20.77%/1.93%/8.41%,"41.05%, 50.99%",1.2 year/28 days/5.3 months,2027-03-30/2025-08-22/2026-02-28,2.79%,1.76%,1.03%,0.12,0.02,27.1633/27.8072/34.48/55.39/66.4672/73.1352/No EMA 200 Target,21.91/25.244/21.508/20.5265/No F-Track Level/No F-Track Level/No support,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-02-01 (Price: 181364.0)",2026-03-02 (Price: 189307.0156),"4.38%, 29 days","100.0%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-03-02 (Price: 189307.0156), 4.38% above",29 days,178859.0,No Information,No Information,No Information,No Information,No Information,5.84% above/4.06% above/4.38% above,13.39%/0.93%/6.58%,"-0.0%, 43.39%",1.1 year/28 days/3 months,2027-08-28/2026-03-13/2026-06-11,7.67%,4.7%,2.97%,2.18,0.22,192626.7044/193297.7512/257195.6/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"ASML, Long, 2026-01-18 (Price: 1358.5699)",2026-03-02 (Price: 1423.54),"4.78%, 1.4 month","90.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-03-02 (Price: 1423.54), 4.78% above",1.4 month,1256.0601,No Information,No Information,No Information,No Information,No Information,4.78% above/6.9% above/4.78% above,26.23%/2.69%/11.69%,"25.72%, 56.36%",8.9 months/1.2 month/3.2 months,2027-02-08/2026-03-11/2026-06-06,11.19%,15.92%,-4.73%,0.6,0.77,1493.6117/1517.3867/2118.07/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,689.82/576.784/1034.6774/832.8601/No F-Track Level/No F-Track Level/873.67,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"ACWX, Long, 2025-09-30 (Price: 65.01)",2026-03-02 (Price: 73.18),"12.57%, 5.1 months","90.91%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-02 (Price: 73.18), 12.57% above",5.1 months,62.0,No Information,No Information,No Information,No Information,No Information,12.57% above/13.65% above/12.57% above,15.1%/1.97%/7.67%,"10.07%, 26.55%",3.3 years/4.1 months/1.5 year,2030-06-16/2026-03-25/2027-11-21,1.48%,1.08%,0.4%,0.36,-0.07,70.7049/69.9963/78.29/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/No F-Track Level/No F-Track Level/58.09,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"XLY, Long, 2024-12-31 (Price: 112.175)",2026-03-02 (Price: 115.42),"2.89%, 1.2 year","88.24%, Past 20 years, 17","Monthly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-03-02 (Price: 115.42), 2.89% above",1.2 year,111.935,No Information,No Information,No Information,No Information,No Information,3.84% above/2.89% above/2.89% above,32.13%/5.99%/17.06%,"17.44%, 51.92%",1.5 year/5.1 months/10.1 months,2027-02-21/2025-08-09/2026-03-14,4.53%,6.26%,-1.73%,0.81,0.34,131.6149/131.3121/169.9/No Horizontal Resistance/125.4815/133.9156/No EMA 200 Target,64.58/67.241/86.1124/56.5683/No F-Track Level/No F-Track Level/96.23,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"XLV, Long, 2024-02-29 (Price: 144.82)",2026-03-02 (Price: 158.53),"9.47%, 2 years","85.71%, Past 20 years, 21","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2026-03-02 (Price: 158.53), 9.47% above",2 years,140.55,No Information,No Information,No Information,No Information,No Information,16.24% above/11.48% above/9.47% above,17.42%/2.58%/8.44%,"5.59%, 36.99%",2.7 years/5.1 months/11.3 months,2028-01-06/2024-10-07/2025-07-04,3.88%,4.86%,-0.98%,0.77,0.25,157.8248/157.0428/146.52/No Horizontal Resistance/153.114/174.1807/No EMA 200 Target,124.54/86.68/117.2225/81.225/No F-Track Level/No F-Track Level/133.48,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"GDX, Long, 2025-09-30 (Price: 76.4)",2026-03-02 (Price: 115.34),"50.97%, 5.1 months","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-02 (Price: 115.34), 50.97% above",5.1 months,64.39,No Information,No Information,No Information,No Information,No Information,82.59% above/54.45% above/50.97% above,64.32%/20.13%/42.14%,"-0.0%, 37.94%",1.5 year/6.1 months/10.4 months,2027-11-21/2026-06-22/2026-12-25,8.21%,3.31%,4.9%,1.9,0.2,96.6842/108.595/96.69/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.91/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.26,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"JETS, Long, 2024-11-30 (Price: 24.55)",2026-03-02 (Price: 27.7),"12.83%, 1.3 year","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2024-11-30",Already confirmed,"2026-03-02 (Price: 27.7), 12.83% above",1.3 year,22.81,No Information,No Information,No Information,No Information,No Information,21.81% above/12.83% above/12.83% above,22.2%/22.2%/22.2%,"3.13%, 30.25%",6.1 months/6.1 months/6.1 months,2025-08-22 (Max),11.2%,1.51%,9.69%,0.43,0.08,23.9142/30.0001/29.24/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,18.7/11.26/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/20.31,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"MAR, Long, 2025-12-28 (Price: 315.58)",2026-03-02 (Price: 330.47),"4.72%, 2.1 months","85.71%, Past 10 years, 28","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-03-02 (Price: 330.47), 4.72% above",2.1 months,310.74,No Information,No Information,No Information,No Information,No Information,6.55% above/4.72% above/4.72% above,16.53%/2.51%/8.59%,"12.52%, 61.32%",11.4 months/28 days/4.1 months,2027-05-07/2026-02-06/2026-06-22,11.35%,10.48%,0.87%,0.65,0.53,361.8756/342.6883/460.59/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/266.17,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2025-10-31 (Price: 91.99)",2026-03-02 (Price: 103.37),"12.37%, 4.1 months","85.71%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-02 (Price: 103.37), 12.37% above",4.1 months,90.0,No Information,No Information,No Information,No Information,No Information,20.52% above/12.53% above/12.37% above,24.83%/4.28%/13.78%,"30.99%, 38.87%",1.1 year/6 months/10.2 months,2027-05-27/2026-07-18/2027-01-17,1.92%,4.47%,-2.55%,0.3,0.2,97.7578/104.6662/93.8/No Horizontal Resistance/92.969/100.7509/No EMA 200 Target,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level/76.35,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
