Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Monthly,0.5498,0.5657,2.89,Support
NZDCAD=X,Weekly,0.791,0.7926,0.2,Support
NZDCAD=X,Daily,0.7945,0.7926,0.24,Resistance
USDCHF=X,Daily,0.7933,0.7969,0.46,Support
EURUSD=X,Daily,1.1628,1.1602,0.22,Resistance
EURUSD=X,Weekly,1.1452,1.1602,1.31,Support
GBPUSD=X,Daily,1.2963,1.3155,1.48,Support
GBPUSD=X,Weekly,1.3358,1.3155,1.52,Resistance
CAD=X,Daily,1.3828,1.4017,1.37,Support
CAD=X,Weekly,1.3845,1.4017,1.24,Support
GBPSGD=X,Monthly,1.6701,1.7115,2.48,Support
GBPSGD=X,Weekly,1.7483,1.7115,2.11,Resistance
GBPSGD=X,Daily,1.6846,1.7115,1.6,Support
GNE.NZ,Daily,2.495,2.5,0.2,Support
FBU.NZ,Daily,3.32,3.38,1.81,Support
^TNX,Daily,4.1085,4.092,0.4,Resistance
MEL.NZ,Daily,5.725,5.79,1.14,Support
MEL.NZ,Weekly,5.73,5.79,1.05,Support
C6L.SI,Monthly,6.5913,6.48,1.69,Resistance
C6L.SI,Daily,6.53,6.48,0.77,Resistance
CNU.NZ,Weekly,9.3875,9.3,0.93,Resistance
CNU.NZ,Daily,9.22,9.3,0.87,Support
CEN.NZ,Daily,9.4367,9.47,0.35,Support
DBC,Daily,22.7475,22.915,0.74,Support
JETS,Daily,23.6,23.95,1.48,Support
PFE,Daily,25.65,25.365,1.11,Resistance
RINF,Daily,32.38,32.5049,0.39,Support
MTY.TO,Weekly,37.07,37.07,0.0,Support
MTY.TO,Daily,37.115,37.07,0.12,Resistance
FXI,Daily,39.255,39.265,0.03,Support
ENZL,Weekly,43.725,44.35,1.43,Support
ENZL,Daily,44.04,44.35,0.7,Support
CNQ.TO,Daily,46.105,46.69,1.27,Support
MX.TO,Weekly,49.09,49.45,0.73,Support
MX.TO,Daily,49.41,49.45,0.08,Support
XLF,Daily,52.13,51.215,1.76,Resistance
INDA,Daily,55.3633,54.455,1.64,Resistance
MSE.PA,Daily,60.685,61.56,1.44,Support
IHI,Daily,62.445,61.78,1.06,Resistance
BIPC.TO,Daily,63.1517,62.97,0.29,Resistance
MFT.NZ,Daily,66.0371,67.35,1.99,Support
USO,Daily,71.282,71.03,0.35,Resistance
HYG,Weekly,78.975,80.045,1.35,Support
HYG,Daily,80.075,80.045,0.04,Resistance
JNK,Weekly,96.515,96.385,0.13,Resistance
JNK,Daily,96.901,96.385,0.53,Resistance
DIS,Daily,107.6125,106.97,0.6,Resistance
IEI,Weekly,119.345,119.76,0.35,Support
IEI,Daily,118.72,119.76,0.88,Support
XLV,Daily,149.295,152.01,1.82,Support
KXS.TO,Daily,172.025,170.13,1.1,Resistance
DOL.TO,Daily,197.56,197.37,0.1,Resistance
BYD.TO,Daily,214.205,214.41,0.1,Support
IWM,Daily,229.665,231.45,0.78,Support
WIPRO.NS,Daily,237.845,240.9,1.28,Support
MCD,Weekly,300.87,307.0,2.04,Support
HDFCBANK.NS,Daily,1004.15,992.45,1.17,Resistance
RELIANCE.NS,Daily,1531.725,1519.4,0.8,Resistance
TCS.NS,Daily,3129.79,3087.1001,1.36,Resistance
^NZ50,Weekly,13418.2035,13342.8203,0.56,Resistance
^NSEI,Daily,25973.3496,25910.0508,0.24,Resistance
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60822.0,1.06,Support
