Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Monthly,0.5498,0.5654,2.84,Support
NZDCAD=X,Weekly,0.791,0.7916,0.08,Support
NZDCAD=X,Daily,0.7945,0.7916,0.37,Resistance
USDCHF=X,Daily,0.7933,0.8002,0.87,Support
EURUSD=X,Daily,1.1686,1.1586,0.86,Resistance
EURUSD=X,Weekly,1.1452,1.1586,1.17,Support
GBPUSD=X,Daily,1.2963,1.3153,1.46,Support
GBPUSD=X,Weekly,1.3359,1.3153,1.54,Resistance
CAD=X,Daily,1.3828,1.4014,1.34,Support
CAD=X,Weekly,1.3845,1.4014,1.22,Support
GBPSGD=X,Monthly,1.6701,1.7108,2.44,Support
GBPSGD=X,Weekly,1.7483,1.7108,2.15,Resistance
GBPSGD=X,Daily,1.7306,1.7108,1.15,Resistance
GNE.NZ,Daily,2.495,2.47,1.0,Resistance
FBU.NZ,Daily,3.49,3.52,0.86,Support
^TNX,Daily,4.1085,4.12,0.28,Support
C6L.SI,Monthly,6.5913,6.66,1.04,Support
C6L.SI,Daily,6.53,6.66,1.99,Support
C6L.SI,Weekly,6.6638,6.66,0.06,Resistance
AIA.NZ,Daily,7.965,8.01,0.56,Support
CNU.NZ,Weekly,9.3875,9.48,0.99,Support
CEN.NZ,Daily,9.4367,9.52,0.88,Support
NU,Daily,16.285,16.39,0.64,Support
DBC,Daily,23.074,23.3,0.98,Support
PFE,Daily,25.8825,25.51,1.44,Resistance
RINF,Daily,32.38,32.51,0.4,Support
FPH.NZ,Daily,37.54,38.1,1.49,Support
CNQ.TO,Daily,46.105,45.38,1.57,Resistance
RHHBY,Daily,44.785,45.51,1.62,Support
MX.TO,Daily,52.9,52.98,0.15,Support
INDA,Daily,55.3633,54.74,1.13,Resistance
IHI,Daily,62.445,62.56,0.18,Support
BIPC.TO,Daily,63.1517,63.54,0.61,Support
PYPL,Daily,66.986,67.4,0.62,Support
HYG,Daily,80.0929,80.69,0.75,Support
HYG,Weekly,78.975,80.69,2.17,Support
SJ.TO,Daily,84.3925,83.78,0.73,Resistance
JNK,Weekly,96.515,97.26,0.77,Support
JNK,Daily,96.9656,97.26,0.3,Support
WMT,Daily,105.01,103.44,1.5,Resistance
IEI,Weekly,119.345,119.72,0.31,Support
IEI,Daily,118.72,119.72,0.84,Support
GILD,Daily,120.895,122.56,1.38,Support
PG,Daily,150.27,148.54,1.15,Resistance
XLV,Daily,149.295,150.68,0.93,Support
JPY=X,Daily,151.585,154.107,1.66,Support
KXS.TO,Daily,172.025,174.96,1.71,Support
BYD.TO,Daily,214.205,211.77,1.14,Resistance
XLY,Daily,241.84,239.55,0.95,Resistance
WIPRO.NS,Daily,237.845,241.69,1.62,Support
IWM,Weekly,244.72,244.24,0.2,Resistance
MCD,Weekly,300.87,306.83,1.98,Support
BRK-B,Daily,488.245,497.07,1.81,Support
HDFCBANK.NS,Daily,1004.15,991.7,1.24,Resistance
TCS.NS,Daily,3063.15,3047.0,0.53,Resistance
^NZ50,Weekly,13418.2035,13569.0195,1.12,Support
^NSEI,Daily,25973.3496,25694.9492,1.07,Resistance
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60427.0,0.41,Support
