"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Sigmashell, Success Rate of Past Analysis [%]",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"^NSEI, Long, 2026-04-02 (Price: 22713.0996)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 7","Daily, is CONFIRMED on 2026-04-02",Already confirmed,"2026-04-02 (Price: 22713.0996), 0.0% below",0 days,"-8.4, 100.0%",13.87%/0.05%/4.83%,"1.98%, 16.47%",8.9 months/1.7 month/4.3 months,2027-04-23/2026-06-14/2026-10-05,6.86%,6.23%,0.63%,0.0,0.35,23051.5248/23810.1423/No Target/26106.6328/No Next Fib Ext/No Next Fib Ext/25207.26,22331.4/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),22383.4004
"MFT.NZ, Long, 2026-04-02 (Price: 58.99)",No Exit Yet,"0.0%, 0 days","70.59%, Past 5 years, 17","Daily, is CONFIRMED on 2026-04-02",Already confirmed,"2026-04-02 (Price: 58.99), 0.0% below",0 days,"-4.79, 90.91%",22.45%/0.83%/8.51%,"11.61%, 28.63%",7.7 months/1.4 month/4.4 months,2027-03-02/2026-06-01/2026-10-10,8.52%,9.44%,-0.92%,0.0,0.51,60.2996/64.01/105.252/85.45/105.252/119.9356/63.91,57.21/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),58.63
"BBTC.NS, Long, 2026-04-02 (Price: 1410.7)",No Exit Yet,"0.0%, 0 days","87.5%, Past 5 years, 8","Daily, is CONFIRMED on 2026-04-02",Already confirmed,"2026-04-02 (Price: 1410.7), 0.0% below",0 days,"-6.11, 72.22%",49.05%/0.11%/13.94%,"12.49%, 27.11%",5.7 months/1.7 month/3.1 months,2026-12-05/2026-06-14/2026-08-14,21.17%,15.53%,5.64%,0.0,0.7,1543.0237/1607.3516/3412.111/2145.0/3412.111/3761.7441/1837.2,1322.0/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),1381.1
"NZDUSD=X, Long, 2026-04-01 (Price: 0.5755)",No Exit Yet,"-1.06%, 2 days","72.22%, Past 5 years, 18","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-03 (Price: 0.5694), 1.06% below",2 days,"-10.49, 87.5%",13.24%/0.27%/4.34%,"4.2%, 15.06%",9.6 months/1.9 month/4 months,2027-05-23/2026-06-22/2026-09-21,6.79%,-0.42%,7.21%,0.0,-0.35,0.5848/0.6005/No Target/0.7234/No Next Fib Ext/No Next Fib Ext/0.59,0.57/0.5528/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),0.5753
"SFTBY, Long, 2026-04-01 (Price: 11.93)",No Exit Yet,"-3.69%, 1 day","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-02 (Price: 11.49), 3.69% below",1 day,"-12.32, 60.72%",143.85%/0.42%/34.28%,"25.78%, 45.23%",5.8 months/2.6 months/3.9 months,2026-12-09/2026-07-22/2026-09-17,20.68%,9.73%,10.95%,0.0,0.48,12.2044/16.0196/23.8631/No Horizontal Resistance/23.8631/28.8451/13.62,10.91/4.205/10.0807/8.1314/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),12.09
"FXI, Long, 2026-04-01 (Price: 35.56)",No Exit Yet,"0.0%, 1 day","70.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-02 (Price: 35.56), 0.0% below",1 day,"-6.98, 60.87%",31.2%/0.18%/14.45%,"12.76%, 36.5%",1.6 year/1.7 month/4.2 months,2028-07-13/2026-06-13/2026-09-30,23.86%,2.29%,21.57%,0.0,0.14,36.6908/40.6984/90.5742/42.105/90.5742/95.3274/38.67,34.85/20.865/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),35.6
"^GSPC, Long, 2026-04-01 (Price: 6575.3198)",No Exit Yet,"0.11%, 1 day","87.5%, Past 5 years, 8","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-02 (Price: 6582.6899), 0.11% above",1 day,"-5.56, 91.67%",13.54%/1.76%/8.27%,"1.43%, 16.91%",4.7 months/1.8 month/2.8 months,2026-10-22/2026-06-18/2026-07-31,18.16%,4.29%,13.87%,0.0,0.19,6657.5113/7119.0987/9765.5661/6961.3098/9765.5661/10911.139/6644.6,6343.72/4106.4632/6316.2337/5433.2046/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),6556.5601
"XLY, Long, 2026-04-01 (Price: 109.8)",No Exit Yet,"-1.5%, 1 day","90.91%, Past 5 years, 11","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-02 (Price: 108.15), 1.5% below",1 day,"-5.2, 75.0%",14.32%/1.37%/8.75%,"0.63%, 20.66%",4.2 months/2.1 months/3.2 months,2026-09-30/2026-07-01/2026-08-18,18.21%,5.65%,12.56%,0.0,0.29,No Target/119.4075/125.4815/122.0862/125.4815/133.9156/116.11,105.66/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),109.69
"ASML, Long, 2026-04-01 (Price: 1359.76)",No Exit Yet,"-3.13%, 1 day","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-02 (Price: 1317.23), 3.13% below",1 day,"-3.33, 81.94%",37.94%/14.89%/24.66%,"15.27%, 36.91%",7.6 months/1.8 month/3.2 months,2027-02-25/2026-06-18/2026-08-18,51.58%,14.91%,36.67%,0.0,0.68,1477.6512/1695.0768/1508.8624/No Horizontal Resistance/1508.8624/1630.5302/No EMA 200 Target,1253.96/576.784/1338.7292/1224.19/No F-Track Level/No F-Track Level/1052.11,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),1345.79
"IWM, Long, 2026-04-01 (Price: 249.56)",No Exit Yet,"0.69%, 1 day","75.0%, Past 5 years, 8","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-02 (Price: 251.29), 0.69% above",1 day,"-3.98, 93.18%",18.76%/3.02%/10.81%,"2.67%, 16.3%",4.6 months/1.6 month/2.8 months,2026-10-17/2026-06-09/2026-07-31,16.55%,4.67%,11.88%,0.0,0.23,254.0022/276.5374/267.7701/No Horizontal Resistance/267.7701/348.4025/No EMA 200 Target,239.61/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/242.84,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets),249.92
