"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"RY.TO, Long, 2026-03-16 (Price: 224.21)",No Exit Yet,"0.3%, 1 day","80.0%, Past 6 years, 15","Daily, is Confirmed on 2026-03-16",No Cancellation Possible,"2026-03-17 (Price: 224.89), 0.3% above",1 day,2026-03-06 (Price: 220.33)/2026-03-09 (Price: 218.25),18 days/1 day/7 days,16.11%/5.13%/8.32%,"10.73%, 13.72%",7.3 months/2 days/2.7 months,2027-01-27/2026-03-18/2026-07-11,13.98%,9.01%,4.97%,0.53,0.54,235.555/242.8643/235.42/No Horizontal Resistance/339.4883/371.0652/No EMA 200 Target,No Recent Minima/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/206.63,97.73%/44/29 days (Across ALL Assets),81.08%/407/27 days (Across ALL Assets),222.62
"IBIT, Long, 2026-02-06 (Price: 39.68)",2026-03-12 (Price: 39.95),"0.68%, 1.1 month","83.33%, Past 2 years, 6","Daily, is Confirmed on 2026-02-06",No Cancellation Possible,"2026-03-17 (Price: 42.27), 6.53% above",1.3 month,2026-02-02 (Price: 43.975)/2026-02-04 (Price: 40.8),7 days/1 day/4 days,8.18%/7.68%/7.94%,"13.32%, 14.42%",1.3 month/15 days/29 days,2026-04-03/2026-02-27/2026-03-20,22.32%,27.39%,-5.07%,0.37,1.11,41.3267/42.8306/41.66/70.855/88.2877/109.8161/56.56,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,97.73%/44/29 days (Across ALL Assets),81.08%/407/27 days (Across ALL Assets),38.05
"WPM.TO, Short, 2026-03-06 (Price: 199.72)",2026-03-13 (Price: 192.13),"3.8%, 7 days","100.0%, Past 6 years, 5","Daily, is Confirmed on 2026-03-06",No Cancellation Possible,"2026-03-17 (Price: 188.02), 5.86% below",11 days,2026-02-24 (Price: 216.89)/2026-03-02 (Price: 226.68),4 days/1 day/2 days,10.69%/5.67%/7.85%,"0.0%, 10.96%",1.2 month/2 days/16 days,2026-04-27/2026-03-08/2026-03-29,11.21%,5.2%,6.01%,1.42,0.84,188.316/184.042/186.18/52.782/174.4202/158.548/153.51,No Recent Maxima/No Horizontal Resistance/235.0118/253.398/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,61.11%/18/1.2 month (Across ALL Assets),70.97%/124/1.3 month (Across ALL Assets),196.83
