"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"IBIT, Long, 2026-02-06 (Price: 39.68)",2026-03-12 (Price: 39.95),"0.68%, 1.1 month","83.33%, Past 2 years, 6","Daily, is Confirmed on 2026-02-06",No Cancellation Possible,"2026-03-12 (Price: 39.95), 0.68% above",1.1 month,2026-02-02 (Price: 43.975)/2026-02-04 (Price: 40.8),7 days/1 day/4 days,8.18%/7.68%/7.94%,"13.32%, 14.42%",1.3 month/15 days/29 days,2026-04-03/2026-02-27/2026-03-20,22.32%,27.39%,-5.07%,0.37,1.11,41.3267/42.8306/41.66/70.855/88.2877/109.8161/56.86,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,97.67%/43/29 days (Across ALL Assets),80.68%/409/26 days (Across ALL Assets),38.05
"NFLX, Short, 2026-03-10 (Price: 96.94)",2026-03-11 (Price: 94.89),"2.11%, 1 day","100.0%, Past 6 years, 8","Daily, is Confirmed on 2026-03-10",No Cancellation Possible,"2026-03-12 (Price: 94.31), 2.71% below",2 days,2026-03-03 (Price: 98.46)/2026-03-05 (Price: 100.19),19 days/1 day/6 days,10.27%/4.0%/7.31%,"0.0%, 12.75%",1.5 month/3 days/20 days,2026-05-14/2026-03-14/2026-04-07,19.76%,5.2%,14.56%,2.95,0.68,86.994/89.8537/88.42/34.8663/86.4764/77.567/No EMA 200 Target,No Recent Maxima/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,61.11%/18/1.2 month (Across ALL Assets),71.2%/125/1.3 month (Across ALL Assets),97.805
