Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"TRI.TO, Long, 2025-12-28 (Price: 181.76)",Weekly,No Exit Yet,No Price Target,2026-03-07 (Min),21.7%/33.55%,"-16.68%, 2.3 months","2026-03-08 (Price: 151.44), 16.68% below",215.6764 (Historic Rise or Fall to Pivot)/202.2444 (Avg % Gain of Historic Winning trades)/263.5 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/214.26 (EMA 200)/213.4771 (Backtested Max)/184.3046 (Backtested Min),2028-02-18 (Max)/2026-08-28 (Avg),179.89/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"91.67%, Past 20 years, 12",182.27,No Information,No Information,No Information,"88.6% (Price: 178.5402), 15.18% below, Upmove Bounce Back","2023-10-29 (Price: 163.01), 2025-07-20 (Price: 299.24)",No Information,17.45%/1.4%/11.27%,"1.51%, 22.04%",1.5 year/1.6 month/5.6 months,9.55%,6.23%,3.32%,1.2,0.33,95.38%/65/1.4 year (Across ALL Assets),56.43%/140/7.6 months (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2026-03-01 (Price: 131.33)",Weekly,2026-03-08 (Price: 151.44),No Price Target,No Date Target,41.48%/59.07%,"15.31%, 7 days","2026-03-08 (Price: 151.44), 15.31% above",240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/214.26 (EMA 200),2028-02-27 (Max)/2026-03-21 (Min)/2026-10-30 (Avg),113.99/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",113.04,No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,5.14%,6.08%,-0.94%,1.52,0.34,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets)
TRENDPULSE,"TRI.TO, Long, 2025-07-31 (Price: 278.08)",Monthly,No Exit Yet,No Price Target,2026-03-09 (Min),93.63%/96.4%,"-45.54%, 7.3 months","2026-03-06 (Price: 151.44), 45.54% below",302.1895 (Historic Rise or Fall to Pivot)/321.6829 (Avg % Gain of Historic Winning trades)/419.29 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/367.9555 (Backtested Max)/297.4344 (Backtested Min),2027-11-12 (Max)/2026-03-09 (Min)/2026-08-21 (Avg),166.11/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/249.41,"100.0%, Past 20 years, 7",274.44,No Information,No Information,No Information,No Information,No Information,44.7% below/45.18% below/45.54% below,32.32%/6.96%/15.68%,"-0.0%, 18.1%",1.6 year/5.1 months/8.9 months,10.47%,4.66%,5.81%,1.09,0.22,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
SIGMASHELL,"TRI.TO, Long, 2025-11-26 (Price: 188.16)",Daily,No Exit Yet,No Price Target,2026-03-05 (Max),25.44%/25.83%,"-19.52%, 3.3 months","2026-03-06 (Price: 151.44), 19.52% below",190.5496 (Historic Rise or Fall to Pivot)/206.2422 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/214.26 (EMA 200)/213.1476 (Backtested Max)/189.9663 (Backtested Min),No Next Date Target,185.77/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.0%, Past 5 years, 10",188.7,"-3.35, 100.0%",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/9.61%,"5.24%, 12.83%",2.3 months/1.2 month/1.9 month,11.85%,6.18%,5.67%,0.52,0.33,69.23%/39/4.6 months (Across ALL Assets),69.33%/238/3.7 months (Across ALL Assets)
DELTADRIFT,"SUM.NZ, Long, 2026-03-01 (Price: 10.66)",Weekly,No Exit Yet,No Price Target,2026-03-11 (Min),7.5%/10.94%,"-3.1%, 7 days","2026-03-08 (Price: 10.33), 3.1% below",13.0628 (Historic Rise or Fall to Pivot)/11.5927 (Avg % Gain of Historic Winning trades)/12.33 (Function Specific Target)/12.55 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.46 (EMA 200)/12.8208 (Backtested Max)/11.1045 (Backtested Min),2026-07-31 (Max)/2026-03-11 (Min)/2026-06-04 (Avg),10.5/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 14 years, 7",10.5,No Information,No Information,No Information,No Information,No Information,No Information,20.27%/4.17%/8.75%,"20.61%, 22.44%",3.5 months/7 days/2.2 months,2.34%,11.18%,-8.84%,0.05,0.61,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-08 (Price: 10.33),No Price Target,No Date Target,35.13%/35.95%,"-19.49%, 1.3 year","2026-03-06 (Price: 10.33), 19.49% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/11.15,"83.33%, Past 20 years, 12",12.4,No Information,No Information,No Information,No Information,No Information,13.56% below/17.69% below/19.49% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-08 (Price: 10.33),No Price Target,No Date Target,30.5%/31.29%,"-16.63%, 1.4 year","2026-03-06 (Price: 10.33), 16.63% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/10.96,"83.33%, Past 20 years, 12",11.89,No Information,No Information,No Information,No Information,No Information,13.56% below/16.63% below/16.63% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",Monthly,2026-03-08 (Price: 10.33),No Price Target,2026-03-05 (Avg),25.86%/26.63%,"-13.56%, 1.5 year","2026-03-06 (Price: 10.33), 13.56% below",13.0016 (Historic Rise or Fall to Pivot)/14.6328 (Avg % Gain of Historic Winning trades)/14.19 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/16.6213 (Backtested Max)/13.0805 (Backtested Min),2027-06-17 (Max),8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/10.75,"83.33%, Past 20 years, 12",11.3,No Information,No Information,No Information,No Information,No Information,13.56% below/13.56% below/13.56% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
FRACTAL TRACK,"ORCL, Long, 2026-01-04 (Price: 195.71)",Weekly,No Exit Yet,No Price Target,2026-03-05 (Min),35.16%/44.08%,"-21.84%, 2.1 months","2026-03-08 (Price: 152.96), 21.84% below",231.7402 (Historic Rise or Fall to Pivot)/228.2174 (Avg % Gain of Historic Winning trades)/401.38 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/220.39 (EMA 200)/243.0327 (Backtested Max)/206.748 (Backtested Min),2029-09-20 (Max)/2027-03-18 (Avg),189.97/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.21%, Past 20 years, 29",194.16,No Information,No Information,No Information,"50% (Price: 174.3317), 12.26% below, Upmove Bounce Back","1996-04-14 (Price: 2.9433), 2025-09-14 (Price: 345.72)",No Information,24.18%/5.64%/16.61%,"12.23%, 26.99%",2.6 years/1.4 month/10.1 months,12.55%,10.22%,2.33%,1.29,0.53,95.38%/65/1.4 year (Across ALL Assets),56.43%/140/7.6 months (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2026-02-15 (Price: 160.14)",Weekly,No Exit Yet,No Price Target,2026-03-10 (Avg),14.83%/17.47%,"-4.48%, 21 days","2026-03-08 (Price: 152.96), 4.48% below",214.1232 (Historic Rise or Fall to Pivot)/179.6771 (Avg % Gain of Historic Winning trades)/196.9 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/220.39 (EMA 200)/182.3834 (Backtested Max)/175.6416 (Backtested Min),2026-03-17 (Max)/2026-03-10 (Avg),142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 15 years, 4",148.49,No Information,No Information,No Information,No Information,No Information,No Information,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,5.26%,6.77%,-1.51%,0.27,0.34,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets)
