Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"ACWX, Long, 2026-01-31 (Price: 70.78)",No Exit Yet,"0.59%, 4 days","90.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 71.2), 0.59% above",4 days,68.01,No Information,No Information,No Information,No Information,No Information,7.08% above/0.59% above/0.59% above,15.1%/1.97%/6.76%,"10.07%, 26.55%",3.3 years/4.1 months/1.4 year,2030-10-17/2026-07-26/2028-01-29,1.22%,0.78%,0.44%,0.41,-0.09,75.7134/75.5647/82.56/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/No F-Track Level/No F-Track Level/63.45,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2026-01-31 (Price: 330.56)",No Exit Yet,"-1.46%, 4 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 325.74), 1.46% below",4 days,311.98,No Information,No Information,No Information,No Information,No Information,7.19% above/1.46% below/1.46% below,62.44%/8.11%/32.4%,"-0.0%, 49.81%",1 year/5 months/8.7 months,2027-07-06/2026-09-05/2027-02-13,9.53%,10.44%,-0.91%,1.24,0.51,443.2479/437.6614/429.42/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,166.0/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/254.82,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-01-31 (Price: 181364.0)",No Exit Yet,"0.19%, 4 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 181708.0), 0.19% above",4 days,161124.0,No Information,No Information,No Information,No Information,No Information,14.23% above/0.19% above/0.19% above,14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-10-17/2027-01-17/2028-10-17,6.15%,6.78%,-0.63%,0.48,0.36,200661.1296/198502.898/224160.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,120283.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"GS, Long, 2026-01-31 (Price: 935.41)",No Exit Yet,"-2.36%, 4 days","100.0%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 913.3), 2.36% below",4 days,884.0,No Information,No Information,No Information,No Information,No Information,3.9% above/2.36% below/2.36% below,53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-08-26/2026-07-23/2027-08-27,10.95%,5.86%,5.09%,1.01,0.3,1127.169/1204.8081/1283.13/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,303.61/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/746.9,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"PPH, Long, 2026-01-31 (Price: 106.81)",No Exit Yet,"1.7%, 4 days","85.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 108.63), 1.7% above",4 days,103.4,No Information,No Information,No Information,No Information,No Information,5.29% above/1.7% above/1.7% above,15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2032-05-13/2026-09-05/2027-12-09,1.56%,1.67%,-0.11%,1.06,-0.07,118.7193/117.1278/130.01/No Horizontal Resistance/110.0139/120.2747/No EMA 200 Target,82.93/71.642/100.0174/96.0365/No F-Track Level/No F-Track Level/92.38,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-5.1%, 4 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 107.05), 5.1% below",4 days,113.44,No Information,No Information,No Information,"50% (Price: 102.395), 4.55% above, Upmove Bounce Back","2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",No Information,30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/No EMA 200 Target,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/112.22,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-0.78%, 4 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 1.3698), 0.78% below",4 days,1.3475,No Information,No Information,No Information,"23.66% (Price: 1.271), 7.77% above, Upmove Bounce Back","2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",No Information,3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"0.52%, 4 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 0.8238), 0.52% above",4 days,0.7896,No Information,No Information,No Information,"78.6% (Price: 0.8038), 2.49% above, Upmove Bounce Back","2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",No Information,20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"NVO, Long, 2026-01-31 (Price: 59.43)",No Exit Yet,"-20.6%, 4 days","100.0%, Past 44 years, 14","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 47.19), 20.6% below",4 days,51.61,No Information,No Information,No Information,"78.6% (Price: 43.8439), 7.63% above, Upmove Bounce Back","2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",No Information,42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-17/2026-07-23/2027-12-09,10.33%,9.37%,0.96%,1.75,0.5,72.7067/75.1255/139.05/139.01/157.4212/201.8641/No EMA 200 Target,47.07/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/58.76,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-01-30 (Price: 60.68)",No Exit Yet,"1.57%, 5 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 61.63), 1.57% above",5 days,60.11,No Information,No Information,No Information,No Information,No Information,1.57% above/1.57% above/1.57% above,9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,2026-06-18/2026-02-04/2026-03-10,13.01%,4.6%,8.41%,1.21,0.22,66.2929/62.5307/79.98/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,53.29/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-30 (Price: 151.77)",No Exit Yet,"3.36%, 5 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 156.87), 3.36% above",5 days,150.43,No Information,No Information,No Information,No Information,No Information,4.65% above/3.36% above/3.36% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,2026-06-22/2026-02-07/2026-03-23,9.71%,2.06%,7.65%,0.36,0.03,153.3939/154.8054/153.98/179.4533/186.6499/209.3631/154.01,138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"JPY=X, Long, 2026-01-30 (Price: 153.162)",No Exit Yet,"1.72%, 5 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 155.799), 1.72% above",5 days,153.147,No Information,No Information,No Information,"38.2% (Price: 154.3876), 0.91% above, Upmove Bounce Back","2025-09-17 (Price: 146.217), 2026-01-14 (Price: 159.438)",No Information,10.95%/0.93%/6.13%,"-0.0%, 9.9%",1.4 year/21 days/5.2 months,2028-01-28/2026-03-01/2026-09-12,12.61%,5.88%,6.73%,0.82,0.44,154.4026/162.5508/161.09/159.6618/175.8568/187.2285/No EMA 200 Target,152.45/108.0995/138.2059/No support/No F-Track Level/No F-Track Level/150.01,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"MAR, Long, 2026-01-30 (Price: 315.3)",No Exit Yet,"2.94%, 5 days","100.0%, Past 5 years, 21","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 324.56), 2.94% above",5 days,316.72,No Information,No Information,No Information,"23.66% (Price: 313.5035), 3.53% above, Upmove Bounce Back","2025-10-31 (Price: 256.76), 2026-01-09 (Price: 331.09)",No Information,12.51%/1.42%/10.06%,"-0.0%, 25.1%",1.2 year/13 days/3.2 months,2027-10-17/2026-02-17/2026-06-18,39.1%,12.92%,26.18%,1.83,0.68,326.2724/347.0192/359.9/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,312.07/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/276.8,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2026-01-30 (Price: 162.25)",No Exit Yet,"2.87%, 5 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 166.91), 2.87% above",5 days,163.43,No Information,No Information,No Information,"23.66% (Price: 160.7722), 3.82% above, Upmove Bounce Back","2025-04-09 (Price: 106.67), 2025-12-22 (Price: 177.54)",No Information,15.25%/10.02%/11.05%,"0%, 19.4%",2.1 years/2 months/7.9 months,2029-01-29/2026-04-26/2027-01-08,24.66%,12.6%,12.06%,7.0,0.93,169.1294/180.1786/204.77/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,161.96/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/149.52,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"RY.TO, Long, 2026-01-30 (Price: 226.72)",No Exit Yet,"2.49%, 5 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 232.37), 2.49% above",5 days,227.25,No Information,No Information,No Information,"23.66% (Price: 219.2613), 5.98% above, Upmove Bounce Back","2025-04-07 (Price: 151.25), 2026-01-06 (Price: 240.34)",No Information,10.81%/4.09%/9.09%,"0%, 26.48%",2.5 years/1.2 month/8.2 months,2029-08-25/2026-03-23/2027-01-19,16.77%,10.42%,6.35%,3.94,0.82,235.6074/247.3288/280.17/No Horizontal Resistance/234.9744/339.4883/No EMA 200 Target,225.93/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/197.83,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"JPY=X, Long, 2026-01-30 (Price: 153.162)",2026-02-02 (Price: 155.202),"1.33%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 155.799), 1.72% above",5 days,153.147,No Information,No Information,No Information,No Information,No Information,No Information,2.21%/1.18%/1.7%,"5.69%, 5.69%",1.4 month/2 days/14 days,2026-03-31/2026-02-01/2026-02-19,3.17%,6.05%,-2.88%,0.02,0.47,156.6694/155.7658/156.22/159.6618/175.8568/187.2285/No EMA 200 Target,152.45/108.0995/138.2059/No support/No F-Track Level/No F-Track Level/150.01,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"CVS, Long, 2026-01-30 (Price: 74.52)",No Exit Yet,"0.97%, 5 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 75.24), 0.97% above",5 days,74.11,No Information,No Information,No Information,No Information,No Information,No Information,9.78%/2.14%/4.7%,"18.34%, 19.27%",25 days/1 day/13 days,2026-03-07/2026-01-31/2026-02-17,4.95%,1.78%,3.17%,0.09,0.08,80.0792/78.0224/79.05/106.045/116.3721/144.3517/No EMA 200 Target,72.0/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/72.11,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"XLV, Long, 2026-01-30 (Price: 154.74)",No Exit Yet,"0.83%, 5 days","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-04 (Price: 156.03), 0.83% above",5 days,154.12,No Information,No Information,No Information,No Information,No Information,No Information,8.23%/1.41%/5.28%,"0%, 18.11%",1.9 year/1 month/10 months,2028-10-16/2026-03-14/2027-04-09,6.21%,5.05%,1.16%,2.09,0.27,162.2139/162.9103/162.56/159.295/174.1807/202.706/No EMA 200 Target,153.82/121.1/153.114/117.2225/No F-Track Level/No F-Track Level/142.04,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"PLTR, Long, 2026-01-30 (Price: 146.59)",No Exit Yet,"-4.81%, 5 days","83.33%, Past 5 years, 6","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-04 (Price: 139.54), 4.81% below",5 days,150.05,No Information,No Information,No Information,No Information,No Information,No Information,72.52%/7.59%/47.15%,"59.64%, 74.92%",5.4 months/1.3 month/2.9 months,2026-09-21/2026-03-27/2026-06-05,30.7%,28.98%,1.72%,0.56,1.12,191.8423/215.7072/203.77/No Horizontal Resistance/236.8667/248.6965/159.4,130.68/7.205/125.5072/97.1748/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"ATD.TO, Long, 2026-01-30 (Price: 70.84)",No Exit Yet,"12.0%, 5 days","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-04 (Price: 79.34), 12.0% above",5 days,71.47,No Information,No Information,No Information,No Information,No Information,No Information,29.23%/0.22%/10.51%,"9.62%, 20.63%",8.6 months/1.8 month/4.1 months,2027-02-07/2026-04-18/2026-07-25,16.38%,7.89%,8.49%,0.66,0.43,73.3336/78.2853/75.81/85.51/85.3936/96.14/72.18,69.19/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Long, 2026-01-29 (Price: 476.79)",2026-02-04 (Price: 503.83) (Today),"5.67%, 6 days","89.47%, Past 6 years, 19","Daily, is Confirmed on 2026-01-29",No Cancellation Possible,"2026-02-04 (Price: 503.83), 5.67% above",6 days,473.73,No Information,No Information,No Information,No Information,No Information,No Information,31.41%/5.03%/9.81%,"13.58%, 26.58%",2.2 years/8 days/3.7 months,2029-03-21/2026-02-09/2026-07-08,16.46%,9.82%,6.64%,0.56,0.59,505.2544/523.5631/500.63/512.255/630.85/709.9376/494.46,No Recent Minima/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"RY.TO, Long, 2026-01-29 (Price: 227.52)",2026-02-02 (Price: 230.51),"1.31%, 4 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-04 (Price: 232.37), 2.13% above",6 days,226.03,No Information,No Information,No Information,No Information,No Information,No Information,3.75%/1.31%/1.82%,"7.86%, 8.45%",29 days/1 day/12 days,2026-03-12/2026-01-30/2026-02-15,1.66%,11.78%,-10.12%,-0.11,0.96,238.35/231.6609/235.01/No Horizontal Resistance/234.9744/339.4883/No EMA 200 Target,225.93/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/197.83,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"BRK-B, Long, 2026-01-26 (Price: 483.47)",2026-02-04 (Price: 503.83) (Today),"4.21%, 9 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-02-04 (Price: 503.83), 4.21% above",9 days,478.47,No Information,No Information,No Information,No Information,No Information,No Information,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,2026-03-27/2026-01-27/2026-02-10,4.18%,10.92%,-6.74%,0.08,0.77,501.8902/494.2514/498.07/512.255/630.85/709.9376/494.46,478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"KXS.TO, Long, 2026-01-23 (Price: 149.09)",2026-02-02 (Price: 133.66),"-10.35%, 10 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-02-04 (Price: 120.08), 19.46% below",12 days,148.62,No Information,No Information,No Information,No Information,No Information,No Information,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,2026-04-11/2026-01-25/2026-02-09,3.12%,-2.75%,5.87%,0.03,-0.07,158.751/155.2772/157.01/209.885/222.5978/243.8843/184.35,148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"^NSEI, Long, 2026-01-22 (Price: 25289.9004)",2026-02-03 (Price: 25727.5508),"1.73%, 12 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-04 (Price: 25776.0), 1.92% above",13 days,25344.1504,No Information,No Information,No Information,No Information,No Information,No Information,3.06%/1.21%/2.08%,"3.64%, 4.21%",19 days/1 day/5 days,2026-02-18/2026-01-23/2026-01-29,7.24%,8.84%,-1.6%,0.75,0.7,27007.0846/25815.9303/26411.51/25973.3496/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,25157.5/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/25225.79,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"NIFTY_MIDCAP_100.NS, Long, 2026-01-22 (Price: 58191.3008)",2026-02-03 (Price: 59307.1016),"1.92%, 12 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-04 (Price: 59683.6016), 2.56% above",13 days,57962.6016,No Information,No Information,No Information,No Information,No Information,No Information,4.01%/1.72%/2.76%,"7.88%, 9.89%",20 days/2 days/7 days,2026-02-19/2026-01-24/2026-02-01,9.79%,15.36%,-5.57%,0.56,1.16,62538.191/59797.3807/61167.79/59773.5488/69983.5191/76335.2565/58306.6,57423.65/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"INDA, Long, 2026-01-22 (Price: 51.8)",2026-02-02 (Price: 53.28),"2.86%, 11 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-04 (Price: 53.44), 3.17% above",13 days,51.72,No Information,No Information,No Information,No Information,No Information,No Information,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,2026-03-03/2026-01-24/2026-02-04,5.73%,3.54%,2.19%,0.28,0.12,54.3641/53.0587/53.71/55.3975/66.8401/79.771/53.69,51.55/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"HOOD, Long, 2026-01-22 (Price: 106.25)",2026-02-04 (Price: 80.62) (Today),"-24.12%, 13 days","75.0%, Past 4 years, 8","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-04 (Price: 80.62), 24.12% below",13 days,107.48,No Information,No Information,No Information,No Information,No Information,No Information,13.1%/6.28%/9.63%,"22.98%, 22.98%",14 days/2 days/6 days,2026-02-11/2026-01-24/2026-01-30,2.36%,18.95%,-16.59%,0.03,0.85,101.8619/116.4819/109.17/No Horizontal Resistance/164.8517/245.4076/No EMA 200 Target,105.78/8.2917/84.2959/No support/No F-Track Level/No F-Track Level/104.43,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"MA, Long, 2026-01-20 (Price: 531.74)",2026-02-02 (Price: 555.37),"4.44%, 13 days","93.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-01-20",Already confirmed,"2026-02-04 (Price: 553.52), 4.1% above",15 days,530.6,No Information,No Information,No Information,No Information,No Information,No Information,5.48%/1.68%/3.6%,"3.92%, 6.0%",1.3 month/2 days/10 days,2026-03-17/2026-01-22/2026-02-03,12.96%,7.15%,5.81%,1.12,0.38,578.5331/550.8826/564.71/592.9033/716.5814/751.3605/563.67,527.58/305.0867/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"BAC, Long, 2026-01-16 (Price: 52.97)",2026-02-04 (Price: 55.38) (Today),"4.55%, 19 days","88.89%, Past 4 years, 18","Daily, was CONFIRMED on 2026-01-16",Already confirmed,"2026-02-04 (Price: 55.38), 4.55% above",19 days,52.69,No Information,No Information,No Information,No Information,No Information,No Information,6.86%/2.52%/4.14%,"10.59%, 11.17%",1.1 month/1 day/10 days,2026-03-04/2026-01-17/2026-01-30,12.65%,7.95%,4.7%,0.51,0.42,56.0846/55.163/55.62/No Horizontal Resistance/72.41/85.2389/No EMA 200 Target,52.48/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.26,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"SPOT, Long, 2026-01-14 (Price: 528.92)",2026-02-04 (Price: 440.53) (Today),"-16.71%, 21 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-01-14",Already confirmed,"2026-02-04 (Price: 440.53), 16.71% below",21 days,537.0,No Information,No Information,No Information,No Information,No Information,No Information,13.46%/3.67%/6.77%,"8.88%, 11.98%",1.3 month/1 day/14 days,2026-03-11/2026-01-15/2026-02-03,11.53%,6.15%,5.38%,0.63,0.37,549.8652/564.7279/557.3/No Horizontal Resistance/854.3544/896.959/647.54,503.3/118.6/456.7863/433.8097/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-01-12 (Price: 936.95)",2026-02-04 (Price: 954.4) (Today),"1.86%, 23 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-02-04 (Price: 954.4), 1.86% above",23 days,937.5,No Information,No Information,No Information,No Information,No Information,No Information,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,2026-05-09/2026-01-14/2026-02-18,5.13%,4.11%,1.02%,0.21,0.19,974.5217/964.59/969.56/1009.6/1098.0619/1305.7899/977.59,878.85/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",2026-02-02 (Price: 49.91),"11.86%, 24 days","83.33%, Past 6 years, 18","Daily, is Confirmed on 2026-01-09",No Cancellation Possible,"2026-02-04 (Price: 52.65), 18.0% above",26 days,44.08,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,2026-08-31/2026-01-10/2026-03-02,20.81%,10.2%,10.61%,0.68,0.51,54.0973/48.6224/54.44/51.51/65.8353/68.6522/No EMA 200 Target,No Recent Minima/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/44.2,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"NVO, Long, 2026-01-04 (Price: 52.39)",2026-02-01 (Price: 59.43),"13.44%, 28 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-04 (Price: 47.19), 9.93% below",1 month,51.56,No Information,No Information,No Information,No Information,No Information,9.94% below/9.93% below/9.93% below,20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
