Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BAND MATRIX,"CNR.TO, Long, 2026-02-02 (Price: 130.79)",No Exit Yet,"3.39%, 2 days","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-02",No Cancellation Possible,"2026-02-04 (Price: 135.23), 3.39% above",2 days,137.0,No Information,No Information,No Information,No Information,No Information,No Information,12.68%/3.59%/8.54%,"6.58%, 16.7%",1.5 year/1 month/4.8 months,2028-03-25/2026-03-17/2026-08-29,10.42%,-0.9%,11.32%,0.54,-0.19,136.4924/141.9595/139.23/173.435/218.156/349.4971/135.86,128.08/127.536/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
TRENDPULSE,"ASML, Long, 2026-02-01 (Price: 1423.0)",No Exit Yet,"-5.89%, 3 days","92.86%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 1339.13), 5.89% below",3 days,1385.87,No Information,No Information,No Information,No Information,No Information,1.43% below/5.89% below/5.89% below,26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-22/2026-03-25/2026-07-03,11.7%,15.27%,-3.57%,1.0,0.74,1574.6918/1597.3175/1836.05/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,689.82/576.784/1034.6774/832.8601/No F-Track Level/No F-Track Level/907.93,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-02-01 (Price: 181364.0)",No Exit Yet,"0.19%, 3 days","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 181708.0), 0.19% above",3 days,178859.0,No Information,No Information,No Information,No Information,No Information,1.59% above/0.19% above/0.19% above,10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-08-28/2026-03-13/2026-06-28,7.52%,4.03%,3.49%,2.1,0.18,189779.2896/191538.5204/207488.0/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-02-01 (Price: 60.68)",No Exit Yet,"1.57%, 3 days","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 61.63), 1.57% above",3 days,59.3,No Information,No Information,No Information,No Information,No Information,1.57% above/1.57% above/1.57% above,17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2027-05-11/2026-03-25/2026-06-28,-1.73%,1.97%,-3.7%,0.5,0.04,64.7274/66.032/62.8/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,55.19/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"GILD, Long, 2026-02-01 (Price: 141.95)",No Exit Yet,"3.02%, 3 days","96.43%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 146.23), 3.02% above",3 days,135.88,No Information,No Information,No Information,No Information,No Information,3.02% above/3.02% above/3.02% above,26.57%/2.74%/15.13%,"8.71%, 37.09%",1.2 year/1.2 month/4.5 months,2027-10-19/2026-03-25/2026-08-15,13.74%,9.41%,4.33%,1.53,0.5,155.1088/163.427/162.7/No Horizontal Resistance/146.167/154.7608/No EMA 200 Target,112.1/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/115.72,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"NZDCAD=X, Long, 2026-02-01 (Price: 0.8195)",No Exit Yet,"0.52%, 3 days","79.17%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 0.8238), 0.52% above",3 days,0.8165,No Information,No Information,No Information,No Information,No Information,0.52% above/0.52% above/0.52% above,4.6%/1.11%/2.76%,"5.56%, 13.76%",9.8 months/28 days/5.1 months,2027-04-02/2026-03-13/2026-09-10,-3.01%,0.35%,-3.36%,0.17,-0.49,0.8256/0.8421/0.85/0.8902/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-02-01 (Price: 91.3)",No Exit Yet,"8.72%, 3 days","83.33%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 99.26), 8.72% above",3 days,88.65,No Information,No Information,No Information,No Information,No Information,8.72% above/8.72% above/8.72% above,23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,2027-07-07/2026-03-25/2026-05-24,13.27%,11.85%,1.42%,0.6,0.66,101.4343/98.4853/101.98/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/79.76,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",No Exit Yet,"2.71%, 3 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-01",Already confirmed,"2026-02-04 (Price: 954.4), 2.71% above",3 days,906.0,No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-11/2026-03-13/2026-04-15,12.02%,10.83%,1.19%,2.91,0.65,1065.7568/1008.7938/1037.28/1009.6/1098.0619/1305.7899/977.59,916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
TRENDPULSE,"^DJI, Long, 2026-01-31 (Price: 48892.4688)",No Exit Yet,"1.25%, 4 days","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 49501.3008), 1.25% above",4 days,48105.9805,No Information,No Information,No Information,No Information,No Information,1.25% above/1.25% above/1.25% above,15.24%/4.84%/10.4%,"2.61%, 11.83%",1.2 year/5 months/9.6 months,2027-10-18/2026-09-05/2027-03-24,7.0%,4.25%,2.75%,1.41,0.19,56299.6778/53977.2856/60238.38/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,40669.36/32614.5825/36151.8794/25040.9446/No F-Track Level/No F-Track Level/45320.62,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2026-01-31 (Price: 101.8)",No Exit Yet,"0.29%, 4 days","92.31%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 102.1), 0.29% above",4 days,101.58,No Information,No Information,No Information,No Information,No Information,5.32% above/0.29% above/0.29% above,24.83%/4.28%/13.54%,"30.99%, 38.87%",2.8 years/6 months/1.2 year,2030-01-28/2026-10-18/2027-10-18,1.95%,4.3%,-2.35%,0.65,0.19,107.1343/115.5837/120.84/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,56.15/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/85.08,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
