Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5731,1.81,Resistance
NZDCAD=X,Weekly,0.791,0.8031,1.53,Support
NZDCAD=X,Daily,0.7945,0.8031,1.08,Support
USDCHF=X,Daily,0.7933,0.8046,1.43,Support
EURUSD=X,Daily,1.1628,1.1613,0.13,Resistance
EURUSD=X,Weekly,1.1452,1.1613,1.41,Support
GBPUSD=X,Weekly,1.3358,1.3241,0.88,Resistance
CAD=X,Daily,1.3828,1.4026,1.43,Support
CAD=X,Weekly,1.3845,1.4026,1.3,Support
GBPSGD=X,Monthly,1.6701,1.7118,2.5,Support
GBPSGD=X,Weekly,1.7483,1.7118,2.09,Resistance
GBPSGD=X,Daily,1.7306,1.7118,1.09,Resistance
GNE.NZ,Daily,2.4475,2.4,1.94,Resistance
GNE.NZ,Weekly,2.3525,2.4,2.02,Support
FBU.NZ,Daily,3.49,3.43,1.72,Resistance
^TNX,Daily,4.1085,4.096,0.3,Resistance
C6L.SI,Daily,6.53,6.5,0.46,Resistance
C6L.SI,Monthly,6.5913,6.5,1.38,Resistance
C6L.SI,Weekly,6.6638,6.5,2.46,Resistance
AIA.NZ,Daily,7.965,7.98,0.19,Support
CNU.NZ,Daily,9.22,9.08,1.52,Resistance
CEN.NZ,Daily,9.4367,9.45,0.14,Support
DBC,Daily,23.34,23.12,0.94,Resistance
PFE,Daily,25.65,25.27,1.48,Resistance
RINF,Daily,32.33,32.36,0.09,Support
HDB,Daily,35.59,35.44,0.42,Resistance
FPH.NZ,Daily,37.54,37.43,0.29,Resistance
MTY.TO,Daily,37.115,37.7,1.58,Support
MTY.TO,Weekly,37.07,37.7,1.7,Support
KWEB,Weekly,38.6033,37.99,1.59,Resistance
FXI,Daily,39.255,39.64,0.98,Support
XLF,Daily,52.13,52.89,1.46,Support
INDA,Daily,55.3975,54.33,1.93,Resistance
BIPC.TO,Daily,63.1517,62.98,0.27,Resistance
IHI,Daily,62.445,63.62,1.88,Support
USO,Daily,71.282,71.06,0.31,Resistance
HYG,Daily,80.075,80.47,0.49,Support
HYG,Weekly,78.975,80.47,1.89,Support
SJ.TO,Daily,84.3925,85.85,1.73,Support
JNK,Daily,97.4671,96.96,0.52,Resistance
JNK,Weekly,96.515,96.96,0.46,Support
DIS,Daily,107.6125,106.77,0.78,Resistance
IEI,Daily,118.72,119.56,0.71,Support
IEI,Weekly,119.345,119.56,0.18,Support
KXS.TO,Daily,172.025,173.12,0.64,Support
TRI.TO,Daily,186.5008,186.49,0.01,Resistance
DOL.TO,Daily,197.56,198.64,0.55,Support
IWM,Weekly,244.72,245.62,0.37,Support
MCD,Weekly,300.87,303.57,0.9,Support
HDFCBANK.NS,Daily,1009.6,1002.1,0.74,Resistance
ETH-USD,Daily,2839.8557,2792.4009,1.67,Resistance
TCS.NS,Daily,3174.2166,3133.3999,1.29,Resistance
^NZ50,Weekly,13418.2035,13489.1504,0.53,Support
^NSEI,Daily,25973.3496,26175.75,0.78,Support
NIFTY_MIDCAP_100.NS,Daily,60182.9323,61043.3984,1.43,Support
