Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"TD, Long, 2026-03-31 (Price: 93.31)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 93.31), 0.0% below",0 days,92.52,No Information,No Information,No Information,"23.66% (Price: 89.1543), 4.66% above, Upmove Bounce Back","2025-04-07 (Price: 54.87), 2026-02-27 (Price: 99.78)",No Information,11.2%/0.13%/8.42%,"-0.0%, 26.48%",2.8 years/29 days/1.3 year,2030-03-28/2026-05-12/2028-02-06,9.19%,5.69%,3.5%,1.75,0.3,100.0097/101.1667/120.26/No Horizontal Resistance/106.9178/114.6321/No EMA 200 Target,91.37/54.526/92.1326/74.8838/84.1549/74.5527/83.99,91.67%/264/5.4 months (Across ALL Assets),45.28%/53/5.8 months (Across ALL Assets)
TRENDPULSE,"SLV, Long, 2026-03-31 (Price: 68.14)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Quarterly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 68.14), 0.0% below",0 days,67.3,No Information,No Information,No Information,No Information,No Information,5.77% above/0.0% below/0.0% below,72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2033-02-04 (Max),9.45%,6.73%,2.72%,0.47,0.33,90.415/117.5074/96.59/No Horizontal Resistance/89.0774/103.171/No EMA 200 Target,17.5/18.99/67.9787/59.1217/63.01/51.9605/52.5,100.0%/7/2.7 years (Across ALL Assets),0.0%/1/1 year (Across ALL Assets)
TRENDPULSE,"IWM, Long, 2026-03-31 (Price: 248.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 5","Quarterly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 248.0), 0.0% below",0 days,247.63,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-09-03 (Max),2.77%,4.51%,-1.74%,0.75,0.21,No Target/303.7504/250.12/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/242.43,100.0%/7/2.7 years (Across ALL Assets),0.0%/1/1 year (Across ALL Assets)
TRENDPULSE,"NA.TO, Long, 2026-03-31 (Price: 180.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 180.01), 0.0% below",0 days,172.8,No Information,No Information,No Information,No Information,No Information,4.29% above/2.99% above/0.0% below,41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-05-21/2028-10-24/2029-10-24,7.2%,8.31%,-1.11%,3.17,0.49,229.6028/233.725/284.42/No Horizontal Resistance/204.2705/224.9542/No EMA 200 Target,54.39/82.9367/162.0277/143.1328/173.1163/160.4607/159.9,100.0%/7/2.7 years (Across ALL Assets),0.0%/1/1 year (Across ALL Assets)
OSCILLATOR DELTA,"MAR, Long, 2026-03-31 (Price: 327.07)",No Exit Yet,"0.0%, 0 days","90.0%, Past 6 years, 20","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-03-31 (Price: 327.07), 0.0% below",0 days,321.17,No Information,No Information,No Information,No Information,No Information,No Information,24.17%/5.48%/9.35%,"10.62%, 19.79%",5.6 months/1 day/1.1 month,2026-11-29/2026-04-01/2026-05-17,26.1%,8.58%,17.52%,1.03,0.43,372.4019/357.651/363.05/No Horizontal Resistance/355.3234/374.3581/No EMA 200 Target,No Recent Minima/129.12/313.5051/297.0775/No stop loss/307.1228/292.17,97.5%/40/29 days (Across ALL Assets),78.76%/419/26 days (Across ALL Assets)
OSCILLATOR DELTA,"TD, Long, 2026-03-31 (Price: 93.31)",No Exit Yet,"0.0%, 0 days","88.89%, Past 6 years, 18","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-03-31 (Price: 93.31), 0.0% below",0 days,92.52,No Information,No Information,No Information,No Information,No Information,No Information,17.7%/5.36%/8.4%,"11.49%, 20.14%",1 year/1 day/2.2 months,2027-09-03/2026-04-01/2026-07-04,18.04%,4.84%,13.2%,0.89,0.24,101.8852/101.148/99.84/No Horizontal Resistance/106.9178/114.6321/No EMA 200 Target,No Recent Minima/54.526/92.1326/74.8838/84.1549/74.5527/83.99,97.5%/40/29 days (Across ALL Assets),78.76%/419/26 days (Across ALL Assets)
DELTADRIFT,"IHI, Long, 2026-03-31 (Price: 53.35)",No Exit Yet,"0.0%, 0 days","85.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 53.35), 0.0% below",0 days,53.0,No Information,No Information,No Information,No Information,No Information,No Information,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-04-27/2026-04-01/2026-04-10,10.24%,1.25%,8.99%,0.38,-0.05,56.8284/54.8011/55.81/65.682/No Next Fib Ext/No Next Fib Ext/60.61,52.6/46.725/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,71.63%/141/15 days (Across ALL Assets),73.23%/523/15 days (Across ALL Assets)
OSCILLATOR DELTA,"MA, Long, 2026-03-31 (Price: 499.66)",No Exit Yet,"0.0%, 0 days","82.35%, Past 6 years, 17","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-03-31 (Price: 499.66), 0.0% below",0 days,500.0,No Information,No Information,No Information,No Information,No Information,No Information,19.17%/5.66%/10.7%,"12.38%, 17.31%",5.9 months/6 days/1.9 month,2026-12-12/2026-04-08/2026-06-21,17.15%,7.39%,9.76%,0.56,0.38,550.5754/553.1236/534.64/592.095/716.5814/751.3605/553.7,No Recent Minima/305.0867/442.8637/361.9068/494.9116/465.8627/No EMA 200 Stop Loss,97.5%/40/29 days (Across ALL Assets),78.76%/419/26 days (Across ALL Assets)
OSCILLATOR DELTA,"TD.TO, Long, 2026-03-31 (Price: 129.92)",No Exit Yet,"0.0%, 0 days","82.35%, Past 6 years, 17","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-03-31 (Price: 129.92), 0.0% below",0 days,128.79,No Information,No Information,No Information,No Information,No Information,No Information,21.12%/5.05%/10.94%,"12.12%, 16.04%",1.3 year/4 days/4.7 months,2028-02-06/2026-04-05/2026-10-21,16.68%,5.64%,11.04%,0.68,0.29,138.1439/144.1332/136.42/No Horizontal Resistance/133.1838/146.0954/No EMA 200 Target,No Recent Minima/73.6233/127.7222/119.0154/115.7922/103.0726/115.96,97.5%/40/29 days (Across ALL Assets),78.76%/419/26 days (Across ALL Assets)
OSCILLATOR DELTA,"MSE.PA, Long, 2026-03-31 (Price: 62.25)",No Exit Yet,"0.0%, 0 days","81.25%, Past 6 years, 16","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-03-31 (Price: 62.25), 0.0% below",0 days,61.93,No Information,No Information,No Information,No Information,No Information,No Information,22.59%/5.4%/8.83%,"12.16%, 18.79%",7.1 months/11 days/2.7 months,2027-02-02/2026-04-15/2026-07-26,13.56%,6.63%,6.93%,0.5,0.36,66.3523/67.7467/65.36/No Horizontal Resistance/80.1675/116.2159/62.65,No Recent Minima/33.6667/57.8884/44.1192/60.7245/55.4669/No EMA 200 Stop Loss,97.5%/40/29 days (Across ALL Assets),78.76%/419/26 days (Across ALL Assets)
