"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ATM.NZ, Long, 2026-03-30 (Price: 11.39)",No Exit Yet,"0.0%, 0 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2026-03-30",Already confirmed,"2026-03-30 (Price: 11.39), 0.0% below",0 days,"0, 2025-08-28 (Price: 10.85)",2026-03-30 (Price: 11.39),2026-03-30 (Price: 11.39),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-08-28 (Price: 10.85)/2026-03-30 (Price: 11.139),26.28%/1.03%/5.98%,"10.63%, 64.86%",2 months/7 days/20 days,2026-06-24/2026-04-09/2026-04-27,9.53%,-5.31%,14.84%,0.78,-0.11,11.8684/12.0711/11.71/No Horizontal Resistance/21.0083/23.0567/No EMA 200 Target,10.9/5.185/8.0863/5.0358/10.3195/9.3482/10.08,91.76%/279/1.3 month (Across ALL Assets),80.08%/512/1.4 month (Across ALL Assets),11.3
"JD, Long, 2026-03-30 (Price: 28.94)",No Exit Yet,"0.0%, 0 days","77.78%, Past 10 years, 9","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 28.81 prior to 2026-04-03,"2026-03-30 (Price: 28.94), 0.0% below",0 days,"2, 2025-10-05 (Price: 36.86)",2026-03-22 (Price: 27.27),2026-03-30 (Price: 28.94),8/0/0 days,6.12% above/0.0% below/0.0% below,2025-10-05 (Price: 36.86)/2026-03-30 (Price: 26.6663),21.39%/10.27%/16.02%,"63.97%, 76.21%",5.8 months/1.9 month/3.5 months,2026-12-07/2026-06-20/2026-08-29,-14.42%,1.91%,-16.33%,-0.14,0.21,30.0773/33.5762/33.69/80.755/120.3515/132.0795/30.86,26.53/24.07/No F-Stack Support/No F-Stack Support/26.598/23.898/No EMA 200 Stop Loss,88.59%/149/5.1 months (Across ALL Assets),74.72%/265/3.7 months (Across ALL Assets),28.81
"CNQ.TO, Long, 2026-03-30 (Price: 68.83)",No Exit Yet,"0.0%, 0 days","78.57%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 61.9 prior to 2026-03-31,"2026-03-30 (Price: 68.83), 0.0% below",0 days,"4, 2024-04-30 (Price: 56.495)",2026-01-31 (Price: 50.63),2026-03-24 (Price: 67.48),58/6/0 days,35.95% above/2.0% above/0.0% below,2024-04-30 (Price: 56.495)/2026-03-30 (Price: 40.7646),53.91%/13.01%/31.51%,"27.09%, 59.44%",2.1 years/5 months/11.9 months,2029-03-29/2026-11-02/2027-08-29,10.23%,8.74%,1.49%,0.66,0.44,88.5498/90.5183/76.23/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,39.56/34.9317/57.6062/49.2599/62.4558/57.2113/47.86,92.0%/75/11 months (Across ALL Assets),59.06%/127/9.8 months (Across ALL Assets),61.9
"NA.TO, Long, 2026-03-30 (Price: 175.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 172.8 prior to 2026-03-31,"2026-03-30 (Price: 175.28), 0.0% below",0 days,"0, 1995-12-31 (Price: 6.0)",2025-12-31 (Price: 172.61),2026-02-13 (Price: 174.78),89/45/0 days,1.55% above/0.29% above/0.0% below,1995-12-31 (Price: 6.0)/2026-03-30 (Price: 156.19),41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-05-20/2028-10-23/2029-10-23,7.2%,8.31%,-1.11%,3.17,0.49,223.5696/227.5836/276.85/No Horizontal Resistance/204.2705/224.9542/No EMA 200 Target,54.39/82.9367/162.0277/143.1328/173.1163/160.4607/159.68,100.0%/7/2.7 years (Across ALL Assets),0.0%/1/1 year (Across ALL Assets),172.8
"^TNX, Long, 2026-03-29 (Price: 4.44)",No Exit Yet,"-2.21%, 1 day","94.12%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-30 (Price: 4.342), 2.21% below",1 day,"4, 2025-01-19 (Price: 4.809)",2026-03-15 (Price: 4.285),2026-03-26 (Price: 4.416),15/4/1 days,1.33% above/1.68% below/2.21% below,2025-01-19 (Price: 4.809)/2026-03-29 (Price: 4.1351),36.67%/4.7%/14.0%,"6.49%, 39.8%",11.7 months/28 days/3 months,2027-08-19/2026-05-08/2026-08-06,12.28%,0.73%,11.55%,1.0,0.14,4.8844/5.0616/4.66/4.6918/17.4008/18.8284/No EMA 200 Target,3.96/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/4.19,88.59%/149/5.1 months (Across ALL Assets),74.72%/265/3.7 months (Across ALL Assets),4.376
"MX.TO, Long, 2026-03-29 (Price: 90.57)",No Exit Yet,"-3.94%, 1 day","82.61%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-30 (Price: 87.0), 3.94% below",1 day,"2, 2016-03-20 (Price: 48.95)",2026-03-29 (Price: 90.57),2026-03-26 (Price: 82.37),1/4/1 days,3.94% below/5.62% above/3.94% below,2016-03-20 (Price: 48.95)/2026-03-29 (Price: 73.3976),35.52%/4.99%/17.34%,"20.89%, 73.13%",1.2 year/28 days/4.6 months,2027-12-14/2026-05-08/2026-10-14,11.89%,3.89%,8.0%,0.73,0.26,104.1193/106.2748/115.54/No Horizontal Resistance/104.8718/122.9238/No EMA 200 Target,47.63/38.425/77.0903/68.3859/No F-Track Level/No F-Track Level/55.64,88.59%/149/5.1 months (Across ALL Assets),74.72%/265/3.7 months (Across ALL Assets),75.23
"IFT.NZ, Long, 2026-03-27 (Price: 11.71)",No Exit Yet,"0.0%, 3 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-30 (Price: 11.71), 0.0% below",3 days,"2, 2025-09-12 (Price: 12.8)",2026-03-25 (Price: 11.18),2026-03-27 (Price: 11.71),5/3/3 days,4.74% above/0.0% below/0.0% below,2025-09-12 (Price: 12.8)/2026-03-27 (Price: 11.0079),9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,2026-08-17/2026-04-04/2026-05-13,15.16%,8.14%,7.02%,0.86,0.43,12.2405/12.1913/12.36/12.825/18.927/29.733/No EMA 200 Target,10.65/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.52,91.76%/279/1.3 month (Across ALL Assets),80.08%/512/1.4 month (Across ALL Assets),11.39
"XLE, Long, 2026-03-26 (Price: 61.52)",No Exit Yet,"0.72%, 4 days","92.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-03-26",Already confirmed,"2026-03-30 (Price: 61.96), 0.72% above",4 days,"2, 2020-02-12 (Price: 27.675)",2026-03-24 (Price: 60.84),2026-03-26 (Price: 61.52),6/4/4 days,1.84% above/0.72% above/0.72% above,2020-02-12 (Price: 27.675)/2026-03-26 (Price: 60.2142),6.25%/0.35%/2.8%,"17.66%, 40.87%",3.5 months/6 days/1 month,2026-08-25/2026-04-03/2026-05-08,9.51%,8.03%,1.48%,0.31,0.41,64.9528/63.2426/81.83/No Horizontal Resistance/72.1064/81.0569/No EMA 200 Target,55.6/37.6833/54.1372/37.4998/No F-Track Level/No F-Track Level/46.72,91.76%/279/1.3 month (Across ALL Assets),80.08%/512/1.4 month (Across ALL Assets),60.67
"JD, Long, 2026-03-26 (Price: 29.18)",No Exit Yet,"-0.82%, 4 days","70.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-03-26",Already confirmed,"2026-03-30 (Price: 28.94), 0.82% below",4 days,"0, 2025-09-19 (Price: 36.055)",2026-03-24 (Price: 27.47),2026-03-26 (Price: 29.18),6/4/4 days,5.35% above/0.82% below/0.82% below,2025-09-19 (Price: 36.055)/2026-03-26 (Price: 27.6601),8.94%/0.59%/4.17%,"40.68%, 51.29%",5.6 months/7 days/26 days,2026-11-24/2026-04-05/2026-05-02,-13.53%,-4.79%,-8.74%,-0.19,0.05,30.8987/30.3968/33.3/80.755/97.2627/102.2552/30.91,27.27/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.76%/279/1.3 month (Across ALL Assets),80.08%/512/1.4 month (Across ALL Assets),28.925
"JD, Long, 2026-03-16 (Price: 28.49)",2026-03-30 (Price: 28.94),"1.58%, 14 days","70.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-03-16",Already confirmed,"2026-03-30 (Price: 28.94), 1.58% above",14 days,"0, 2025-09-19 (Price: 36.055)",2026-03-13 (Price: 28.32),2026-03-16 (Price: 28.49),17/14/14 days,2.19% above/1.58% above/1.58% above,2025-09-19 (Price: 36.055)/2026-03-16 (Price: 28.1807),8.94%/0.59%/4.17%,"40.68%, 51.29%",5.6 months/7 days/26 days,2026-11-14/2026-03-26/2026-04-22,-13.53%,-4.79%,-8.74%,-0.19,0.05,30.1681/29.678/33.03/80.755/97.2627/102.2552/31.1,25.4/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.76%/279/1.3 month (Across ALL Assets),80.08%/512/1.4 month (Across ALL Assets),28.47
"SOXX, Long, 2026-02-28 (Price: 352.29)",No Exit Yet,"-12.06%, 1 month","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-30 (Price: 309.79), 12.06% below",1 month,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-27 (Price: 352.29),58/31/30 days,10.54% below/12.06% below/12.06% below,2002-03-31 (Price: 25.5067)/2026-02-28 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-17/2026-10-03/2026-11-24,-3.22%,7.76%,-10.98%,0.06,0.4,403.3016/406.2961/548.36/No Horizontal Resistance/No Target/411.0319/No EMA 200 Target,183.84/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/277.64,92.0%/75/11 months (Across ALL Assets),59.06%/127/9.8 months (Across ALL Assets),342.37
"XLU, Long, 2026-02-28 (Price: 47.73)",No Exit Yet,"-3.79%, 1 month","81.25%, Past 20 years, 16","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-30 (Price: 45.92), 3.79% below",1 month,"4, 2020-02-29 (Price: 35.55)",2026-02-28 (Price: 47.73),2026-02-09 (Price: 43.48),30/49/30 days,3.79% below/5.61% above/3.79% below,2020-02-29 (Price: 35.55)/2026-02-28 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2031-01-05/2026-10-07/2028-06-11,2.88%,2.86%,0.02%,-0.05,0.05,51.2668/51.1284/55.04/No Horizontal Resistance/49.4858/72.2363/No EMA 200 Target,29.46/29.8725/35.4254/26.7354/No F-Track Level/No F-Track Level/42.99,92.0%/75/11 months (Across ALL Assets),59.06%/127/9.8 months (Across ALL Assets),43.3
"XLE, Long, 2026-02-28 (Price: 55.92)",No Exit Yet,"10.8%, 1 month","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-30 (Price: 61.96), 10.8% above",1 month,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),58/55/30 days,21.37% above/19.91% above/10.8% above,2022-06-30 (Price: 46.655)/2026-02-28 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2033-01-04/2027-05-12/2028-09-23,6.1%,3.44%,2.66%,0.63,0.15,61.0982/68.8543/61.48/No Horizontal Resistance/No Target/58.8712/No EMA 200 Target,40.25/22.8475/37.4998/27.2174/No F-Track Level/No F-Track Level/45.16,92.0%/75/11 months (Across ALL Assets),59.06%/127/9.8 months (Across ALL Assets),50.1
"DIA, Long, 2026-02-28 (Price: 489.66)",No Exit Yet,"-7.68%, 1 month","100.0%, Past 20 years, 19","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-30 (Price: 452.06), 7.68% below",1 month,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-27 (Price: 489.66),58/31/30 days,7.56% below/7.68% below/7.68% below,2001-05-31 (Price: 113.64)/2026-02-28 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-11-14/2027-02-14/2028-02-26,1.42%,4.44%,-3.02%,2.35,0.21,528.2452/533.7784/715.27/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,406.34/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/462.04,92.0%/75/11 months (Across ALL Assets),59.06%/127/9.8 months (Across ALL Assets),488.87
