"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ASHR, Long, 2026-03-26 (Price: 31.91)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2026-03-26",Already confirmed,"2026-03-26 (Price: 31.91), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 31.7285),0.57% above,"2025-04-07 (Price: 23.27), 2026-01-12 (Price: 34.35)",17.94%/2.73%/10.86%,"-0.0%, 32.83%",2.3 years/1.7 month/10.3 months,2029-07-05/2026-06-07/2027-06-16,18.64%,-2.16%,20.8%,1.79,-0.19,No Target/35.3754/38.56/39.9467/60.1592/68.9354/No EMA 200 Target,31.79/23.36/No F-Stack Support/No F-Stack Support/31.6285/No stop loss/31.75,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets),32.09
"FRW.NZ, Long, 2026-03-26 (Price: 12.58)",No Exit Yet,"0.0%, 0 days","88.89%, Past 5 years, 9","Daily, is CONFIRMED on 2026-03-26",Already confirmed,"2026-03-26 (Price: 12.58), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 12.2169),2.97% above,"2023-10-30 (Price: 7.31), 2026-02-12 (Price: 15.25)",13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,2031-07-07/2026-08-29/2027-12-11,11.59%,4.86%,6.73%,1.04,0.24,12.9071/13.8883/17.34/14.94/14.9925/16.4712/13.07,12.35/7.405/12.2806/9.9285/12.2169/11.28/No EMA 200 Stop Loss,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets),12.41
"BRK-B, Long, 2026-03-26 (Price: 475.27)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 471.91 prior to 2026-03-31,"2026-03-26 (Price: 475.27), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),0.01% below,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-10-17/2027-01-28/2028-05-16,8.18%,7.84%,0.34%,0.89,0.47,599.363/576.5025/644.6/512.2133/537.7909/635.7359/490.95,267.02/268.082/475.0642/423.7009/No stop loss/434.262/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),61.11%/54/9.5 months (Across ALL Assets),495.225
"GS, Long, 2026-03-26 (Price: 822.64)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 780.5 prior to 2026-03-27,"2026-03-26 (Price: 822.64), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 782.6791),5.11% above,"2020-03-22 (Price: 130.85), 2026-01-18 (Price: 984.7)",25.08%/15.16%/18.88%,"0%, 50.45%",5 years/1.4 month/1.5 year,2033-05-15/2026-05-25/2028-05-16,11.71%,6.74%,4.97%,5.31,0.34,890.7546/977.9544/1334.95/No Horizontal Resistance/973.4919/1057.8628/No EMA 200 Target,782.21/288.555/818.1554/728.9736/820.1826/719.0801/803.4,91.23%/57/1.5 year (Across ALL Assets),55.48%/155/7.7 months (Across ALL Assets),833.0
"JETS, Long, 2026-03-26 (Price: 25.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 23.81 prior to 2026-03-27,"2026-03-26 (Price: 25.01), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 24.22),3.26% above,"2025-04-13 (Price: 17.11), 2026-02-15 (Price: 31.33)",23.0%/17.86%/19.3%,"-0.0%, 17.18%",8.6 months/1.9 month/4.4 months,2027-04-03/2026-06-16/2026-10-03,12.57%,0.36%,12.21%,1.13,0.06,26.308/29.8369/33.54/27.1773/36.0778/41.7471/25.99,24.05/14.732/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),55.48%/155/7.7 months (Across ALL Assets),25.2
"JPM, Long, 2026-03-26 (Price: 291.66)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 279.1 prior to 2026-03-27,"2026-03-26 (Price: 291.66), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 281.4195),3.64% above,"2022-10-16 (Price: 101.28), 2026-01-11 (Price: 337.25)",22.59%/15.01%/17.15%,"6.94%, 37.49%",2.2 years/7 days/9.9 months,2029-05-16/2026-04-05/2027-05-30,15.25%,7.42%,7.83%,2.32,0.37,325.4926/341.6797/433.24/No Horizontal Resistance/349.5825/373.4732/301.85,283.44/125.7575/272.4366/242.2068/281.4195/247.1095/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),55.48%/155/7.7 months (Across ALL Assets),294.31
"PG, Long, 2026-03-26 (Price: 142.42)",No Exit Yet,"0.0%, 0 days","79.17%, Past 39 years, 24","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 137.62 prior to 2026-03-31,"2026-03-26 (Price: 142.42), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 137.9487),3.24% above,"1962-06-30 (Price: 0.8809), 2024-11-30 (Price: 180.43)",28.68%/2.46%/20.12%,"29.44%, 32.8%",5.2 years/4.1 months/1.4 year,2033-08-27/2026-09-18/2028-03-23,5.59%,5.32%,0.27%,0.88,0.27,154.6824/171.0749/250.15/179.4533/202.162/210.6287/152.45,126.25/130.72/124.1296/103.7096/No stop loss/134.6455/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),61.11%/54/9.5 months (Across ALL Assets),165.29
"BPCL.NS, Long, 2026-03-25 (Price: 284.55)",No Exit Yet,"0.0%, 0 days","86.67%, Past 5 years, 15","Daily, is CONFIRMED on 2026-03-25",Already confirmed,"2026-03-25 (Price: 284.55), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 273.6375),3.99% above,"2023-10-26 (Price: 165.725), 2025-11-17 (Price: 381.55)",12.45%/1.92%/10.29%,"11.24%, 36.83%",2.2 years/1.2 month/9.6 months,2029-05-15/2026-05-16/2027-05-16,15.95%,8.45%,7.5%,1.08,0.45,301.3385/313.8302/414.05/383.0667/393.108/467.0257/344.0,271.3/145.35/248.4289/232.8593/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets),288.2
"BTI, Long, 2026-03-25 (Price: 58.45)",No Exit Yet,"-0.33%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-26 (Price: 58.26), 0.33% below",1 day,Upmove Bounce Back,50% (Price: 58.2488),0.02% above,"2026-01-07 (Price: 53.28), 2026-02-25 (Price: 63.2176)",11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,2030-12-09/2026-05-24/2027-12-10,11.0%,5.81%,5.19%,1.67,0.3,63.1786/63.6287/64.41/59.135/82.226/92.0468/No EMA 200 Target,57.37/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/55.39,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets),58.145
"GILD, Long, 2026-03-25 (Price: 138.26)",No Exit Yet,"-1.0%, 1 day","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-26 (Price: 136.88), 1.0% below",1 day,Upmove Bounce Back,23.66% (Price: 134.7457),1.58% above,"2024-05-31 (Price: 62.07), 2026-02-11 (Price: 157.27)",17.08%/2.06%/9.98%,"0%, 27.82%",1.8 year/28 days/5.7 months,2028-10-18/2026-05-04/2026-11-27,29.7%,11.0%,18.7%,2.35,0.63,149.7079/152.0583/195.38/No Horizontal Resistance/154.7608/163.0355/No EMA 200 Target,137.21/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/123.55,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets),139.76
