"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"TRI.TO, Long, 2026-04-03 (Price: 125.58)",No Exit Yet,"0.0%, 0 days","^GSPC, Normal Case",2026-03-29 (Price: 117.77),"81.58%, Past 10 years, 114","Weekly, is CONFIRMED on 2026-04-03",Already confirmed,"2026-04-03 (Price: 125.58), 0.0% below",0 days,25.18%/0.39%/8.45%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,2027-03-23/2026-07-03/2026-09-06,22.13%,5.37%,16.76%,0.0,0.27,140.8003/136.1915/303.5675/240.8933/303.5675/326.8654/201.12,113.99/No Horizontal Support/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),124.83
"BEL.NS, Long, 2026-04-03 (Price: 421.6)",No Exit Yet,"0.0%, 0 days","^NSEI, Normal Case",2026-01-25 (Price: 397.0),"81.36%, Past 10 years, 118","Weekly, is CONFIRMED on 2026-04-03",Already confirmed,"2026-04-03 (Price: 421.6), 0.0% below",0 days,62.01%/0.22%/18.3%,"36.52%, 45.62%",10.5 months/2.1 months/4 months,2027-07-03/2026-07-03/2026-09-23,34.42%,18.52%,15.9%,0.0,0.88,504.2758/498.7528/453.9486/433.5/453.9486/522.5255/No EMA 200 Target,404.75/61.7416/333.1625/286.855/418.2749/384.3676/410.54,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),400.0
"BN.TO, Long, 2026-03-29 (Price: 54.17)",No Exit Yet,"5.1%, 5 days","^GSPC, Normal Case",2026-03-22 (Price: 52.04),"92.31%, Past 2 years, 26","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-03 (Price: 56.93), 5.1% above",5 days,39.04%/0.51%/13.13%,"10.81%, 25.91%",5.6 months/2.1 months/3.6 months,2026-11-27/2026-06-28/2026-09-01,66.91%,16.35%,50.56%,0.0,0.89,60.8762/61.2825/68.7243/68.4166/68.7243/74.8784/61.45,52.55/41.16/52.8663/46.8365/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),54.0
"ASML, Long, 2026-03-29 (Price: 1302.47)",No Exit Yet,"1.13%, 5 days","^NDX, Normal Case",2026-03-22 (Price: 1291.1),"80.0%, Past 10 years, 100","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-03 (Price: 1317.23), 1.13% above",5 days,50.9%/0.37%/14.5%,"25.61%, 39.31%",7 months/2.1 months/3.3 months,2027-01-27/2026-06-28/2026-08-19,24.73%,19.75%,4.98%,0.0,0.93,1528.9695/1491.3282/1508.8624/No Horizontal Resistance/1508.8624/1630.5302/No EMA 200 Target,1292.8/576.784/1224.19/1155.2236/No F-Track Level/No F-Track Level/1052.11,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),1359.72
"ASML, Long, 2026-03-22 (Price: 1317.25)",No Exit Yet,"-0.0%, 12 days","^NDX, Normal Case",2026-03-15 (Price: 1276.11),"80.0%, Past 10 years, 100","Weekly, was CONFIRMED on 2026-03-22",Already confirmed,"2026-04-03 (Price: 1317.23), 0.0% below",12 days,50.9%/0.37%/14.5%,"25.61%, 39.31%",7 months/2.1 months/3.3 months,2027-01-20/2026-06-21/2026-08-12,24.73%,19.75%,4.98%,0.0,0.93,1546.3198/1508.2513/1508.8624/No Horizontal Resistance/1508.8624/1630.5302/No EMA 200 Target,1292.8/576.784/1224.19/1155.2236/No F-Track Level/No F-Track Level/1052.11,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),1379.515
"BEL.NS, Long, 2026-01-18 (Price: 410.25)",2026-03-22 (Price: 426.1),"3.86%, 2.1 months","^NSEI, Normal Case",2026-01-11 (Price: 402.8),"81.36%, Past 10 years, 118","Weekly, was CONFIRMED on 2026-01-18",Already confirmed,"2026-04-03 (Price: 421.6), 2.77% above",2.5 months,62.01%/0.22%/18.3%,"36.52%, 45.62%",10.5 months/2.1 months/4 months,2027-04-19/2026-04-19/2026-07-10,34.42%,18.52%,15.9%,0.0,0.88,490.7/485.3258/456.8119/433.5/456.8119/613.9011/410.54,389.45/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),419.5
"BEL.NS, Long, 2026-01-11 (Price: 418.65)",2026-03-22 (Price: 426.1),"1.78%, 2.3 months","^NSEI, Normal Case",2026-01-04 (Price: 389.55),"81.36%, Past 10 years, 118","Weekly, was CONFIRMED on 2026-01-11",Already confirmed,"2026-04-03 (Price: 421.6), 0.7% above",2.7 months,62.01%/0.22%/18.3%,"36.52%, 45.62%",10.5 months/2.1 months/4 months,2027-04-12/2026-04-12/2026-07-03,34.42%,18.52%,15.9%,0.0,0.88,500.7473/495.2629/456.8119/433.5/456.8119/613.9011/No EMA 200 Target,389.45/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/410.54,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),402.85
