Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-30 (Price: 9.32),No Price Target,No Date Target,49.77%/50.68%,"-27.36%, 1.3 year","2026-03-30 (Price: 9.32), 27.36% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/11.15,"83.33%, Past 20 years, 12",12.4,No Information,No Information,No Information,No Information,No Information,22.01% below/25.74% below/27.36% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.0%/75/11 months (Across ALL Assets),59.06%/127/9.8 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-30 (Price: 9.32),No Price Target,No Date Target,44.64%/45.52%,"-24.78%, 1.4 year","2026-03-30 (Price: 9.32), 24.78% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.96,"83.33%, Past 20 years, 12",11.89,No Information,No Information,No Information,No Information,No Information,22.01% below/24.78% below/24.78% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.0%/75/11 months (Across ALL Assets),59.06%/127/9.8 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",Monthly,2026-03-30 (Price: 9.32),No Price Target,No Date Target,39.5%/40.35%,"-22.01%, 1.5 year","2026-03-30 (Price: 9.32), 22.01% below",13.0016 (Historic Rise or Fall to Pivot)/14.6328 (Avg % Gain of Historic Winning trades)/14.19 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/16.6213 (Backtested Max)/13.0805 (Backtested Min),2027-06-17 (Max),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.75,"83.33%, Past 20 years, 12",11.3,No Information,No Information,No Information,No Information,No Information,22.01% below/22.01% below/22.01% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.0%/75/11 months (Across ALL Assets),59.06%/127/9.8 months (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2026-03-16 (Price: 2409.2)",Daily,No Exit Yet,No Price Target,2026-03-30 (Avg),3.9%/5.48%,"-2.09%, 14 days","2026-03-30 (Price: 2358.8999), 2.09% below",2571.0982 (Historic Rise or Fall to Pivot)/2488.2218 (Avg % Gain of Historic Winning trades)/2529.66 (Function Specific Target)/4543.575 (Horizontal)/5051.5642 (F-Stack 1)/5692.579 (F-Stack 2)/3057.76 (EMA 200)/2546.0426 (Backtested Max)/2450.8792 (Backtested Min),2026-04-15 (Max),No Recent Minima/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"86.67%, Past 4 years, 15",2410.0,No Information,No Information,No Information,No Information,No Information,No Information,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,12.04%,-0.2%,12.24%,0.76,-0.13,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets)
TRENDPULSE,"TCS.NS, Long, 2024-08-31 (Price: 4553.75)",Monthly,No Exit Yet,No Price Target,2026-03-27 (Max),107.39%/114.15%,"-48.2%, 1.6 year","2026-03-30 (Price: 2358.8999), 48.2% below",5179.4352 (Historic Rise or Fall to Pivot)/5778.7087 (Avg % Gain of Historic Winning trades)/4892.06 (Function Specific Target)/5051.5642 (F-Stack 1)/5692.579 (F-Stack 2)/6129.3475 (Backtested Max)/5187.1766 (Backtested Min),No Next Date Target,3004.55/2272.475/4231.4862/3595.5983/No F-Track Level/No F-Track Level/3931.21,"100.0%, Past 20 years, 10",4399.3999,No Information,No Information,No Information,No Information,No Information,48.2% below/48.2% below/48.2% below,34.6%/13.91%/26.9%,"-0.0%, 13.31%",1.1 year/6 months/9 months,9.85%,13.34%,-3.49%,1.43,0.61,92.0%/75/11 months (Across ALL Assets),59.06%/127/9.8 months (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2026-02-15 (Price: 83.86)",Weekly,No Exit Yet,No Price Target,2026-03-27 (Min),10.23%/10.38%,"-7.62%, 1.4 month","2026-03-30 (Price: 77.47), 7.62% below",90.3591 (Historic Rise or Fall to Pivot)/89.5289 (Avg % Gain of Historic Winning trades)/85.91 (Function Specific Target)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/96.9254 (Backtested Max)/87.0635 (Backtested Min),2027-02-23 (Max)/2026-08-10 (Avg),70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.49,"90.0%, Past 10 years, 20",78.91,No Information,No Information,No Information,No Information,No Information,7.62% below/7.62% below/7.62% below,15.58%/3.82%/6.76%,"7.08%, 28.5%",8.6 months/28 days/4.1 months,10.6%,14.26%,-3.66%,0.87,0.82,88.59%/149/5.1 months (Across ALL Assets),74.72%/265/3.7 months (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2024-02-18 (Price: 82.0)",Weekly,2026-03-29 (Price: 77.62),No Price Target,No Date Target,13.0%/14.05%,"-5.52%, 2.1 years","2026-03-30 (Price: 77.47), 5.52% below",88.355 (Historic Rise or Fall to Pivot)/87.5432 (Avg % Gain of Historic Winning trades)/121.69 (Function Specific Target)/96.14 (F-Stack 2)/94.7756 (Backtested Max),No Next Date Target,68.98/39.8362/59.8475/53.4732/No F-Track Level/No F-Track Level/72.47,"90.0%, Past 10 years, 20",81.01,No Information,No Information,No Information,No Information,No Information,5.52% below/8.09% below/5.52% below,15.58%/3.82%/6.76%,"7.08%, 28.5%",8.6 months/28 days/4.1 months,10.6%,14.26%,-3.66%,0.87,0.82,88.59%/149/5.1 months (Across ALL Assets),74.72%/265/3.7 months (Across ALL Assets)
DELTADRIFT,"DOL.TO, Long, 2026-03-27 (Price: 166.76)",Daily,No Exit Yet,No Price Target,2026-03-31 (Min),1.67%/2.37%,"0.76%, 3 days","2026-03-30 (Price: 168.02), 0.76% above",184.003 (Historic Rise or Fall to Pivot)/171.9963 (Avg % Gain of Historic Winning trades)/178.0 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/191.06 (EMA 200)/172.5299 (Backtested Max)/170.8289 (Backtested Min),2026-04-27 (Max)/2026-03-31 (Min)/2026-04-07 (Avg),163.59/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"80.0%, Past 4 years, 5",168.42,No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,6.16%,20.38%,-14.22%,0.47,1.39,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2026-03-26 (Price: 168.84)",Daily,No Exit Yet,No Price Target,2026-03-28 (Min),5.51%/6.16%,"-0.49%, 4 days","2026-03-30 (Price: 168.02), 0.49% below",181.7563 (Historic Rise or Fall to Pivot)/186.2474 (Avg % Gain of Historic Winning trades)/177.28 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/191.06 (EMA 200)/204.6678 (Backtested Max)/178.3626 (Backtested Min),2026-12-03 (Max)/2026-07-03 (Avg),No Recent Minima/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.24%, Past 6 years, 17",171.36,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.64%/10.31%,"10.55%, 13.94%",5.8 months/2 days/2.3 months,19.66%,19.52%,0.14%,0.91,1.22,97.5%/40/29 days (Across ALL Assets),78.29%/410/26 days (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2026-02-19 (Price: 37.6)",Daily,No Exit Yet,No Price Target,2026-03-31 (Min),10.03%/12.13%,"-1.06%, 1.3 month","2026-03-30 (Price: 37.2), 1.06% below",49.7 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.7134 (Backtested Max),2030-11-05 (Max)/2026-03-31 (Min)/2027-09-15 (Avg),35.68/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/37.56,"90.0%, Past 5 years, 10",37.0,No Information,No Information,No Information,"23.66% (Price: 35.6878), 4.24% above, Upmove Bounce Back","2023-10-30 (Price: 20.29), 2025-11-26 (Price: 40.46)",No Information,10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,8.47%,1.81%,6.66%,1.1,0.09,91.63%/263/5.4 months (Across ALL Assets),45.28%/53/5.8 months (Across ALL Assets)
