"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BN.TO, Long, 2026-04-05 (Price: 56.93)",No Exit Yet,"2.86%, 4 days","^GSPC, Normal Case",2026-03-29 (Price: 52.74),"92.59%, Past 2 years, 27","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-09 (Price: 58.56), 2.86% above",4 days,39.04%/0.51%/13.13%,"10.81%, 25.91%",5.6 months/2.1 months/3.6 months,2026-12-04/2026-07-05/2026-09-08,66.17%,16.44%,49.73%,0.0,0.9,63.7217/64.4049/68.7243/68.4166/68.7243/74.8784/61.53,52.55/41.16/52.8663/46.8365/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),54.81
"TRI.TO, Long, 2026-04-05 (Price: 125.58)",No Exit Yet,"-6.62%, 4 days","^GSPC, Normal Case",2026-03-29 (Price: 117.77),"82.46%, Past 10 years, 114","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-09 (Price: 117.27), 6.62% below",4 days,25.18%/0.39%/8.37%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,2027-03-25/2026-07-05/2026-09-08,22.02%,5.4%,16.62%,0.0,0.27,140.8631/136.091/293.2329/240.8933/293.2329/372.3374/198.2,113.99/No Horizontal Support/93.0152/69.3828/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),124.83
"BEL.NS, Long, 2026-04-05 (Price: 421.6)",No Exit Yet,"4.31%, 4 days","^NSEI, Local Extrema Case",2026-01-25 (Price: 397.0),"81.51%, Past 10 years, 119","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-09 (Price: 439.75), 4.31% above",4 days,62.01%/0.22%/18.3%,"36.52%, 45.62%",10.5 months/2.1 months/4 months,2027-07-05/2026-07-05/2026-09-25,34.37%,19.02%,15.35%,0.0,0.9,505.9622/498.7528/456.8119/433.5/456.8119/613.9011/No EMA 200 Target,404.75/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/411.18,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),400.0
"BN.TO, Long, 2026-03-29 (Price: 54.17)",No Exit Yet,"8.1%, 11 days","^GSPC, Normal Case",2026-03-22 (Price: 52.04),"92.59%, Past 2 years, 27","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-09 (Price: 58.56), 8.1% above",11 days,39.04%/0.51%/13.13%,"10.81%, 25.91%",5.6 months/2.1 months/3.6 months,2026-11-27/2026-06-28/2026-09-01,66.17%,16.44%,49.73%,0.0,0.9,60.6325/61.2825/68.7243/68.4166/68.7243/74.8784/61.53,52.55/41.16/52.8663/46.8365/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),54.0
"ASML, Long, 2026-03-29 (Price: 1302.47)",No Exit Yet,"11.22%, 11 days","^NDX, Normal Case",2026-03-22 (Price: 1291.1),"80.81%, Past 10 years, 99","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-09 (Price: 1448.64), 11.22% above",11 days,50.9%/0.37%/14.49%,"25.61%, 39.31%",7 months/2.1 months/3.3 months,2027-01-27/2026-06-28/2026-08-19,24.88%,19.61%,5.27%,0.0,0.92,1531.0535/1491.1979/1508.8624/No Horizontal Resistance/1508.8624/1630.5302/No EMA 200 Target,1292.8/576.784/1224.19/1155.2236/No F-Track Level/No F-Track Level/1064.22,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),1359.72
