Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-03-17 (Price: 10.9)",Daily,2026-03-31 (Price: 11.65),No Price Target,No Date Target,5.6%/6.81%,"3.67%, 15 days","2026-04-01 (Price: 11.3), 3.67% above",12.07 (Function Specific Target)/12.825 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/11.9333 (Backtested Max),2026-08-07 (Max)/2026-05-03 (Avg),10.65/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"96.43%, Past 4 years, 28",10.81,No Information,No Information,No Information,No Information,No Information,4.24% above/3.67% above/3.67% above,9.48%/0.89%/4.42%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,15.69%,13.09%,2.6%,0.0,0.76,91.82%/330/1.3 month (Across ALL Assets),77.65%/783/1.6 month (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-02-19 (Price: 11.08)",Daily,2026-03-31 (Price: 11.65),No Price Target,No Date Target,7.35%/7.43%,"1.99%, 1.4 month","2026-04-01 (Price: 11.3), 1.99% above",12.14 (Function Specific Target)/12.825 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/12.1304 (Backtested Max),2026-07-12 (Max)/2026-04-07 (Avg),10.74/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"96.43%, Past 4 years, 28",10.99,No Information,No Information,No Information,No Information,No Information,2.54% above/1.99% above/1.99% above,9.48%/0.89%/4.42%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,15.69%,13.09%,2.6%,0.0,0.76,91.82%/330/1.3 month (Across ALL Assets),77.65%/783/1.6 month (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-02-12 (Price: 11.3)",Daily,No Exit Yet,No Price Target,2026-03-31 (Avg),4.42%/4.67%,"0.0%, 1.6 month","2026-04-01 (Price: 11.3), 0.0% below",11.8277 (Historic Rise or Fall to Pivot)/11.7995 (Avg % Gain of Historic Winning trades)/12.23 (Function Specific Target)/12.825 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/12.3712 (Backtested Max),2026-07-05 (Max),10.83/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"96.43%, Past 4 years, 28",11.27,No Information,No Information,No Information,No Information,No Information,0.18% above/0.0% below/0.0% below,9.48%/0.89%/4.42%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,15.69%,13.09%,2.6%,0.0,0.76,91.82%/330/1.3 month (Across ALL Assets),77.65%/783/1.6 month (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",Daily,2026-04-01 (Price: 11.3),No Price Target,No Date Target,12.83%/13.12%,"-10.81%, 4.7 months","2026-04-01 (Price: 11.3), 10.81% below",13.2617 (Historic Rise or Fall to Pivot)/13.23 (Avg % Gain of Historic Winning trades)/12.75 (Function Specific Target)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.8711 (Backtested Max)/12.7828 (Backtested Min),2026-04-04 (Max),12.27/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.29,"96.43%, Past 4 years, 28",12.54,No Information,No Information,No Information,No Information,No Information,10.32% below/10.81% below/10.81% below,9.48%/0.89%/4.42%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,15.69%,13.09%,2.6%,0.0,0.76,91.82%/330/1.3 month (Across ALL Assets),77.65%/783/1.6 month (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2024-10-31 (Price: 12.6)",Monthly,2026-03-31 (Price: 11.65),No Price Target,No Date Target,14.89%/22.81%,"-10.32%, 1.4 year","2026-04-01 (Price: 11.3), 10.32% below",14.044 (Historic Rise or Fall to Pivot)/13.8776 (Avg % Gain of Historic Winning trades)/19.79 (Function Specific Target)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/15.12 (Backtested Max)/12.983 (Backtested Min),2026-09-08 (Max),3.91/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.07,"91.67%, Past 20 years, 12",12.315,No Information,No Information,No Information,No Information,No Information,7.76% below/9.38% below/10.32% below,20.0%/3.04%/10.14%,"7.54%, 19.22%",1.3 year/5 months/9.7 months,5.0%,8.46%,-3.46%,0.0,0.5,93.41%/91/10.8 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets)
OSCILLATOR DELTA,"IFT.NZ, Long, 2026-02-19 (Price: 11.08)",Daily,2026-03-30 (Price: 11.71),No Price Target,No Date Target,5.59%/6.99%,"1.99%, 1.4 month","2026-04-01 (Price: 11.3), 1.99% above",12.0894 (Historic Rise or Fall to Pivot)/12.41 (Function Specific Target)/12.825 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/11.9321 (Backtested Max),2026-05-29 (Max),No Recent Minima/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"92.31%, Past 6 years, 13",10.99,No Information,No Information,No Information,No Information,No Information,No Information,7.69%/0.19%/2.68%,"10.2%, 10.2%",2.3 months/6 days/21 days,7.31%,13.09%,-5.78%,0.0,0.76,87.94%/141/29 days (Across ALL Assets),78.02%/496/25 days (Across ALL Assets)
SIGMASHELL,"IFT.NZ, Long, 2025-12-02 (Price: 11.75)",Daily,2026-03-31 (Price: 11.65),No Price Target,No Date Target,5.53%/7.18%,"-3.83%, 4 months","2026-04-01 (Price: 11.3), 3.83% below",12.1119 (Historic Rise or Fall to Pivot)/13.1835 (Avg % Gain of Historic Winning trades)/18.927 (Function Specific Target)/11.925 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/14.1658 (Backtested Max)/12.321 (Backtested Min),2026-06-02 (Max),11.39/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.54,"90.0%, Past 5 years, 10",11.58,"-3.31, 87.5%",No Information,No Information,No Information,No Information,No Information,20.56%/4.86%/12.2%,"0.85%, 16.37%",4.2 months/1.8 month/2.6 months,25.1%,7.96%,17.14%,0.0,0.44,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets)
FRACTAL TRACK,"NVDA, Long, 2026-03-24 (Price: 175.2)",Daily,No Exit Yet,No Price Target,2026-03-31 (Min),2.22%/9.27%,"0.31%, 8 days","2026-04-01 (Price: 175.75), 0.31% above",206.1754 (Historic Rise or Fall to Pivot)/195.0852 (Avg % Gain of Historic Winning trades)/192.05 (Function Specific Target)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/179.66 (EMA 200)/203.5649 (Backtested Max)/192.7901 (Backtested Min),2027-06-14 (Max)/2026-06-14 (Avg),172.7/13.9695/152.8996/143.3288/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.89%, Past 5 years, 18",174.762,No Information,No Information,No Information,"78.6% (Price: 175.5591), 0.11% above, Upmove Bounce Back","2025-11-25 (Price: 169.55), 2026-02-25 (Price: 197.6299)",No Information,16.19%/10.04%/11.35%,"4.7%, 47.74%",10.3 months/5 days/1.9 month,41.99%,42.52%,-0.53%,0.0,1.66,91.75%/303/4.9 months (Across ALL Assets),60.59%/170/4.2 months (Across ALL Assets)
TRENDPULSE,"NVDA, Long, 2025-10-05 (Price: 187.62)",Weekly,No Exit Yet,No Price Target,2026-03-30 (Avg),21.89%/22.18%,"-6.33%, 5.9 months","2026-04-01 (Price: 175.75), 6.33% below",214.2245 (Historic Rise or Fall to Pivot)/214.7311 (Avg % Gain of Historic Winning trades)/299.24 (Function Specific Target)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/269.2347 (Backtested Max),2028-01-17 (Max),167.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/143.06,"86.36%, Past 10 years, 22",180.43,No Information,No Information,No Information,No Information,No Information,0.52% below/6.33% below/6.33% below,43.5%/5.43%/14.45%,"26.78%, 65.96%",1.6 year/1.2 month/4.1 months,14.31%,32.19%,-17.88%,0.0,1.36,91.3%/161/4.7 months (Across ALL Assets),74.62%/390/4 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2024-12-31 (Price: 219.39)",Monthly,2026-03-31 (Price: 208.27),No Price Target,No Date Target,16.09%/24.22%,"-4.02%, 1.3 year","2026-04-01 (Price: 210.57), 4.02% below",276.8921 (Historic Rise or Fall to Pivot)/286.2381 (Avg % Gain of Historic Winning trades)/244.46 (Function Specific Target)/332.4197 (Backtested Max)/261.5787 (Backtested Min),2027-07-27 (Max)/2026-06-01 (Avg),84.0/81.3658/193.0625/132.2674/No F-Track Level/No F-Track Level/189.74,"86.67%, Past 20 years, 15",209.96,No Information,No Information,No Information,No Information,No Information,1.29% above/4.02% below/4.02% below,51.52%/19.23%/30.47%,"5.07%, 23.74%",1.8 year/6.1 months/11.9 months,15.09%,16.91%,-1.82%,0.0,0.76,93.41%/91/10.8 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2020-12-31 (Price: 162.8465)",Quarterly,2026-04-01 (Price: 210.57),No Price Target,No Date Target,10.78%/22.13%,"29.31%, 5.3 years","2026-04-01 (Price: 210.57), 29.31% above",278.8421 (Avg % Gain of Historic Winning trades)/257.16 (Function Specific Target)/323.3154 (Backtested Max)/233.2613 (Backtested Min),No Next Date Target,1.61/83.3704/132.2674/119.5138/No F-Track Level/No F-Track Level/143.87,"100.0%, Past 28 years, 5",160.4,No Information,No Information,No Information,No Information,No Information,33.75% above/28.24% above/29.31% above,98.54%/43.24%/71.23%,"-0.0%, 44.95%",2.8 years/1.5 year/2.3 years,13.39%,21.15%,-7.76%,0.0,0.72,100.0%/17/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
