Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5776,1.04,Support
USDCHF=X,Daily,0.798,0.7911,0.87,Resistance
NZDCAD=X,Daily,0.7834,0.7919,1.08,Support
NZDCAD=X,Weekly,0.791,0.7919,0.11,Support
EURUSD=X,Daily,1.1455,1.1423,0.28,Support
EURUSD=X,Weekly,1.1452,1.1423,0.25,Support
GBPUSD=X,Weekly,1.3445,1.3223,1.65,Support
GBPUSD=X,Daily,1.2972,1.3223,1.94,Support
CAD=X,Daily,1.3824,1.3633,1.38,Support
CAD=X,Weekly,1.3785,1.3633,1.1,Support
GBPSGD=X,Monthly,1.6701,1.6963,1.57,Support
GBPSGD=X,Daily,1.6858,1.6963,0.62,Support
GBPSGD=X,Weekly,1.6651,1.6963,1.87,Support
^TNX,Daily,4.3327,4.285,1.1,Resistance
MEL.NZ,Daily,5.3586,5.35,0.16,Support
MEL.NZ,Weekly,5.33,5.35,0.38,Support
C6L.SI,Monthly,6.5913,6.54,0.78,Support
C6L.SI,Daily,6.48,6.54,0.93,Support
C6L.SI,Weekly,6.6638,6.54,1.86,Resistance
AIA.NZ,Daily,8.2767,8.41,1.61,Support
AIA.NZ,Weekly,8.295,8.41,1.39,Support
CNU.NZ,Daily,9.1117,9.18,0.75,Support
CNU.NZ,Weekly,9.3875,9.18,2.21,Support
CEN.NZ,Daily,9.365,9.19,1.87,Support
IFT.NZ,Daily,10.78,10.75,0.28,Support
BYDDY,Weekly,12.0509,12.29,1.98,Resistance
LYFT,Daily,12.9775,13.07,0.71,Support
NU,Daily,13.9817,13.89,0.66,Support
GLXY,Daily,22.14,22.35,0.95,Resistance
PFE,Weekly,26.4516,26.58,0.49,Resistance
HDB,Daily,27.6933,28.23,1.94,Support
JD,Daily,28.38,28.32,0.21,Resistance
EFN.TO,Daily,30.265,30.81,1.8,Support
RINF,Daily,32.3213,32.1471,0.54,Resistance
ASHR,Daily,34.17,33.53,1.87,Support
FPH.NZ,Daily,39.407,38.94,1.19,Support
ENZL,Daily,43.9783,43.8884,0.2,Support
ENZL,Weekly,43.725,43.8884,0.37,Support
BTI,Weekly,60.8175,59.93,1.46,Resistance
BTI,Daily,59.135,59.93,1.34,Support
BIPC.TO,Daily,63.478,64.31,1.31,Support
MX.TO,Weekly,70.755,71.03,0.39,Resistance
HYG,Weekly,79.3333,79.2,0.17,Support
HYG,Daily,79.6567,79.2,0.57,Support
TLT,Daily,86.035,86.54,0.59,Support
JNK,Weekly,96.515,95.25,1.31,Support
JNK,Daily,93.5714,95.25,1.79,Support
SBUX,Daily,97.9,99.15,1.28,Resistance
XLY,Daily,109.5683,110.86,1.18,Support
IEI,Daily,119.5325,118.75,0.65,Support
IEI,Weekly,119.345,118.75,0.5,Support
ABNB,Daily,127.482,126.3,0.93,Support
KXS.TO,Daily,133.84,135.02,0.88,Resistance
CNR.TO,Daily,144.4475,144.01,0.3,Support
XLV,Daily,149.295,149.79,0.33,Support
PG,Daily,152.498,150.65,1.21,Support
LULU,Daily,159.855,157.78,1.3,Support
JPY=X,Daily,159.617,159.206,0.26,Resistance
DOL.TO,Daily,197.56,194.75,1.42,Support
BYD.TO,Daily,213.9933,211.06,1.37,Support
IWM,Weekly,244.72,246.59,0.76,Support
MCD,Daily,321.444,326.46,1.56,Support
MA,Daily,494.96,497.99,0.61,Support
VGT,Daily,704.335,714.44,1.43,Support
HDFCBANK.NS,Daily,802.7167,817.0,1.78,Support
ETH-USD,Weekly,2129.9956,2104.7856,1.18,Support
ETH-USD,Daily,2128.2922,2104.7856,1.1,Resistance
^NZ50,Daily,13075.415,13187.3398,0.86,Support
^NZ50,Weekly,13418.2035,13187.3398,1.72,Support
